group_type,group_value,diagnostic_intent_count,long_high_volume_count,long_low_volume_count,long_base_volume_count,short_high_volume_count,short_low_volume_count,short_base_volume_count,threshold_contract_pass,risk_amount_contract_pass
total,all,377,17,4,281,4,2,69,1,1
direction,long,302,17,4,281,0,0,0,1,1
direction,short,75,0,0,0,4,2,69,1,1
entry_context,flat_entry,354,17,4,264,4,2,63,1,1
entry_context,rollover_reopen,23,0,0,17,0,0,6,1,1
