trade_id,order_id,datetime,date,time,vt_symbol,symbol,exchange,direction,offset,price,volume,signed_volume,gateway_name,exit_reason,profile,start_month,variant,account_capital,c3_capital
BACKTESTING.1,BACKTESTING.1,2018-01-15 00:00:00+08:00,2018-01-15,00:00:00,au1806.SHFE,au1806,SHFE,多,开,281.7,1.0,1.0,BACKTESTING,,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0
BACKTESTING.2,BACKTESTING.2,2018-01-16 00:00:00+08:00,2018-01-16,00:00:00,rb1805.SHFE,rb1805,SHFE,空,开,3803.0,9.0,-9.0,BACKTESTING,,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0
BACKTESTING.3,BACKTESTING.2.stage847_c9.1,2018-01-16 09:03:00+08:00,2018-01-16,09:03:00,rb1805.SHFE,rb1805,SHFE,多,平,3807.0,9.0,9.0,BACKTESTING,stage847_intraday_retry_failed_05r_stop,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0
BACKTESTING.4,BACKTESTING.2.stage847_c9.2,2018-01-16 14:27:00+08:00,2018-01-16,14:27:00,rb1805.SHFE,rb1805,SHFE,空,开,3803.0,9.0,-9.0,BACKTESTING,,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0
BACKTESTING.5,BACKTESTING.2.stage847_c9.3,2018-01-16 22:22:00+08:00,2018-01-16,22:22:00,rb1805.SHFE,rb1805,SHFE,多,平,3807.0,9.0,9.0,BACKTESTING,,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0
BACKTESTING.6,BACKTESTING.3,2018-01-19 00:00:00+08:00,2018-01-19,00:00:00,au1806.SHFE,au1806,SHFE,空,平,278.8,1.0,-1.0,BACKTESTING,long_prev2day_stop,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0
BACKTESTING.7,BACKTESTING.4,2018-01-30 00:00:00+08:00,2018-01-30,00:00:00,rb1805.SHFE,rb1805,SHFE,多,开,3938.0,9.0,9.0,BACKTESTING,,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0
BACKTESTING.8,BACKTESTING.4.stage847_c9.1,2018-01-30 09:08:00+08:00,2018-01-30,09:08:00,rb1805.SHFE,rb1805,SHFE,空,平,3930.5,9.0,-9.0,BACKTESTING,stage847_intraday_retry_failed_05r_stop,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0
BACKTESTING.9,BACKTESTING.4.stage847_c9.2,2018-01-30 21:01:00+08:00,2018-01-30,21:01:00,rb1805.SHFE,rb1805,SHFE,多,开,3938.0,9.0,9.0,BACKTESTING,,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0
BACKTESTING.10,BACKTESTING.4.stage847_c9.3,2018-01-30 22:46:00+08:00,2018-01-30,22:46:00,rb1805.SHFE,rb1805,SHFE,空,平,3930.5,9.0,-9.0,BACKTESTING,,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0
BACKTESTING.11,BACKTESTING.5,2018-02-01 00:00:00+08:00,2018-02-01,00:00:00,hc1805.SHFE,hc1805,SHFE,多,开,3940.0,9.0,9.0,BACKTESTING,,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0
BACKTESTING.12,BACKTESTING.6,2018-02-05 00:00:00+08:00,2018-02-05,00:00:00,OI805.CZCE,OI805,CZCE,空,开,6340.0,4.0,-4.0,BACKTESTING,,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0
