vt_symbol,tq_symbol,bar_datetime,bar_id,open,high,low,close,volume,open_oi,close_oi
cu2502.SHFE,SHFE.cu2502,2025-01-14 21:00:00,101675,75280.0,75280.0,75280.0,75280.0,0.0,129750.0,129750.0
cu2502.SHFE,SHFE.cu2502,2025-01-14 21:01:00,101676,75410.0,75410.0,75410.0,75410.0,0.0,129599.0,129599.0
cu2502.SHFE,SHFE.cu2502,2025-01-14 21:02:00,101677,75320.0,75320.0,75320.0,75320.0,0.0,129574.0,129574.0
cu2502.SHFE,SHFE.cu2502,2025-01-14 21:03:00,101678,75340.0,75340.0,75340.0,75340.0,0.0,129557.0,129557.0
cu2502.SHFE,SHFE.cu2502,2025-01-14 21:04:00,101679,75330.0,75330.0,75330.0,75330.0,0.0,129542.0,129542.0
cu2502.SHFE,SHFE.cu2502,2025-01-14 21:05:00,101680,75290.0,75290.0,75290.0,75290.0,0.0,129564.0,129564.0
cu2502.SHFE,SHFE.cu2502,2025-01-14 21:06:00,101681,75330.0,75330.0,75330.0,75330.0,0.0,129601.0,129601.0
cu2502.SHFE,SHFE.cu2502,2025-01-14 21:07:00,101682,75370.0,75370.0,75370.0,75370.0,0.0,129549.0,129549.0
cu2502.SHFE,SHFE.cu2502,2025-01-14 21:08:00,101683,75380.0,75380.0,75380.0,75380.0,0.0,129519.0,129519.0
cu2502.SHFE,SHFE.cu2502,2025-01-14 21:09:00,101684,75390.0,75390.0,75390.0,75390.0,0.0,129500.0,129500.0
cu2502.SHFE,SHFE.cu2502,2025-01-14 21:10:00,101685,75380.0,75380.0,75380.0,75380.0,0.0,129469.0,129469.0
cu2502.SHFE,SHFE.cu2502,2025-01-14 21:11:00,101686,75400.0,75400.0,75400.0,75400.0,0.0,129431.0,129431.0
cu2502.SHFE,SHFE.cu2502,2025-01-14 21:12:00,101687,75380.0,75380.0,75380.0,75380.0,0.0,129391.0,129391.0
cu2502.SHFE,SHFE.cu2502,2025-01-14 21:13:00,101688,75360.0,75360.0,75360.0,75360.0,0.0,129378.0,129378.0
cu2502.SHFE,SHFE.cu2502,2025-01-14 21:14:00,101689,75360.0,75360.0,75360.0,75360.0,0.0,129381.0,129381.0
cu2502.SHFE,SHFE.cu2502,2025-01-14 21:15:00,101690,75370.0,75370.0,75370.0,75370.0,0.0,129359.0,129359.0
cu2502.SHFE,SHFE.cu2502,2025-01-14 21:16:00,101691,75330.0,75330.0,75330.0,75330.0,0.0,129337.0,129337.0
cu2502.SHFE,SHFE.cu2502,2025-01-14 21:17:00,101692,75330.0,75330.0,75330.0,75330.0,0.0,129264.0,129264.0
cu2502.SHFE,SHFE.cu2502,2025-01-14 21:18:00,101693,75310.0,75310.0,75310.0,75310.0,0.0,129250.0,129250.0
cu2502.SHFE,SHFE.cu2502,2025-01-14 21:19:00,101694,75300.0,75300.0,75300.0,75300.0,0.0,129213.0,129213.0
cu2502.SHFE,SHFE.cu2502,2025-01-14 21:20:00,101695,75300.0,75300.0,75300.0,75300.0,0.0,129207.0,129207.0
cu2502.SHFE,SHFE.cu2502,2025-01-14 21:21:00,101696,75260.0,75260.0,75260.0,75260.0,0.0,129072.0,129072.0
cu2502.SHFE,SHFE.cu2502,2025-01-14 21:22:00,101697,75270.0,75270.0,75270.0,75270.0,0.0,129099.0,129099.0
cu2502.SHFE,SHFE.cu2502,2025-01-14 21:23:00,101698,75260.0,75260.0,75260.0,75260.0,0.0,129065.0,129065.0
cu2502.SHFE,SHFE.cu2502,2025-01-14 21:24:00,101699,75250.0,75250.0,75250.0,75250.0,0.0,128987.0,128987.0
cu2502.SHFE,SHFE.cu2502,2025-01-14 21:25:00,101700,75270.0,75270.0,75270.0,75270.0,0.0,128958.0,128958.0
cu2502.SHFE,SHFE.cu2502,2025-01-14 21:26:00,101701,75270.0,75270.0,75270.0,75270.0,0.0,128950.0,128950.0
cu2502.SHFE,SHFE.cu2502,2025-01-14 21:27:00,101702,75270.0,75270.0,75270.0,75270.0,0.0,128926.0,128926.0
cu2502.SHFE,SHFE.cu2502,2025-01-14 21:28:00,101703,75280.0,75280.0,75280.0,75280.0,0.0,128925.0,128925.0
cu2502.SHFE,SHFE.cu2502,2025-01-14 21:29:00,101704,75290.0,75290.0,75290.0,75290.0,0.0,128899.0,128899.0
cu2502.SHFE,SHFE.cu2502,2025-01-14 21:30:00,101705,75290.0,75290.0,75290.0,75290.0,0.0,128892.0,128892.0
cu2502.SHFE,SHFE.cu2502,2025-01-14 21:31:00,101706,75360.0,75360.0,75360.0,75360.0,0.0,128777.0,128777.0
cu2502.SHFE,SHFE.cu2502,2025-01-14 21:32:00,101707,75370.0,75370.0,75370.0,75370.0,0.0,128805.0,128805.0
cu2502.SHFE,SHFE.cu2502,2025-01-14 21:33:00,101708,75360.0,75360.0,75360.0,75360.0,0.0,128799.0,128799.0
cu2502.SHFE,SHFE.cu2502,2025-01-14 21:34:00,101709,75360.0,75360.0,75360.0,75360.0,0.0,128789.0,128789.0
cu2502.SHFE,SHFE.cu2502,2025-01-14 21:35:00,101710,75330.0,75330.0,75330.0,75330.0,0.0,128784.0,128784.0
