window_id,window_group,duration_years,requested_start,requested_end,start_month_num,complete_window,terminal_near_complete,comparison,left_arm,right_arm,left_end_equity,right_end_equity,left_return_pct,right_return_pct,delta_return_pct,left_max_dd_pct,right_max_dd_pct,dd_worsening_pp,left_sharpe,right_sharpe,delta_sharpe,left_slippage,right_slippage,slippage_ratio,left_trades,right_trades,left_win_rate_pct,right_win_rate_pct,left_survival_pass,right_survival_pass,left_broker100_pass,right_broker100_pass,left_broker10_peak_pct,right_broker10_peak_pct,left_days_over_100pct,right_days_over_100pct,return_win,left_positive,right_positive,dd_noninferior_2pp,sharpe_noninferior_005,left_dd50_fail,right_dd50_fail
random_1y_001_20230112,random_1y,1,2023-01-12,2024-01-11,1,1,0,A_vs_B,A,B,158455.0,158460.0,5.636666666666668,5.640000000000001,0.0033333333333329,-20.78709913425192,-25.73947667804323,4.952377543791311,0.3473454497230608,0.3414313622535247,-0.0059140874695361,3330.0,4360.0,1.309309309309309,50,66,54.62184873949579,56.2962962962963,1,1,1,1,57.22644757906183,68.8905017234776,0,0,1,1,1,0,1,0,0
random_1y_001_20230112,random_1y,1,2023-01-12,2024-01-11,1,1,0,A_vs_C,A,C,158455.0,143400.0,5.636666666666668,-4.400000000000004,-10.036666666666672,-20.78709913425192,-26.672354948805467,5.885255814553549,0.3473454497230608,-0.0457068408635155,-0.3930522905865764,3330.0,4180.0,1.2552552552552552,50,70,54.62184873949579,54.07407407407408,1,1,1,1,57.22644757906183,66.06015824994182,0,0,0,1,0,0,0,0,0
random_1y_001_20230112,random_1y,1,2023-01-12,2024-01-11,1,1,0,B_vs_C,B,C,158460.0,143400.0,5.640000000000001,-4.400000000000004,-10.040000000000004,-25.73947667804323,-26.672354948805467,0.932878270762238,0.3414313622535247,-0.0457068408635155,-0.3871382031170403,4360.0,4180.0,0.9587155963302753,66,70,56.2962962962963,54.07407407407408,1,1,1,1,68.8905017234776,66.06015824994182,0,0,0,1,0,1,0,0,0
random_1y_002_20230825,random_1y,1,2023-08-25,2024-08-24,8,1,0,A_vs_B,A,B,208265.0,201555.0,38.84333333333334,34.36999999999999,-4.4733333333333505,-11.577177544380636,-11.76788732394366,0.1907097795630239,1.3759987476284294,1.2788990105909648,-0.0970997370374646,4380.0,4390.0,1.0022831050228311,64,68,55.769230769230774,56.41025641025641,1,1,1,1,56.735265855221016,53.86878922594143,0,0,0,1,1,1,0,0,0
random_1y_002_20230825,random_1y,1,2023-08-25,2024-08-24,8,1,0,A_vs_C,A,C,208265.0,293045.0,38.84333333333334,95.36333333333332,56.51999999999999,-11.577177544380636,-11.76788732394366,0.1907097795630239,1.3759987476284294,2.454139310288342,1.0781405626599128,4380.0,4600.0,1.0502283105022832,64,67,55.769230769230774,59.195402298850574,1,1,1,1,56.735265855221016,53.86878922594143,0,0,1,1,1,1,1,0,0
random_1y_002_20230825,random_1y,1,2023-08-25,2024-08-24,8,1,0,B_vs_C,B,C,201555.0,293045.0,34.36999999999999,95.36333333333332,60.99333333333334,-11.76788732394366,-11.76788732394366,0.0,1.2788990105909648,2.454139310288342,1.1752402996973774,4390.0,4600.0,1.0478359908883828,68,67,56.41025641025641,59.195402298850574,1,1,1,1,53.86878922594143,53.86878922594143,0,0,1,1,1,1,1,0,0
random_1y_003_20221227,random_1y,1,2022-12-27,2023-12-26,12,1,0,A_vs_B,A,B,154245.0,155620.0,2.829999999999999,3.746666666666676,0.9166666666666768,-20.41310362173038,-25.423234092235848,5.0101304705054694,0.2405926944194313,0.276677625190672,0.0360849307712406,3090.0,4280.0,1.3851132686084142,52,68,52.84552845528455,55.39568345323741,1,1,1,1,55.3886925795053,62.57471624266145,0,0,1,1,1,0,1,0,0
random_1y_003_20221227,random_1y,1,2022-12-27,2023-12-26,12,1,0,A_vs_C,A,C,154245.0,156510.0,2.829999999999999,4.3400000000000105,1.5100000000000111,-20.41310362173038,-26.182136602451845,5.769032980721466,0.2405926944194313,0.2970898903218482,0.0564971959024168,3090.0,4400.0,1.4239482200647249,52,71,52.84552845528455,53.956834532374096,1,1,1,1,55.3886925795053,64.72702702702703,0,0,1,1,1,0,1,0,0
random_1y_003_20221227,random_1y,1,2022-12-27,2023-12-26,12,1,0,B_vs_C,B,C,155620.0,156510.0,3.746666666666676,4.3400000000000105,0.5933333333333346,-25.423234092235848,-26.182136602451845,0.7589025102159965,0.276677625190672,0.2970898903218482,0.0204122651311762,4280.0,4400.0,1.02803738317757,68,71,55.39568345323741,53.956834532374096,1,1,1,1,62.57471624266145,64.72702702702703,0,0,1,1,1,1,1,0,0
random_1y_004_20220427,random_1y,1,2022-04-27,2023-04-26,4,1,0,A_vs_B,A,B,155990.0,172760.0,3.9933333333333376,15.173333333333328,11.17999999999999,-38.451592047842254,-42.33016800584368,3.878575958001427,0.2978773637065485,0.5469561600547433,0.2490787963481948,3220.0,3700.0,1.1490683229813663,43,51,45.45454545454545,45.45454545454545,1,1,1,1,62.91518850530867,62.39173347585961,0,0,1,1,1,0,1,0,0
