variant,label,profile,window_name,window_label,window_group,analysis_start,analysis_end,account_capital,c3_capital,risk_multiplier,trading_days,end_equity,total_return_pct,cagr_pct,max_dd_pct,ulcer_pct,sharpe,min_equity,max_broker10_margin_to_equity_pct,p95_broker10_margin_to_equity_pct,days_over_100pct,days_over_90pct,days_equity_below_zero,total_slippage,total_trade_count,nonzero_daily_win_rate_pct,forced_margin_deleverage_count,forced_margin_deleverage_closed_volume,dd30_pass,dd40_pass,broker10_100_pass,account_survival_pass,deployable_pass,source_name,rebased_end_equity,rebased_total_return_pct,rebased_cagr_pct,rebased_max_dd_pct,rebased_sharpe,rebased_min_equity,max_broker10_margin_to_rebased_equity_pct,p95_broker10_margin_to_rebased_equity_pct,nav_end,oi_mode,am_label,declared_am_size,note,requested_start_month,start_month,start_year,start_month_num,positive_return,mature_63d,mature_126d,mature_252d,dd40_fail,dd50_fail,arm,experiment_arm,requested_top_n,window_id,duration_years,requested_start,requested_end,complete_window,terminal_near_complete,promotion_arm,random_draw_index
stage064_B_random_1y_004_20220427,B: Top9+fu（10品种）,stage064_B_random_1y_004_20220427,random_1y_004_20220427,2022-04-27 random independent start to 2023-04-26,random_1y,2022-04-27,2023-04-26,150000.0,150000.0,0.4,244,172760.0,15.173333333333328,15.22922021475015,-42.33016800584368,26.69080912675039,0.5469561600547433,127660.0,62.39173347585961,36.84972534424669,0,0,0,3700.0,51.0,45.45454545454545,0,0.0,0,0,1,1,0,stage772_am40_80_120_oi_monthly,172760.0,15.173333333333328,15.22922021475015,-42.33016800584368,0.5469561600547433,127660.0,62.39173347585961,36.84972534424669,1.1517333333333333,,,,,2022-04,2022-04,2022,4,1,1,1,0,1,0,B,B,9,random_1y_004_20220427,1,2022-04-27,2023-04-26,1,0,B,4
stage064_C_random_1y_004_20220427,C: Top10+fu（11品种）,stage064_C_random_1y_004_20220427,random_1y_004_20220427,2022-04-27 random independent start to 2023-04-26,random_1y,2022-04-27,2023-04-26,150000.0,150000.0,0.4,244,177870.0,18.58,18.64941634449515,-37.05683003128259,24.951832089755204,0.6246644762033312,124610.0,66.0433128670582,36.5274802399997,0,0,0,4000.0,59.0,49.137931034482754,0,0.0,0,1,1,1,1,stage772_am40_80_120_oi_monthly,177870.0,18.58,18.64941634449515,-37.05683003128259,0.6246644762033312,124610.0,66.0433128670582,36.5274802399997,1.1858,,,,,2022-04,2022-04,2022,4,1,1,1,0,0,0,C,C,10,random_1y_004_20220427,1,2022-04-27,2023-04-26,1,0,C,4
stage064_A_random_1y_005_20231010,A: 正式Stage037 Top8+fu（9品种）,stage064_A_random_1y_005_20231010,random_1y_005_20231010,2023-10-10 random independent start to 2024-10-09,random_1y,2023-10-10,2024-10-09,150000.0,150000.0,0.4,242,214015.0,42.67666666666668,42.71140296976357,-10.21780831896656,4.651823820748003,1.588196936862749,142580.0,46.331781206171115,31.313691315479293,0,0,0,3840.0,61.0,55.625,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,214015.0,42.67666666666668,42.71140296976357,-10.21780831896656,1.588196936862749,142580.0,46.331781206171115,31.313691315479293,1.4267666666666667,,,,,2023-10,2023-10,2023,10,1,1,1,0,0,0,A,A,8,random_1y_005_20231010,1,2023-10-10,2024-10-09,1,0,A,5
stage064_B_random_1y_005_20231010,B: Top9+fu（10品种）,stage064_B_random_1y_005_20231010,random_1y_005_20231010,2023-10-10 random independent start to 2024-10-09,random_1y,2023-10-10,2024-10-09,150000.0,150000.0,0.4,242,210365.0,40.24333333333334,40.27582444764546,-11.360391103366483,5.481244174399853,1.490997784961016,142580.0,47.382991263528496,31.388926941170865,0,0,0,3890.0,61.0,55.55555555555556,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,210365.0,40.24333333333334,40.27582444764546,-11.360391103366483,1.490997784961016,142580.0,47.382991263528496,31.388926941170865,1.4024333333333334,,,,,2023-10,2023-10,2023,10,1,1,1,0,0,0,B,B,9,random_1y_005_20231010,1,2023-10-10,2024-10-09,1,0,B,5
stage064_C_random_1y_005_20231010,C: Top10+fu（11品种）,stage064_C_random_1y_005_20231010,random_1y_005_20231010,2023-10-10 random independent start to 2024-10-09,random_1y,2023-10-10,2024-10-09,150000.0,150000.0,0.4,242,301645.0,101.09666666666666,101.19291520987424,-11.360391103366483,4.440747800489845,2.633850249853829,142580.0,47.382991263528496,36.93823630831717,0,0,0,5110.0,67.0,57.30337078651685,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,301645.0,101.09666666666666,101.19291520987424,-11.360391103366483,2.633850249853829,142580.0,47.382991263528496,36.93823630831717,2.0109666666666666,,,,,2023-10,2023-10,2023,10,1,1,1,0,0,0,C,C,10,random_1y_005_20231010,1,2023-10-10,2024-10-09,1,0,C,5
stage064_A_random_1y_006_20240805,A: 正式Stage037 Top8+fu（9品种）,stage064_A_random_1y_006_20240805,random_1y_006_20240805,2024-08-05 random independent start to 2025-08-04,random_1y,2024-08-05,2025-08-04,150000.0,150000.0,0.4,242,228325.0,52.21666666666667,52.43643887943532,-20.013662398626753,9.630572034702796,1.1901161881783116,140705.0,63.66956521739131,51.124094128586414,0,0,0,6270.0,66.0,48.66666666666667,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,228325.0,52.21666666666667,52.43643887943532,-20.013662398626753,1.1901161881783116,140705.0,63.66956521739131,51.124094128586414,1.522166666666667,,,,,2024-08,2024-08,2024,8,1,1,1,0,0,0,A,A,8,random_1y_006_20240805,1,2024-08-05,2025-08-04,1,0,A,6
stage064_B_random_1y_006_20240805,B: Top9+fu（10品种）,stage064_B_random_1y_006_20240805,random_1y_006_20240805,2024-08-05 random independent start to 2025-08-04,random_1y,2024-08-05,2025-08-04,150000.0,150000.0,0.4,242,235455.0,56.97000000000001,57.21323545410972,-20.18880395912073,8.498770768534657,1.272316942674934,142145.0,63.66956521739131,51.4302063466353,0,0,0,6650.0,70.0,49.01960784313725,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,235455.0,56.97000000000001,57.21323545410972,-20.18880395912073,1.272316942674934,142145.0,63.66956521739131,51.4302063466353,1.5697,,,,,2024-08,2024-08,2024,8,1,1,1,0,0,0,B,B,9,random_1y_006_20240805,1,2024-08-05,2025-08-04,1,0,B,6
stage064_C_random_1y_006_20240805,C: Top10+fu（11品种）,stage064_C_random_1y_006_20240805,random_1y_006_20240805,2024-08-05 random independent start to 2025-08-04,random_1y,2024-08-05,2025-08-04,150000.0,150000.0,0.4,242,227695.0,51.79666666666667,52.014390089761584,-23.15855716696702,11.331260616973577,1.1679637255876083,134315.0,63.66956521739131,53.83486501221188,0,0,0,6630.0,71.0,48.07692307692308,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,227695.0,51.79666666666667,52.014390089761584,-23.15855716696702,1.1679637255876083,134315.0,63.66956521739131,53.83486501221188,1.517966666666667,,,,,2024-08,2024-08,2024,8,1,1,1,0,0,0,C,C,10,random_1y_006_20240805,1,2024-08-05,2025-08-04,1,0,C,6
stage064_A_random_1y_007_20181206,A: 正式Stage037 Top8+fu（9品种）,stage064_A_random_1y_007_20181206,random_1y_007_20181206,2018-12-06 random independent start to 2019-12-05,random_1y,2018-12-06,2019-12-05,150000.0,150000.0,0.4,243,190777.10000000003,27.184733333333355,27.289804761630208,-18.865747749183328,8.63502882522937,1.0754015275746849,127289.50000000004,59.157017169214996,41.963397206341206,0,0,0,6340.0,74.0,48.07692307692308,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,190777.10000000003,27.184733333333355,27.289804761630208,-18.865747749183328,1.0754015275746849,127289.50000000004,59.157017169214996,41.963397206341206,1.2718473333333336,,,,,2018-12,2018-12,2018,12,1,1,1,0,0,0,A,A,8,random_1y_007_20181206,1,2018-12-06,2019-12-05,1,0,A,7
stage064_B_random_1y_007_20181206,B: Top9+fu（10品种）,stage064_B_random_1y_007_20181206,random_1y_007_20181206,2018-12-06 random independent start to 2019-12-05,random_1y,2018-12-06,2019-12-05,150000.0,150000.0,0.4,243,190777.10000000003,27.184733333333355,27.289804761630208,-18.865747749183328,8.63502882522937,1.0754015275746849,127289.50000000004,59.157017169214996,41.963397206341206,0,0,0,6340.0,74.0,48.07692307692308,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,190777.10000000003,27.184733333333355,27.289804761630208,-18.865747749183328,1.0754015275746849,127289.50000000004,59.157017169214996,41.963397206341206,1.2718473333333336,,,,,2018-12,2018-12,2018,12,1,1,1,0,0,0,B,B,9,random_1y_007_20181206,1,2018-12-06,2019-12-05,1,0,B,7
