window_id,window_group,duration_years,requested_start,requested_end,start_month_num,complete_window,terminal_near_complete,comparison,left_arm,right_arm,left_end_equity,right_end_equity,left_return_pct,right_return_pct,delta_return_pct,left_max_dd_pct,right_max_dd_pct,dd_worsening_pp,left_sharpe,right_sharpe,delta_sharpe,left_slippage,right_slippage,left_trades,right_trades,left_win_rate_pct,right_win_rate_pct,left_survival_pass,right_survival_pass,left_broker100_pass,right_broker100_pass,left_broker10_peak_pct,right_broker10_peak_pct,left_days_over_100pct,right_days_over_100pct,return_win,right_positive,left_positive,dd_noninferior_2pp,sharpe_noninferior_005,left_dd40_fail,right_dd40_fail,left_dd50_fail,right_dd50_fail
full_2018_2026,full_period,0,2018-01-01,2026-05-29,1,1,0,A_vs_C,A,C,13071214.100000007,13338365.80000001,8614.14273333334,8792.243866666673,178.10113333333356,-56.206935956180295,-56.98762835543509,0.7806923992547965,1.362230340211364,1.3626692370353988,0.0004388968240347513,1525590.0,1517200.0,808,825,52.58408531583265,52.68115942028986,1,1,1,0,91.49497007579949,100.4111866942261,0,1,1,1,1,1,1,1,1,1,1
full_2018_2026,full_period,0,2018-01-01,2026-05-29,1,1,0,A_vs_F,A,F,13071214.100000007,16361436.100000007,8614.14273333334,10807.624066666673,2193.481333333333,-56.206935956180295,-61.99108913463335,5.784153178453053,1.362230340211364,1.389323122804882,0.027092782593517883,1525590.0,2053480.0,808,829,52.58408531583265,52.91512915129152,1,1,1,0,91.49497007579949,102.5885018783978,0,2,1,1,1,0,1,1,1,1,1
full_2018_2026,full_period,0,2018-01-01,2026-05-29,1,1,0,C_vs_F,C,F,13338365.80000001,16361436.100000007,8792.243866666673,10807.624066666673,2015.3801999999996,-56.98762835543509,-61.99108913463335,5.003460779198257,1.3626692370353988,1.389323122804882,0.026653885769483132,1517200.0,2053480.0,825,829,52.68115942028986,52.91512915129152,1,1,0,0,100.4111866942261,102.5885018783978,1,2,1,1,1,0,1,1,1,1,1
full_2018_2026,full_period,0,2018-01-01,2026-05-29,1,1,0,A_vs_H,A,H,13071214.100000007,15553660.10000001,8614.14273333334,10269.10673333334,1654.964,-56.206935956180295,-60.34695698819308,4.140021032012783,1.362230340211364,1.4101681682072271,0.0479378279958631,1525590.0,1701240.0,808,823,52.58408531583265,52.23116313094367,1,1,1,1,91.49497007579949,95.2240484272014,0,0,1,1,1,0,1,1,1,1,1
full_2018_2026,full_period,0,2018-01-01,2026-05-29,1,1,0,C_vs_H,C,H,13338365.80000001,15553660.10000001,8792.243866666673,10269.10673333334,1476.8628666666664,-56.98762835543509,-60.34695698819308,3.359328632757986,1.3626692370353988,1.4101681682072271,0.04749893117182835,1517200.0,1701240.0,825,823,52.68115942028986,52.23116313094367,1,1,0,1,100.4111866942261,95.2240484272014,1,0,1,1,1,0,1,1,1,1,1
full_2018_2026,full_period,0,2018-01-01,2026-05-29,1,1,0,F_vs_H,F,H,16361436.100000007,15553660.10000001,10807.624066666673,10269.10673333334,-538.5173333333332,-61.99108913463335,-60.34695698819308,0.0,1.389323122804882,1.4101681682072271,0.02084504540234522,2053480.0,1701240.0,829,823,52.91512915129152,52.23116313094367,1,1,0,1,102.5885018783978,95.2240484272014,2,0,0,1,1,1,1,1,1,1,1
roll_1y_2018_01,rolling_1y,1,2018-01-01,2018-12-31,1,1,0,A_vs_C,A,C,144120.40000000002,134950.40000000002,-3.919733333333319,-10.033066666666643,-6.113333333333324,-15.640773516879747,-15.640773516879747,0.0,-0.1591543885005252,-0.5062719888985959,-0.3471176003980707,3880.0,4040.0,58,61,41.25,43.08943089430895,1,1,1,1,49.13024959305479,58.662096623764235,0,0,0,0,0,1,0,0,0,0,0
roll_1y_2018_01,rolling_1y,1,2018-01-01,2018-12-31,1,1,0,A_vs_F,A,F,144120.40000000002,135080.40000000002,-3.919733333333319,-9.946399999999988,-6.026666666666669,-15.640773516879747,-15.640773516879747,0.0,-0.1591543885005252,-0.4494593114648623,-0.2903049229643371,3880.0,4080.0,58,61,41.25,43.90243902439025,1,1,1,1,49.13024959305479,62.86745202280688,0,0,0,0,0,1,0,0,0,0,0
roll_1y_2018_01,rolling_1y,1,2018-01-01,2018-12-31,1,1,0,C_vs_F,C,F,134950.40000000002,135080.40000000002,-10.033066666666643,-9.946399999999988,0.08666666666665535,-15.640773516879747,-15.640773516879747,0.0,-0.5062719888985959,-0.4494593114648623,0.05681267743373364,4040.0,4080.0,61,61,43.08943089430895,43.90243902439025,1,1,1,1,58.662096623764235,62.86745202280688,0,0,1,0,0,1,1,0,0,0,0
roll_1y_2018_01,rolling_1y,1,2018-01-01,2018-12-31,1,1,0,A_vs_H,A,H,144120.40000000002,134950.40000000002,-3.919733333333319,-10.033066666666643,-6.113333333333324,-15.640773516879747,-15.640773516879747,0.0,-0.1591543885005252,-0.5062719888985959,-0.3471176003980707,3880.0,4040.0,58,61,41.25,43.08943089430895,1,1,1,1,49.13024959305479,58.662096623764235,0,0,0,0,0,1,0,0,0,0,0
