variant,label,profile,window_name,window_label,window_group,analysis_start,analysis_end,account_capital,c3_capital,risk_multiplier,trading_days,end_equity,total_return_pct,cagr_pct,max_dd_pct,ulcer_pct,sharpe,min_equity,max_broker10_margin_to_equity_pct,p95_broker10_margin_to_equity_pct,days_over_100pct,days_over_90pct,days_equity_below_zero,total_slippage,total_trade_count,nonzero_daily_win_rate_pct,forced_margin_deleverage_count,forced_margin_deleverage_closed_volume,dd30_pass,dd40_pass,broker10_100_pass,account_survival_pass,deployable_pass,source_name,rebased_end_equity,rebased_total_return_pct,rebased_cagr_pct,rebased_max_dd_pct,rebased_sharpe,rebased_min_equity,max_broker10_margin_to_rebased_equity_pct,p95_broker10_margin_to_rebased_equity_pct,nav_end,oi_mode,am_label,declared_am_size,note,requested_start_month,start_month,start_year,start_month_num,positive_return,mature_63d,mature_126d,mature_252d,dd40_fail,dd50_fail,arm
stage001_A_official_live_c9_15w,A: 正式 C9/15万原样基线,stage001_A_official_live_c9_15w,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,2018-01-02,2026-05-29,150000.0,150000.0,0.4,2037,13071214.100000009,8614.14273333334,70.18112546653508,-56.206935956180295,23.153139900843044,1.362230340211364,115585.20000000004,91.49497007579947,63.82054034508503,0,2,0,1525590.0,808.0,52.58408531583265,0,0.0,0,0,1,1,0,stage772_am40_80_120_oi_monthly,13071214.100000009,8614.14273333334,70.18112546653508,-56.206935956180295,1.362230340211364,115585.20000000004,91.49497007579947,63.82054034508503,87.1414273333334,,,,,2018-01,2018-01,2018,1,1,1,1,1,1,1,stage001_A_official_live_c9_15w
stage001_C_official_live_c9_15w_rollover_shape_same_volume,C: 正式 C9/15万 + 换月形态确认原手数完整重开,stage001_C_official_live_c9_15w_rollover_shape_same_volume,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,2018-01-02,2026-05-29,150000.0,150000.0,0.4,2037,13518540.800000008,8912.360533333338,70.86402386847881,-57.26735695404594,23.282079295390915,1.3625282590173915,115585.20000000004,99.56270584702793,64.33270581134717,0,7,0,1576750.0,809.0,52.7169505271695,0,0.0,0,0,1,1,0,stage772_am40_80_120_oi_monthly,13518540.800000008,8912.360533333338,70.86402386847881,-57.26735695404594,1.3625282590173915,115585.20000000004,99.56270584702793,64.33270581134717,90.12360533333339,,,,,2018-01,2018-01,2018,1,1,1,1,1,1,1,stage001_C_official_live_c9_15w_rollover_shape_same_volume
