diagnostic_index,datetime,date,contract_vt_symbol,product_vt_symbol,direction,entry_context,long_signal_range_atr_enabled,long_signal_range_atr_long_enabled,long_signal_range_atr_short_enabled,long_signal_range_lookback,long_signal_range_atr_period,long_signal_range_atr_multiplier,long_signal_range_require_recent_stall,long_signal_range_recent_gain_lookback,long_signal_range_recent_gain_atr_multiplier,long_signal_range_enable_ordered_drawdown_filter,long_signal_range_ordered_drawdown_atr_multiplier,long_signal_range_atr_entry_context,long_signal_range_atr_direction,long_signal_range_high,long_signal_range_low,long_signal_range_value,long_signal_range_prior_atr,long_signal_range_atr_threshold,long_signal_range_recent_gain,long_signal_range_directional_recent_move,long_signal_range_recent_gain_atr_threshold,long_signal_range_recent_stall_condition_met,long_signal_range_expansion_stall_condition_met,long_signal_range_ordered_drawdown_peak,long_signal_range_ordered_drawdown_trough,long_signal_range_ordered_drawdown_value,long_signal_range_ordered_drawdown_atr_threshold,long_signal_range_ordered_drawdown_peak_index,long_signal_range_ordered_drawdown_trough_index,long_signal_range_ordered_drawdown_peak_history_index,long_signal_range_ordered_drawdown_trough_history_index,long_signal_range_ordered_drawdown_condition_met,long_signal_range_ordered_move_kind,long_signal_range_atr_condition_met,long_signal_range_atr_reason,long_signal_range_atr_blocked,long_signal_range_atr_selected_volume_before,long_signal_range_atr_selected_volume_after,profile,start_month,variant,account_capital,c3_capital,experiment_arm
282,2021-07-14 00:00:00+08:00,2021-07-14,MA109.CZCE,MA.CZCE,long,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,long,2675.0,2520.0,155.0,60.2,180.60000000000002,73.0,73.0,30.1,0,0,2659.0,2520.0,139.0,240.8,3,5,34,36,0,drawdown,0,range_not_above_threshold,0,70,70,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
283,2021-07-20 00:00:00+08:00,2021-07-20,SM109.CZCE,SM.CZCE,long,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,long,8046.0,7182.0,864.0,233.2,699.5999999999999,82.0,82.0,116.6,1,1,7498.0,7182.0,316.0,932.8,1,3,32,34,0,drawdown,1,range_strictly_above_and_recent_gain_below_threshold,1,52,0,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
284,2021-07-21 00:00:00+08:00,2021-07-21,jm2109.DCE,jm.DCE,long,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,long,2101.5,1818.0,283.5,64.2,192.60000000000002,55.0,55.0,32.1,0,0,1943.5,1818.0,125.5,256.8,0,1,31,32,0,drawdown,0,range_above_but_recent_gain_not_stalled,0,28,28,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
285,2021-07-23 00:00:00+08:00,2021-07-23,AP110.CZCE,AP.CZCE,short,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,short,6220.0,5857.0,363.0,123.4,370.20000000000005,-151.0,151.0,61.7,0,0,6220.0,5933.0,287.0,493.6,5,3,36,34,0,rebound,0,range_not_above_threshold,0,26,26,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
286,2021-07-29 00:00:00+08:00,2021-07-29,SM109.CZCE,SM.CZCE,long,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,long,8064.0,7602.0,462.0,194.0,582.0,232.0,232.0,97.0,0,0,8046.0,7602.0,444.0,776.0,1,4,32,35,0,drawdown,0,range_not_above_threshold,0,148,148,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
287,2021-07-30 00:00:00+08:00,2021-07-30,au2112.SHFE,au.SHFE,long,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,long,383.12,375.16,7.9599999999999795,3.9440000000000053,11.832000000000015,6.660000000000025,6.660000000000025,1.9720000000000026,0,0,382.54,375.16,7.3799999999999955,15.776000000000021,2,4,33,35,0,drawdown,0,range_not_above_threshold,0,18,18,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
288,2021-07-30 00:00:00+08:00,2021-07-30,cu2109.SHFE,cu.SHFE,long,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,long,72740.0,67400.0,5340.0,1218.0,3654.0,50.0,50.0,609.0,1,1,69580.0,67400.0,2180.0,4872.0,0,1,31,32,0,drawdown,1,range_strictly_above_and_recent_gain_below_threshold,1,15,0,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
289,2021-08-04 00:00:00+08:00,2021-08-04,ru2109.SHFE,ru.SHFE,long,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,long,13590.0,12980.0,610.0,244.0,732.0,85.0,85.0,122.0,1,0,13430.0,13080.0,350.0,976.0,3,4,34,35,0,drawdown,0,range_not_above_threshold,0,25,25,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
290,2021-08-10 00:00:00+08:00,2021-08-10,SA201.CZCE,SA.CZCE,long,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,long,2667.0,2491.0,176.0,79.0,237.0,151.0,151.0,39.5,0,0,2648.0,2491.0,157.0,316.0,2,5,33,36,0,drawdown,0,range_not_above_threshold,0,51,51,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
291,2021-08-16 00:00:00+08:00,2021-08-16,CF201.CZCE,CF.CZCE,long,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,long,18185.0,17235.0,950.0,259.0,777.0,305.0,305.0,129.5,0,0,17630.0,17235.0,395.0,1036.0,0,1,31,32,0,drawdown,0,range_above_but_recent_gain_not_stalled,0,47,47,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
292,2021-08-16 00:00:00+08:00,2021-08-16,MA201.CZCE,MA.CZCE,long,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,long,2876.0,2696.0,180.0,58.0,174.0,43.0,43.0,29.0,0,0,2781.0,2696.0,85.0,232.0,0,4,31,35,0,drawdown,0,range_above_but_recent_gain_not_stalled,0,208,208,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
293,2021-08-16 00:00:00+08:00,2021-08-16,ru2201.SHFE,ru.SHFE,long,rollover_reopen,1,1,1,10,5,3.0,1,3,0.5,1,4.0,rollover_reopen,long,15105.0,14380.0,725.0,277.0,831.0,-130.0,-130.0,138.5,1,0,15105.0,14540.0,565.0,1108.0,4,8,35,39,0,drawdown,0,range_not_above_threshold,0,40,40,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
294,2021-08-24 00:00:00+08:00,2021-08-24,hc2201.SHFE,hc.SHFE,short,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,short,5912.0,5272.0,640.0,171.0,513.0,215.0,-215.0,85.5,1,1,5610.0,5272.0,338.0,684.0,9,7,40,38,0,rebound,1,short_range_strictly_above_and_recent_decline_below_threshold,1,117,0,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
295,2021-08-24 00:00:00+08:00,2021-08-24,rb2201.SHFE,rb.SHFE,short,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,short,5600.0,4890.0,710.0,179.0,537.0,218.0,-218.0,89.5,1,1,5241.0,4890.0,351.0,716.0,9,7,40,38,0,rebound,1,short_range_strictly_above_and_recent_decline_below_threshold,1,125,0,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
296,2021-08-27 00:00:00+08:00,2021-08-27,sp2110.SHFE,sp.SHFE,short,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,short,6398.0,6006.0,392.0,115.2,345.6,-100.0,100.0,57.6,0,0,6364.0,6170.0,194.0,460.8,2,1,33,32,0,rebound,0,short_range_above_but_recent_decline_not_stalled,0,107,107,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
297,2021-08-31 00:00:00+08:00,2021-08-31,SM201.CZCE,SM.CZCE,long,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,long,8726.0,7750.0,976.0,241.2,723.5999999999999,834.0,834.0,120.6,0,0,8206.0,7750.0,456.0,964.8,3,7,34,38,0,drawdown,0,range_above_but_recent_gain_not_stalled,0,126,126,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
298,2021-09-01 00:00:00+08:00,2021-09-01,sp2110.SHFE,sp.SHFE,short,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,short,6314.0,5912.0,402.0,107.2,321.6,-144.0,144.0,53.6,0,0,6146.0,6006.0,140.0,428.8,7,5,38,36,0,rebound,0,short_range_above_but_recent_decline_not_stalled,0,36,36,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
299,2021-09-03 00:00:00+08:00,2021-09-03,MA201.CZCE,MA.CZCE,long,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,long,2929.0,2754.0,175.0,67.4,202.20000000000002,102.0,102.0,33.7,0,0,2929.0,2754.0,175.0,269.6,1,7,32,38,0,drawdown,0,range_not_above_threshold,0,118,118,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
300,2021-09-06 00:00:00+08:00,2021-09-06,OI201.CZCE,OI.CZCE,long,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,long,11069.0,10562.0,507.0,221.0,663.0,237.0,237.0,110.5,0,0,11069.0,10565.0,504.0,884.0,2,7,33,38,0,drawdown,0,range_not_above_threshold,0,26,26,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
301,2021-09-07 00:00:00+08:00,2021-09-07,SA201.CZCE,SA.CZCE,long,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,long,2892.0,2630.0,262.0,58.6,175.8,178.0,178.0,29.3,0,0,2751.0,2630.0,121.0,234.4,0,2,31,33,0,drawdown,0,range_above_but_recent_gain_not_stalled,0,24,24,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
302,2021-09-10 00:00:00+08:00,2021-09-10,FG201.CZCE,FG.CZCE,short,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,short,2774.0,2499.0,275.0,112.8,338.4,-151.0,151.0,56.4,0,0,2774.0,2566.0,208.0,451.2,5,2,36,33,0,rebound,0,range_not_above_threshold,0,105,105,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
303,2021-09-14 00:00:00+08:00,2021-09-14,fu2201.SHFE,fu.SHFE,long,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,long,2744.0,2512.0,232.0,74.0,222.0,84.0,84.0,37.0,0,0,2658.0,2558.0,100.0,296.0,6,7,37,38,0,drawdown,0,range_above_but_recent_gain_not_stalled,0,177,177,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
304,2021-09-23 00:00:00+08:00,2021-09-23,CF201.CZCE,CF.CZCE,short,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,short,18185.0,17030.0,1155.0,285.0,855.0,-495.0,495.0,142.5,0,0,17675.0,17255.0,420.0,1140.0,6,5,37,36,0,rebound,0,short_range_above_but_recent_decline_not_stalled,0,86,86,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
305,2021-09-23 00:00:00+08:00,2021-09-23,OI201.CZCE,OI.CZCE,long,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,long,11147.0,10615.0,532.0,224.2,672.5999999999999,195.0,195.0,112.1,0,0,11106.0,10638.0,468.0,896.8,6,8,37,39,0,drawdown,0,range_not_above_threshold,0,61,61,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
306,2021-09-28 00:00:00+08:00,2021-09-28,rb2201.SHFE,rb.SHFE,long,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,long,5763.0,5384.0,379.0,174.6,523.8,29.0,29.0,87.3,1,0,5763.0,5384.0,379.0,698.4,0,8,31,39,0,drawdown,0,range_not_above_threshold,0,61,61,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
307,2021-09-29 00:00:00+08:00,2021-09-29,au2112.SHFE,au.SHFE,short,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,short,376.58,362.4,14.180000000000007,4.568000000000007,13.70400000000002,-2.2999999999999545,2.2999999999999545,2.2840000000000034,0,0,373.92,364.28,9.640000000000043,18.272000000000027,5,3,36,34,0,rebound,0,short_range_above_but_recent_decline_not_stalled,0,18,18,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
308,2021-09-29 00:00:00+08:00,2021-09-29,jm2201.DCE,jm.DCE,long,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,long,3093.5,2626.0,467.5,189.0,567.0,212.0,212.0,94.5,0,0,3044.0,2750.0,294.0,756.0,5,7,36,38,0,drawdown,0,range_not_above_threshold,0,12,12,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
309,2021-09-30 00:00:00+08:00,2021-09-30,CF201.CZCE,CF.CZCE,long,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,long,20035.0,17030.0,3005.0,624.0,1872.0,1495.0,1495.0,312.0,0,0,17675.0,17030.0,645.0,2496.0,1,3,32,34,0,drawdown,0,range_above_but_recent_gain_not_stalled,0,48,48,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
310,2021-10-11 00:00:00+08:00,2021-10-11,AP201.CZCE,AP.CZCE,long,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,long,7011.0,5623.0,1388.0,231.6,694.8,604.0,604.0,115.8,0,0,6780.0,6300.0,480.0,926.4,8,9,39,40,0,drawdown,0,range_above_but_recent_gain_not_stalled,0,91,91,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
311,2021-10-14 00:00:00+08:00,2021-10-14,cu2111.SHFE,cu.SHFE,long,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,long,73630.0,67890.0,5740.0,1414.0,4242.0,2220.0,2220.0,707.0,0,0,69800.0,67890.0,1910.0,5656.0,1,4,32,35,0,drawdown,0,range_above_but_recent_gain_not_stalled,0,16,16,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
312,2021-10-25 00:00:00+08:00,2021-10-25,FG201.CZCE,FG.CZCE,short,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,short,2484.0,1973.0,511.0,149.6,448.79999999999995,-301.0,301.0,74.8,0,0,2457.0,2231.0,226.0,598.4,2,1,33,32,0,rebound,0,short_range_above_but_recent_decline_not_stalled,0,220,220,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
313,2021-10-25 00:00:00+08:00,2021-10-25,hc2201.SHFE,hc.SHFE,short,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,short,5832.0,5151.0,681.0,241.2,723.5999999999999,-370.0,370.0,120.6,0,0,5775.0,5482.0,293.0,964.8,5,1,36,32,0,rebound,0,range_not_above_threshold,0,170,170,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
314,2021-10-27 00:00:00+08:00,2021-10-27,rb2201.SHFE,rb.SHFE,short,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,short,5570.0,4624.0,946.0,246.0,738.0,-245.0,245.0,123.0,0,0,5570.0,5311.0,259.0,984.0,3,2,34,33,0,rebound,0,short_range_above_but_recent_decline_not_stalled,0,96,96,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
315,2021-10-29 00:00:00+08:00,2021-10-29,lh2201.DCE,lh.DCE,long,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,long,17670.0,15590.0,2080.0,719.0,2157.0,-615.0,-615.0,359.5,1,0,17670.0,16675.0,995.0,2876.0,8,9,39,40,0,drawdown,0,range_not_above_threshold,0,57,57,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
316,2021-11-05 00:00:00+08:00,2021-11-05,SA201.CZCE,SA.CZCE,short,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,short,2947.0,2435.0,512.0,231.4,694.2,2.0,-2.0,115.7,1,0,2818.0,2435.0,383.0,925.6,7,6,38,37,0,rebound,0,range_not_above_threshold,0,66,66,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
317,2021-11-08 00:00:00+08:00,2021-11-08,SM201.CZCE,SM.CZCE,short,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,short,10348.0,8560.0,1788.0,552.8,1658.3999999999999,-718.0,718.0,276.4,0,0,10242.0,9030.0,1212.0,2211.2,2,1,33,32,0,rebound,0,short_range_above_but_recent_decline_not_stalled,0,100,100,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
318,2021-11-09 00:00:00+08:00,2021-11-09,MA201.CZCE,MA.CZCE,short,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,short,3201.0,2644.0,557.0,194.2,582.5999999999999,-119.0,119.0,97.1,0,0,2979.0,2644.0,335.0,776.8,3,1,34,32,0,rebound,0,range_not_above_threshold,0,156,156,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
319,2021-11-10 00:00:00+08:00,2021-11-10,au2112.SHFE,au.SHFE,long,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,long,378.5,364.12,14.379999999999995,4.432000000000005,13.296000000000014,5.71999999999997,5.71999999999997,2.2160000000000024,0,0,373.96,364.12,9.839999999999975,17.72800000000002,1,5,32,36,0,drawdown,0,range_above_but_recent_gain_not_stalled,0,35,35,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
320,2021-11-12 00:00:00+08:00,2021-11-12,jm2201.DCE,jm.DCE,short,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,short,2539.0,2038.0,501.0,149.8,449.40000000000003,-110.5,110.5,74.9,0,0,2539.0,2038.0,501.0,599.2,3,1,34,32,0,rebound,0,short_range_above_but_recent_decline_not_stalled,0,17,17,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
321,2021-11-15 00:00:00+08:00,2021-11-15,fu2201.SHFE,fu.SHFE,short,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,short,2999.0,2750.0,249.0,99.4,298.20000000000005,-168.0,168.0,49.7,0,0,2981.0,2750.0,231.0,397.6,6,3,37,34,0,rebound,0,range_not_above_threshold,0,115,115,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
322,2021-11-17 00:00:00+08:00,2021-11-17,fu2201.SHFE,fu.SHFE,short,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,short,2981.0,2750.0,231.0,95.8,287.4,28.0,-28.0,47.9,1,0,2981.0,2750.0,231.0,383.2,4,1,35,32,0,rebound,0,range_not_above_threshold,0,348,348,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
323,2021-11-22 00:00:00+08:00,2021-11-22,ru2201.SHFE,ru.SHFE,long,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,long,15540.0,13780.0,1760.0,394.0,1182.0,855.0,855.0,197.0,0,0,14840.0,14360.0,480.0,1576.0,5,8,36,39,0,drawdown,0,range_above_but_recent_gain_not_stalled,0,61,61,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
324,2021-11-29 00:00:00+08:00,2021-11-29,fu2201.SHFE,fu.SHFE,short,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,short,2936.0,2639.0,297.0,109.4,328.20000000000005,-221.0,221.0,54.7,0,0,2936.0,2730.0,206.0,437.6,7,4,38,35,0,rebound,0,range_not_above_threshold,0,250,250,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
325,2021-12-02 00:00:00+08:00,2021-12-02,CF201.CZCE,CF.CZCE,short,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,short,21845.0,19685.0,2160.0,667.0,2001.0,-405.0,405.0,333.5,0,0,20745.0,19685.0,1060.0,2668.0,9,8,40,39,0,rebound,0,short_range_above_but_recent_decline_not_stalled,0,119,119,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
326,2021-12-03 00:00:00+08:00,2021-12-03,sp2201.SHFE,sp.SHFE,long,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,long,6054.0,5038.0,1016.0,214.8,644.4000000000001,350.0,350.0,107.4,0,0,6054.0,5812.0,242.0,859.2,8,9,39,40,0,drawdown,0,range_above_but_recent_gain_not_stalled,0,120,120,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
327,2021-12-06 00:00:00+08:00,2021-12-06,lh2201.DCE,lh.DCE,short,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,short,16950.0,15115.0,1835.0,454.0,1362.0,-995.0,995.0,227.0,0,0,16950.0,16205.0,745.0,1816.0,3,0,34,31,0,rebound,0,short_range_above_but_recent_decline_not_stalled,0,16,16,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
328,2021-12-07 00:00:00+08:00,2021-12-07,cu2201.SHFE,cu.SHFE,short,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,short,72260.0,68620.0,3640.0,1062.0,3186.0,770.0,-770.0,531.0,1,1,72260.0,70770.0,1490.0,4248.0,1,0,32,31,0,rebound,1,short_range_strictly_above_and_recent_decline_below_threshold,1,34,0,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
329,2021-12-15 00:00:00+08:00,2021-12-15,SA205.CZCE,SA.CZCE,short,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,short,2643.0,2192.0,451.0,114.0,342.0,-35.0,35.0,57.0,1,1,2635.0,2467.0,168.0,456.0,3,1,34,32,0,rebound,1,short_range_strictly_above_and_recent_decline_below_threshold,1,102,0,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
330,2021-12-16 00:00:00+08:00,2021-12-16,jm2205.DCE,jm.DCE,long,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,long,2143.0,1837.0,306.0,103.4,310.20000000000005,105.0,105.0,51.7,0,0,2127.0,1883.0,244.0,413.6,3,6,34,37,0,drawdown,0,range_not_above_threshold,0,54,54,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
331,2021-12-16 00:00:00+08:00,2021-12-16,rb2205.SHFE,rb.SHFE,long,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,long,4534.0,4264.0,270.0,104.0,312.0,114.0,114.0,52.0,0,0,4496.0,4264.0,232.0,416.0,2,5,33,36,0,drawdown,0,range_not_above_threshold,0,201,201,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
332,2021-12-17 00:00:00+08:00,2021-12-17,hc2205.SHFE,hc.SHFE,long,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,long,4746.0,4387.0,359.0,110.4,331.20000000000005,130.0,130.0,55.2,0,0,4678.0,4387.0,291.0,441.6,1,4,32,35,0,drawdown,0,range_above_but_recent_gain_not_stalled,0,243,243,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
333,2021-12-21 00:00:00+08:00,2021-12-21,MA205.CZCE,MA.CZCE,long,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,long,2732.0,2451.0,281.0,80.8,242.39999999999998,-79.0,-79.0,40.4,1,1,2732.0,2555.0,177.0,323.2,8,9,39,40,0,drawdown,1,range_strictly_above_and_recent_gain_below_threshold,1,448,0,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
