diagnostic_index,datetime,date,contract_vt_symbol,product_vt_symbol,direction,entry_context,long_signal_range_atr_enabled,long_signal_range_atr_long_enabled,long_signal_range_atr_short_enabled,long_signal_range_lookback,long_signal_range_atr_period,long_signal_range_atr_multiplier,long_signal_range_require_recent_stall,long_signal_range_recent_gain_lookback,long_signal_range_recent_gain_atr_multiplier,long_signal_range_enable_ordered_drawdown_filter,long_signal_range_ordered_drawdown_atr_multiplier,long_signal_range_atr_entry_context,long_signal_range_atr_direction,long_signal_range_high,long_signal_range_low,long_signal_range_value,long_signal_range_prior_atr,long_signal_range_atr_threshold,long_signal_range_recent_gain,long_signal_range_directional_recent_move,long_signal_range_recent_gain_atr_threshold,long_signal_range_recent_stall_condition_met,long_signal_range_expansion_stall_condition_met,long_signal_range_ordered_drawdown_peak,long_signal_range_ordered_drawdown_trough,long_signal_range_ordered_drawdown_value,long_signal_range_ordered_drawdown_atr_threshold,long_signal_range_ordered_drawdown_peak_index,long_signal_range_ordered_drawdown_trough_index,long_signal_range_ordered_drawdown_peak_history_index,long_signal_range_ordered_drawdown_trough_history_index,long_signal_range_ordered_drawdown_condition_met,long_signal_range_ordered_move_kind,long_signal_range_atr_condition_met,long_signal_range_atr_reason,long_signal_range_atr_blocked,long_signal_range_atr_selected_volume_before,long_signal_range_atr_selected_volume_after,profile,start_month,variant,account_capital,c3_capital,experiment_arm
11,2018-03-20 00:00:00+08:00,2018-03-20,ru1805.SHFE,ru.SHFE,short,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,short,13050.0,12075.0,975.0,217.0,651.0,-570.0,570.0,108.5,0,0,12880.0,12555.0,325.0,868.0,5,2,36,33,0,rebound,0,short_range_above_but_recent_decline_not_stalled,0,1,1,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
12,2018-03-23 00:00:00+08:00,2018-03-23,jm1805.DCE,jm.DCE,short,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,short,1318.5,1195.0,123.5,37.1,111.30000000000001,-58.5,58.5,18.55,0,0,1318.5,1243.0,75.5,148.4,7,2,38,33,0,rebound,0,short_range_above_but_recent_decline_not_stalled,0,2,2,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
13,2018-03-28 00:00:00+08:00,2018-03-28,AP805.CZCE,AP.CZCE,long,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,long,7421.0,6892.0,529.0,192.0,576.0,-13.0,-13.0,96.0,1,0,7394.0,7145.0,249.0,768.0,5,6,36,37,0,drawdown,0,range_not_above_threshold,0,3,3,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
14,2018-04-03 00:00:00+08:00,2018-04-03,MA805.CZCE,MA.CZCE,short,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,short,2827.0,2641.0,186.0,50.4,151.2,-36.0,36.0,25.2,0,0,2771.0,2674.0,97.0,201.6,3,2,34,33,0,rebound,0,short_range_above_but_recent_decline_not_stalled,0,4,4,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
15,2018-04-18 00:00:00+08:00,2018-04-18,au1806.SHFE,au.SHFE,long,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,long,276.8,271.6,5.199999999999989,1.940000000000009,5.820000000000027,1.3500000000000227,1.3500000000000227,0.9700000000000045,0,0,276.8,272.65,4.150000000000034,7.760000000000036,5,6,36,37,0,drawdown,0,range_not_above_threshold,0,1,1,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
16,2018-05-02 00:00:00+08:00,2018-05-02,au1806.SHFE,au.SHFE,short,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,short,275.8,268.6,7.199999999999989,1.3200000000000045,3.9600000000000133,-1.2000000000000455,1.2000000000000455,0.6600000000000023,0,0,275.8,273.05,2.75,5.280000000000018,2,1,33,32,0,rebound,0,short_range_above_but_recent_decline_not_stalled,0,1,1,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
17,2018-06-08 00:00:00+08:00,2018-06-08,jm1809.DCE,jm.DCE,long,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,long,1269.5,1158.0,111.5,28.0,84.0,11.5,11.5,14.0,1,1,1269.0,1220.0,49.0,112.0,5,6,36,37,0,drawdown,1,range_strictly_above_and_recent_gain_below_threshold,1,2,0,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
18,2018-06-13 00:00:00+08:00,2018-06-13,MA809.CZCE,MA.CZCE,long,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,long,2855.0,2716.0,139.0,45.2,135.60000000000002,18.0,18.0,22.6,1,1,2797.0,2727.0,70.0,180.8,2,3,33,34,0,drawdown,1,range_strictly_above_and_recent_gain_below_threshold,1,10,0,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
19,2018-06-15 00:00:00+08:00,2018-06-15,FG809.CZCE,FG.CZCE,long,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,long,1484.0,1435.0,49.0,17.8,53.400000000000006,18.0,18.0,8.9,0,0,1469.0,1435.0,34.0,71.2,3,7,34,38,0,drawdown,0,range_not_above_threshold,0,7,7,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
20,2018-06-19 00:00:00+08:00,2018-06-19,AP810.CZCE,AP.CZCE,long,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,long,10206.0,8580.0,1626.0,346.8,1040.4,419.0,419.0,173.4,0,0,9370.0,8580.0,790.0,1387.2,0,4,31,35,0,drawdown,0,range_above_but_recent_gain_not_stalled,0,0,0,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
