variant,label,profile,window_name,window_label,window_group,analysis_start,analysis_end,account_capital,c3_capital,risk_multiplier,trading_days,end_equity,total_return_pct,cagr_pct,max_dd_pct,ulcer_pct,sharpe,min_equity,max_broker10_margin_to_equity_pct,p95_broker10_margin_to_equity_pct,days_over_100pct,days_over_90pct,days_equity_below_zero,total_slippage,total_trade_count,nonzero_daily_win_rate_pct,forced_margin_deleverage_count,forced_margin_deleverage_closed_volume,dd30_pass,dd40_pass,broker10_100_pass,account_survival_pass,deployable_pass,source_name,rebased_end_equity,rebased_total_return_pct,rebased_cagr_pct,rebased_max_dd_pct,rebased_sharpe,rebased_min_equity,max_broker10_margin_to_rebased_equity_pct,p95_broker10_margin_to_rebased_equity_pct,nav_end,oi_mode,am_label,declared_am_size,note,requested_start_month,start_month,start_year,start_month_num,positive_return,mature_63d,mature_126d,mature_252d,dd40_fail,dd50_fail,arm,experiment_arm
stage047_A_current_online_stage847_c9_15w_q,A: 当前线上 Stage847-C9-15w + Q,stage047_A_current_online_stage847_c9_15w_q,full_2018_20260828,2018-01-01 independent start to 2026-08-28,yearly_start,2018-01-02,2026-08-28,150000.0,150000.0,0.4,2101,14665615.100000003,9677.076733333335,69.83969128128629,-44.9033186039274,19.33754488314653,1.461353072442822,128689.99999999997,99.6724041790796,59.246272700550406,0,2,0,1743270.0,847.0,52.66903914590747,0,0.0,0,0,1,1,0,stage772_am40_80_120_oi_monthly,14665615.100000003,9677.076733333335,69.83969128128629,-44.9033186039274,1.461353072442822,128689.99999999997,99.6724041790796,59.246272700550406,97.77076733333335,,,,,2018-01,2018-01,2018,1,1,1,1,1,1,0,stage047_A_current_online_stage847_c9_15w_q,A
stage047_C_stage037_long_short_mirror_block,C: Stage037 多空镜像硬拦截,stage047_C_stage037_long_short_mirror_block,full_2018_20260828,2018-01-01 independent start to 2026-08-28,yearly_start,2018-01-02,2026-08-28,150000.0,150000.0,0.4,2101,16862237.30000001,11141.491533333337,72.6018289869175,-39.91474607744346,16.330718439431294,1.5395841221952555,122871.30000000003,93.58070146346671,57.6021168434129,0,1,0,1671655.0,734.0,53.150242326332794,0,0.0,0,1,1,1,1,stage772_am40_80_120_oi_monthly,16862237.30000001,11141.491533333337,72.6018289869175,-39.91474607744346,1.5395841221952555,122871.30000000003,93.58070146346671,57.6021168434129,112.41491533333338,,,,,2018-01,2018-01,2018,1,1,1,1,1,0,0,stage047_C_stage037_long_short_mirror_block,C
