diagnostic_index,datetime,date,contract_vt_symbol,product_vt_symbol,direction,entry_context,long_signal_range_atr_enabled,long_signal_range_lookback,long_signal_range_atr_period,long_signal_range_atr_multiplier,long_signal_range_atr_entry_context,long_signal_range_atr_direction,long_signal_range_high,long_signal_range_low,long_signal_range_value,long_signal_range_prior_atr,long_signal_range_atr_threshold,long_signal_range_atr_condition_met,long_signal_range_atr_reason,long_signal_range_atr_blocked,long_signal_range_atr_selected_volume_before,long_signal_range_atr_selected_volume_after,profile,start_month,variant,account_capital,c3_capital,experiment_arm
11,2018-03-20 00:00:00+08:00,2018-03-20,ru1805.SHFE,ru.SHFE,short,flat_entry,1,10,5,3.0,flat_entry,short,,,,,,0,direction_excluded,0,1,1,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
12,2018-03-23 00:00:00+08:00,2018-03-23,jm1805.DCE,jm.DCE,short,flat_entry,1,10,5,3.0,flat_entry,short,,,,,,0,direction_excluded,0,2,2,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
13,2018-03-28 00:00:00+08:00,2018-03-28,AP805.CZCE,AP.CZCE,long,flat_entry,1,10,5,3.0,flat_entry,long,7421.0,6892.0,529.0,192.0,576.0,0,range_not_above_threshold,0,3,3,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
14,2018-04-03 00:00:00+08:00,2018-04-03,MA805.CZCE,MA.CZCE,short,flat_entry,1,10,5,3.0,flat_entry,short,,,,,,0,direction_excluded,0,4,4,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
15,2018-04-18 00:00:00+08:00,2018-04-18,au1806.SHFE,au.SHFE,long,flat_entry,1,10,5,3.0,flat_entry,long,276.8,271.6,5.199999999999989,1.940000000000009,5.820000000000027,0,range_not_above_threshold,0,1,1,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
16,2018-05-02 00:00:00+08:00,2018-05-02,au1806.SHFE,au.SHFE,short,flat_entry,1,10,5,3.0,flat_entry,short,,,,,,0,direction_excluded,0,1,1,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
17,2018-06-08 00:00:00+08:00,2018-06-08,jm1809.DCE,jm.DCE,long,flat_entry,1,10,5,3.0,flat_entry,long,1269.5,1158.0,111.5,28.0,84.0,1,range_strictly_above_threshold,1,2,0,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
18,2018-06-13 00:00:00+08:00,2018-06-13,MA809.CZCE,MA.CZCE,long,flat_entry,1,10,5,3.0,flat_entry,long,2855.0,2716.0,139.0,45.2,135.60000000000002,1,range_strictly_above_threshold,1,10,0,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
19,2018-06-15 00:00:00+08:00,2018-06-15,FG809.CZCE,FG.CZCE,long,flat_entry,1,10,5,3.0,flat_entry,long,1484.0,1435.0,49.0,17.8,53.400000000000006,0,range_not_above_threshold,0,7,7,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
20,2018-06-19 00:00:00+08:00,2018-06-19,AP810.CZCE,AP.CZCE,long,flat_entry,1,10,5,3.0,flat_entry,long,10206.0,8580.0,1626.0,346.8,1040.4,1,range_strictly_above_threshold,0,0,0,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
21,2018-06-28 00:00:00+08:00,2018-06-28,OI809.CZCE,OI.CZCE,short,flat_entry,1,10,5,3.0,flat_entry,short,,,,,,0,direction_excluded,0,4,4,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
22,2018-07-06 00:00:00+08:00,2018-07-06,MA809.CZCE,MA.CZCE,long,flat_entry,1,10,5,3.0,flat_entry,long,2919.0,2688.0,231.0,53.2,159.60000000000002,1,range_strictly_above_threshold,1,9,0,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
23,2018-07-11 00:00:00+08:00,2018-07-11,hc1810.SHFE,hc.SHFE,long,flat_entry,1,10,5,3.0,flat_entry,long,3970.0,3803.0,167.0,71.0,213.0,0,range_not_above_threshold,0,4,4,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
24,2018-07-16 00:00:00+08:00,2018-07-16,fu1905.SHFE,fu.SHFE,short,flat_entry,1,10,5,3.0,flat_entry,short,,,,,,0,direction_excluded,0,3,3,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
25,2018-07-20 00:00:00+08:00,2018-07-20,au1812.SHFE,au.SHFE,short,flat_entry,1,10,5,3.0,flat_entry,short,,,,,,0,direction_excluded,0,1,1,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
26,2018-07-26 00:00:00+08:00,2018-07-26,SM809.CZCE,SM.CZCE,long,flat_entry,1,10,5,3.0,flat_entry,long,8180.0,7748.0,432.0,132.0,396.0,1,range_strictly_above_threshold,1,7,0,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
