variant,label,profile,window_name,window_label,window_group,analysis_start,analysis_end,account_capital,c3_capital,risk_multiplier,trading_days,end_equity,total_return_pct,cagr_pct,max_dd_pct,ulcer_pct,sharpe,min_equity,max_broker10_margin_to_equity_pct,p95_broker10_margin_to_equity_pct,days_over_100pct,days_over_90pct,days_equity_below_zero,total_slippage,total_trade_count,nonzero_daily_win_rate_pct,forced_margin_deleverage_count,forced_margin_deleverage_closed_volume,dd30_pass,dd40_pass,broker10_100_pass,account_survival_pass,deployable_pass,source_name,rebased_end_equity,rebased_total_return_pct,rebased_cagr_pct,rebased_max_dd_pct,rebased_sharpe,rebased_min_equity,max_broker10_margin_to_rebased_equity_pct,p95_broker10_margin_to_rebased_equity_pct,nav_end,oi_mode,am_label,declared_am_size,note,requested_start_month,start_month,start_year,start_month_num,positive_return,mature_63d,mature_126d,mature_252d,dd40_fail,dd50_fail,arm,window_id,duration_years,requested_start,requested_end,complete_window,terminal_near_complete,promotion_arm
stage008_D_roll_1y_2018_06,D: C + directional 30D risk x1.2,stage008_D_roll_1y_2018_06,roll_1y_2018_06,2018-06-01 independent start to 2019-05-31,rolling_1y,2018-06-01,2019-05-31,150000.0,150000.0,0.4,243,169988.30000000008,13.325533333333395,13.374226415727787,-13.942125187014243,6.635344001554668,0.6012139609052215,142583.80000000002,66.20750754944453,48.077502291608376,0,0,0,5910.0,85.0,50.0,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,169988.30000000008,13.325533333333395,13.374226415727787,-13.942125187014243,0.6012139609052215,142583.80000000002,66.20750754944453,48.077502291608376,1.133255333333334,,,,,2018-06,2018-06,2018,6,1,1,1,0,0,0,stage008_D_roll_1y_2018_06,roll_1y_2018_06,1,2018-06-01,2019-05-31,1,0,D
stage008_F_roll_1y_2018_06,F: C + 30D direction and 10D volume expansion risk x1.2,stage008_F_roll_1y_2018_06,roll_1y_2018_06,2018-06-01 independent start to 2019-05-31,rolling_1y,2018-06-01,2019-05-31,150000.0,150000.0,0.4,243,166476.70000000007,10.984466666666703,11.024194958269584,-15.39255557806083,7.067170602023129,0.5298025350673647,143276.70000000007,66.55875435663484,41.372407261823305,0,0,0,5460.0,78.0,50.53191489361703,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,166476.70000000007,10.984466666666703,11.024194958269584,-15.39255557806083,0.5298025350673647,143276.70000000007,66.55875435663484,41.372407261823305,1.109844666666667,,,,,2018-06,2018-06,2018,6,1,1,1,0,0,0,stage008_F_roll_1y_2018_06,roll_1y_2018_06,1,2018-06-01,2019-05-31,1,0,F
stage008_A_roll_1y_2019_01,A: Official C9/150k,stage008_A_roll_1y_2019_01,roll_1y_2019_01,2019-01-01 independent start to 2019-12-31,rolling_1y,2019-01-02,2019-12-31,150000.0,150000.0,0.4,244,211737.40000000002,41.15826666666669,41.46019375085839,-21.571317026531755,9.834673022607646,1.3381936992229728,123044.80000000002,72.09253289863014,54.707965494646764,0,0,0,7840.0,103.0,50.0,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,211737.40000000002,41.15826666666669,41.46019375085839,-21.571317026531755,1.3381936992229728,123044.80000000002,72.09253289863014,54.707965494646764,1.4115826666666669,,,,,2019-01,2019-01,2019,1,1,1,1,0,0,0,stage008_A_roll_1y_2019_01,roll_1y_2019_01,1,2019-01-01,2019-12-31,1,0,A
stage008_C_roll_1y_2019_01,C: Official + rollover continuation,stage008_C_roll_1y_2019_01,roll_1y_2019_01,2019-01-01 independent start to 2019-12-31,rolling_1y,2019-01-02,2019-12-31,150000.0,150000.0,0.4,244,221461.30000000002,47.64086666666667,47.9978434209124,-16.225888917544474,7.839171340661943,1.3980719500734629,132956.90000000002,70.29239277156199,51.41453346152923,0,0,0,8330.0,110.0,51.776649746192895,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,221461.30000000002,47.64086666666667,47.9978434209124,-16.225888917544474,1.3980719500734629,132956.90000000002,70.29239277156199,51.41453346152923,1.4764086666666667,,,,,2019-01,2019-01,2019,1,1,1,1,0,0,0,stage008_C_roll_1y_2019_01,roll_1y_2019_01,1,2019-01-01,2019-12-31,1,0,C
stage008_D_roll_1y_2019_01,D: C + directional 30D risk x1.2,stage008_D_roll_1y_2019_01,roll_1y_2019_01,2019-01-01 independent start to 2019-12-31,rolling_1y,2019-01-02,2019-12-31,150000.0,150000.0,0.4,244,255629.80000000005,70.4198666666667,70.98391776673934,-17.204293876229382,7.992954172843832,1.6744317363904555,132019.10000000003,73.07773096285133,54.71371227429956,0,0,0,9280.0,112.0,52.02020202020202,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,255629.80000000005,70.4198666666667,70.98391776673934,-17.204293876229382,1.6744317363904555,132019.10000000003,73.07773096285133,54.71371227429956,1.704198666666667,,,,,2019-01,2019-01,2019,1,1,1,1,0,0,0,stage008_D_roll_1y_2019_01,roll_1y_2019_01,1,2019-01-01,2019-12-31,1,0,D
stage008_F_roll_1y_2019_01,F: C + 30D direction and 10D volume expansion risk x1.2,stage008_F_roll_1y_2019_01,roll_1y_2019_01,2019-01-01 independent start to 2019-12-31,rolling_1y,2019-01-02,2019-12-31,150000.0,150000.0,0.4,244,241875.90000000005,61.25060000000004,61.72885229919211,-16.357338248739428,7.888660271229695,1.5758428734257859,132019.10000000003,72.13291631988956,54.55439766707759,0,0,0,8770.0,112.0,52.52525252525253,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,241875.90000000005,61.25060000000004,61.72885229919211,-16.357338248739428,1.5758428734257859,132019.10000000003,72.13291631988956,54.55439766707759,1.6125060000000004,,,,,2019-01,2019-01,2019,1,1,1,1,0,0,0,stage008_F_roll_1y_2019_01,roll_1y_2019_01,1,2019-01-01,2019-12-31,1,0,F
stage008_A_roll_1y_2019_06,A: Official C9/150k,stage008_A_roll_1y_2019_06,roll_1y_2019_06,2019-06-01 independent start to 2020-05-31,rolling_1y,2019-06-03,2020-05-29,150000.0,150000.0,0.4,242,247266.99999999997,64.84466666666664,65.81754907504398,-8.304857291081602,3.4557942561369552,2.186475917278989,140489.0,62.331151713838786,49.8527467311244,0,0,0,10130.0,103.0,54.77707006369427,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,247266.99999999997,64.84466666666664,65.81754907504398,-8.304857291081602,2.186475917278989,140489.0,62.331151713838786,49.8527467311244,1.6484466666666664,,,,,2019-06,2019-06,2019,6,1,1,1,0,0,0,stage008_A_roll_1y_2019_06,roll_1y_2019_06,1,2019-06-01,2020-05-31,1,0,A
stage008_C_roll_1y_2019_06,C: Official + rollover continuation,stage008_C_roll_1y_2019_06,roll_1y_2019_06,2019-06-01 independent start to 2020-05-31,rolling_1y,2019-06-03,2020-05-29,150000.0,150000.0,0.4,242,232477.0,54.98466666666666,55.78619675233991,-11.413532754878297,4.517164127361114,1.845484058904438,140489.0,58.7124539054643,49.67091009446739,0,0,0,9410.0,106.0,55.61224489795919,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,232477.0,54.98466666666666,55.78619675233991,-11.413532754878297,1.845484058904438,140489.0,58.7124539054643,49.67091009446739,1.5498466666666666,,,,,2019-06,2019-06,2019,6,1,1,1,0,0,0,stage008_C_roll_1y_2019_06,roll_1y_2019_06,1,2019-06-01,2020-05-31,1,0,C
stage008_D_roll_1y_2019_06,D: C + directional 30D risk x1.2,stage008_D_roll_1y_2019_06,roll_1y_2019_06,2019-06-01 independent start to 2020-05-31,rolling_1y,2019-06-03,2020-05-29,150000.0,150000.0,0.4,242,253529.39999999997,69.01959999999998,70.06719127496193,-12.935441857356079,5.340771869665811,1.9564290668695357,140426.8,66.12764111791193,49.322469660539454,0,0,0,10960.0,107.0,52.820512820512825,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,253529.39999999997,69.01959999999998,70.06719127496193,-12.935441857356079,1.9564290668695357,140426.8,66.12764111791193,49.322469660539454,1.6901959999999998,,,,,2019-06,2019-06,2019,6,1,1,1,0,0,0,stage008_D_roll_1y_2019_06,roll_1y_2019_06,1,2019-06-01,2020-05-31,1,0,D
stage008_F_roll_1y_2019_06,F: C + 30D direction and 10D volume expansion risk x1.2,stage008_F_roll_1y_2019_06,roll_1y_2019_06,2019-06-01 independent start to 2020-05-31,rolling_1y,2019-06-03,2020-05-29,150000.0,150000.0,0.4,242,295869.39999999997,97.24626666666664,98.8299883863886,-12.935441857356079,5.113801943119129,2.3399852692917937,140426.8,64.33878983261232,54.043261318453176,0,0,0,11190.0,104.0,54.59183673469388,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,295869.39999999997,97.24626666666664,98.8299883863886,-12.935441857356079,2.3399852692917937,140426.8,64.33878983261232,54.043261318453176,1.9724626666666665,,,,,2019-06,2019-06,2019,6,1,1,1,0,0,0,stage008_F_roll_1y_2019_06,roll_1y_2019_06,1,2019-06-01,2020-05-31,1,0,F
stage008_A_roll_1y_2020_01,A: Official C9/150k,stage008_A_roll_1y_2020_01,roll_1y_2020_01,2020-01-01 independent start to 2020-12-31,rolling_1y,2020-01-02,2020-12-31,150000.0,150000.0,0.4,243,318817.80000000005,112.54520000000001,113.09624200622198,-23.75193654357982,7.011975884927833,2.0933046849781793,141520.0,80.27934440094,65.34672984309563,0,0,0,15590.0,134.0,57.43589743589743,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,318817.80000000005,112.54520000000001,113.09624200622198,-23.75193654357982,2.0933046849781793,141520.0,80.27934440094,65.34672984309563,2.125452,,,,,2020-01,2020-01,2020,1,1,1,1,0,0,0,stage008_A_roll_1y_2020_01,roll_1y_2020_01,1,2020-01-01,2020-12-31,1,0,A
stage008_C_roll_1y_2020_01,C: Official + rollover continuation,stage008_C_roll_1y_2020_01,roll_1y_2020_01,2020-01-01 independent start to 2020-12-31,rolling_1y,2020-01-02,2020-12-31,150000.0,150000.0,0.4,243,325719.00000000006,117.14600000000002,117.72498120175325,-23.636001135476747,6.974532913717436,2.14711241457162,141520.0,79.27929636429985,65.65987061053454,0,0,0,15490.0,134.0,57.43589743589743,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,325719.00000000006,117.14600000000002,117.72498120175325,-23.636001135476747,2.14711241457162,141520.0,79.27929636429985,65.65987061053454,2.17146,,,,,2020-01,2020-01,2020,1,1,1,1,0,0,0,stage008_C_roll_1y_2020_01,roll_1y_2020_01,1,2020-01-01,2020-12-31,1,0,C
stage008_D_roll_1y_2020_01,D: C + directional 30D risk x1.2,stage008_D_roll_1y_2020_01,roll_1y_2020_01,2020-01-01 independent start to 2020-12-31,rolling_1y,2020-01-02,2020-12-31,150000.0,150000.0,0.4,243,258071.10000000003,72.04740000000002,72.36827883960007,-24.125146350982174,6.871441345356217,1.6308916823964454,141520.0,82.9969204880101,64.85548990024927,0,0,0,14920.0,134.0,57.43589743589743,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,258071.10000000003,72.04740000000002,72.36827883960007,-24.125146350982174,1.6308916823964454,141520.0,82.9969204880101,64.85548990024927,1.7204740000000003,,,,,2020-01,2020-01,2020,1,1,1,1,0,0,0,stage008_D_roll_1y_2020_01,roll_1y_2020_01,1,2020-01-01,2020-12-31,1,0,D
