eval_date,formal_product_count,candidate_product_count,formal_top8_preserved,selection_provenance,added_products
2024-10-31,9,15,True,ai_probability_exact_top14_plus_fixed_fu,"AP.CZCE,SH.CZCE,SM.CZCE,hc.SHFE,jm.DCE,si.GFEX"
2024-11-29,9,15,True,ai_probability_exact_top14_plus_fixed_fu,"CF.CZCE,MA.CZCE,SM.CZCE,hc.SHFE,jm.DCE,sp.SHFE"
2024-12-31,9,15,True,ai_probability_exact_top14_plus_fixed_fu,"MA.CZCE,SH.CZCE,au.SHFE,lh.DCE,rb.SHFE,ru.SHFE"
2025-01-27,9,15,True,ai_probability_exact_top14_plus_fixed_fu,"CF.CZCE,FG.CZCE,SA.CZCE,SH.CZCE,jm.DCE,lh.DCE"
2025-02-28,9,15,True,ai_probability_exact_top14_plus_fixed_fu,"CF.CZCE,FG.CZCE,OI.CZCE,SA.CZCE,SM.CZCE,rb.SHFE"
2025-03-31,9,15,True,ai_probability_exact_top14_plus_fixed_fu,"FG.CZCE,SA.CZCE,SM.CZCE,au.SHFE,cu.SHFE,hc.SHFE"
2025-04-30,9,15,True,ai_probability_exact_top14_plus_fixed_fu,"AP.CZCE,OI.CZCE,SA.CZCE,cu.SHFE,hc.SHFE,jm.DCE"
2025-05-30,9,15,True,ai_probability_exact_top14_plus_fixed_fu,"CF.CZCE,FG.CZCE,OI.CZCE,SH.CZCE,SM.CZCE,hc.SHFE"
2025-06-30,9,15,True,ai_probability_exact_top14_plus_fixed_fu,"OI.CZCE,SH.CZCE,SM.CZCE,jm.DCE,rb.SHFE,ru.SHFE"
2025-07-31,9,15,True,ai_probability_exact_top14_plus_fixed_fu,"OI.CZCE,SM.CZCE,cu.SHFE,hc.SHFE,lc.GFEX,rb.SHFE"
2025-08-29,9,15,True,ai_probability_exact_top14_plus_fixed_fu,"OI.CZCE,SA.CZCE,cu.SHFE,lc.GFEX,ru.SHFE,si.GFEX"
