vt_symbol,tq_symbol,bar_datetime,bar_id,open,high,low,close,volume,open_oi,close_oi
sp2005.SHFE,SHFE.sp2005,2020-01-13 14:46:00,56285,4676.0,4676.0,4676.0,4676.0,0.0,146123.0,146123.0
sp2005.SHFE,SHFE.sp2005,2020-01-13 14:47:00,56286,4676.0,4676.0,4676.0,4676.0,0.0,146118.0,146118.0
sp2005.SHFE,SHFE.sp2005,2020-01-13 14:48:00,56287,4678.0,4678.0,4678.0,4678.0,0.0,146055.0,146055.0
sp2005.SHFE,SHFE.sp2005,2020-01-13 14:49:00,56288,4676.0,4676.0,4676.0,4676.0,0.0,146038.0,146038.0
sp2005.SHFE,SHFE.sp2005,2020-01-13 14:50:00,56289,4678.0,4678.0,4678.0,4678.0,0.0,146045.0,146045.0
sp2005.SHFE,SHFE.sp2005,2020-01-13 14:51:00,56290,4678.0,4678.0,4678.0,4678.0,0.0,146100.0,146100.0
sp2005.SHFE,SHFE.sp2005,2020-01-13 14:52:00,56291,4680.0,4680.0,4680.0,4680.0,0.0,146144.0,146144.0
sp2005.SHFE,SHFE.sp2005,2020-01-13 14:53:00,56292,4682.0,4682.0,4682.0,4682.0,0.0,146448.0,146448.0
sp2005.SHFE,SHFE.sp2005,2020-01-13 14:54:00,56293,4684.0,4684.0,4684.0,4684.0,0.0,146557.0,146557.0
sp2005.SHFE,SHFE.sp2005,2020-01-13 14:55:00,56294,4684.0,4684.0,4684.0,4684.0,0.0,146533.0,146533.0
sp2005.SHFE,SHFE.sp2005,2020-01-13 14:56:00,56295,4684.0,4684.0,4684.0,4684.0,0.0,146619.0,146619.0
sp2005.SHFE,SHFE.sp2005,2020-01-13 14:57:00,56296,4682.0,4682.0,4682.0,4682.0,0.0,146644.0,146644.0
sp2005.SHFE,SHFE.sp2005,2020-01-13 14:58:00,56297,4680.0,4680.0,4680.0,4680.0,0.0,146915.0,146915.0
sp2005.SHFE,SHFE.sp2005,2020-01-13 14:59:00,56298,4680.0,4680.0,4680.0,4680.0,0.0,146839.0,146839.0
sp2005.SHFE,SHFE.sp2005,2020-01-13 21:00:00,56299,4684.0,4684.0,4684.0,4684.0,0.0,146486.0,146486.0
sp2005.SHFE,SHFE.sp2005,2020-01-13 21:01:00,56300,4680.0,4680.0,4680.0,4680.0,0.0,147038.0,147038.0
sp2005.SHFE,SHFE.sp2005,2020-01-13 21:02:00,56301,4682.0,4682.0,4682.0,4682.0,0.0,148121.0,148121.0
sp2005.SHFE,SHFE.sp2005,2020-01-13 21:03:00,56302,4680.0,4680.0,4680.0,4680.0,0.0,147683.0,147683.0
sp2005.SHFE,SHFE.sp2005,2020-01-13 21:04:00,56303,4674.0,4674.0,4674.0,4674.0,0.0,147512.0,147512.0
sp2005.SHFE,SHFE.sp2005,2020-01-13 21:05:00,56304,4674.0,4674.0,4674.0,4674.0,0.0,147541.0,147541.0
sp2005.SHFE,SHFE.sp2005,2020-01-13 21:06:00,56305,4674.0,4674.0,4674.0,4674.0,0.0,147566.0,147566.0
sp2005.SHFE,SHFE.sp2005,2020-01-13 21:07:00,56306,4674.0,4674.0,4674.0,4674.0,0.0,147604.0,147604.0
sp2005.SHFE,SHFE.sp2005,2020-01-13 21:08:00,56307,4674.0,4674.0,4674.0,4674.0,0.0,147579.0,147579.0
sp2005.SHFE,SHFE.sp2005,2020-01-13 21:09:00,56308,4672.0,4672.0,4672.0,4672.0,0.0,147573.0,147573.0
sp2005.SHFE,SHFE.sp2005,2020-01-13 21:10:00,56309,4670.0,4670.0,4670.0,4670.0,0.0,147748.0,147748.0
sp2005.SHFE,SHFE.sp2005,2020-01-13 21:11:00,56310,4674.0,4674.0,4674.0,4674.0,0.0,147776.0,147776.0
sp2005.SHFE,SHFE.sp2005,2020-01-13 21:12:00,56311,4672.0,4672.0,4672.0,4672.0,0.0,147859.0,147859.0
sp2005.SHFE,SHFE.sp2005,2020-01-13 21:13:00,56312,4672.0,4672.0,4672.0,4672.0,0.0,147710.0,147710.0
sp2005.SHFE,SHFE.sp2005,2020-01-13 21:14:00,56313,4674.0,4674.0,4674.0,4674.0,0.0,147705.0,147705.0
sp2005.SHFE,SHFE.sp2005,2020-01-13 21:15:00,56314,4672.0,4672.0,4672.0,4672.0,0.0,147753.0,147753.0
sp2005.SHFE,SHFE.sp2005,2020-01-13 21:16:00,56315,4674.0,4674.0,4674.0,4674.0,0.0,147812.0,147812.0
sp2005.SHFE,SHFE.sp2005,2020-01-13 21:17:00,56316,4668.0,4668.0,4668.0,4668.0,0.0,148438.0,148438.0
