strategy,score_type,eval_date,product_vt_symbol,score,score_rank,top_n
ai_top10_plus_fu_official_live_v1,stage182_promoted_ai_probability_top10_plus_fixed_fu,2022-03-31,rb.SHFE,0.6702813991683159,6,11
ai_top10_plus_fu_official_live_v1,stage182_promoted_ai_probability_top10_plus_fixed_fu,2022-03-31,hc.SHFE,0.6693751857507094,7,11
ai_top10_plus_fu_official_live_v1,stage182_promoted_ai_probability_top10_plus_fixed_fu,2022-03-31,MA.CZCE,0.6672746665365703,8,11
ai_top10_plus_fu_official_live_v1,stage182_promoted_ai_probability_top10_plus_fixed_fu,2022-03-31,SH.CZCE,0.6335590622722284,9,11
ai_top10_plus_fu_official_live_v1,stage182_promoted_ai_probability_top10_plus_fixed_fu,2022-03-31,lc.GFEX,0.6335590622722284,10,11
ai_top10_plus_fu_official_live_v1,stage182_promoted_ai_probability_top10_plus_fixed_fu,2022-03-31,fu.SHFE,0.6335580622722283,11,11
ai_top10_plus_fu_official_live_v1,stage182_promoted_ai_probability_top10_plus_fixed_fu,2022-04-29,FG.CZCE,0.977640803908317,1,11
ai_top10_plus_fu_official_live_v1,stage182_promoted_ai_probability_top10_plus_fixed_fu,2022-04-29,jm.DCE,0.9551610846151896,2,11
ai_top10_plus_fu_official_live_v1,stage182_promoted_ai_probability_top10_plus_fixed_fu,2022-04-29,CF.CZCE,0.8459229166284911,3,11
ai_top10_plus_fu_official_live_v1,stage182_promoted_ai_probability_top10_plus_fixed_fu,2022-04-29,hc.SHFE,0.8252130812498972,4,11
ai_top10_plus_fu_official_live_v1,stage182_promoted_ai_probability_top10_plus_fixed_fu,2022-04-29,MA.CZCE,0.7970977477362317,5,11
ai_top10_plus_fu_official_live_v1,stage182_promoted_ai_probability_top10_plus_fixed_fu,2022-04-29,au.SHFE,0.7300046537705942,6,11
ai_top10_plus_fu_official_live_v1,stage182_promoted_ai_probability_top10_plus_fixed_fu,2022-04-29,lh.DCE,0.7215178850952022,7,11
ai_top10_plus_fu_official_live_v1,stage182_promoted_ai_probability_top10_plus_fixed_fu,2022-04-29,SM.CZCE,0.7110992327840887,8,11
ai_top10_plus_fu_official_live_v1,stage182_promoted_ai_probability_top10_plus_fixed_fu,2022-04-29,ru.SHFE,0.6786112846535913,9,11
ai_top10_plus_fu_official_live_v1,stage182_promoted_ai_probability_top10_plus_fixed_fu,2022-04-29,rb.SHFE,0.6640010220519555,10,11
ai_top10_plus_fu_official_live_v1,stage182_promoted_ai_probability_top10_plus_fixed_fu,2022-04-29,fu.SHFE,0.6640000220519555,11,11
ai_top10_plus_fu_official_live_v1,stage182_promoted_ai_probability_top10_plus_fixed_fu,2022-05-31,FG.CZCE,0.9879113073820726,1,11
ai_top10_plus_fu_official_live_v1,stage182_promoted_ai_probability_top10_plus_fixed_fu,2022-05-31,jm.DCE,0.9035557496550058,2,11
ai_top10_plus_fu_official_live_v1,stage182_promoted_ai_probability_top10_plus_fixed_fu,2022-05-31,hc.SHFE,0.8886495658755149,3,11
ai_top10_plus_fu_official_live_v1,stage182_promoted_ai_probability_top10_plus_fixed_fu,2022-05-31,CF.CZCE,0.8791956776373013,4,11
ai_top10_plus_fu_official_live_v1,stage182_promoted_ai_probability_top10_plus_fixed_fu,2022-05-31,lh.DCE,0.8627297229193739,5,11
ai_top10_plus_fu_official_live_v1,stage182_promoted_ai_probability_top10_plus_fixed_fu,2022-05-31,sp.SHFE,0.8028569059958041,6,11
ai_top10_plus_fu_official_live_v1,stage182_promoted_ai_probability_top10_plus_fixed_fu,2022-05-31,MA.CZCE,0.7839628233550305,7,11
ai_top10_plus_fu_official_live_v1,stage182_promoted_ai_probability_top10_plus_fixed_fu,2022-05-31,SM.CZCE,0.7793002342926838,8,11
ai_top10_plus_fu_official_live_v1,stage182_promoted_ai_probability_top10_plus_fixed_fu,2022-05-31,AP.CZCE,0.6983026689234644,9,11
ai_top10_plus_fu_official_live_v1,stage182_promoted_ai_probability_top10_plus_fixed_fu,2022-05-31,ru.SHFE,0.6942105684724187,10,11
ai_top10_plus_fu_official_live_v1,stage182_promoted_ai_probability_top10_plus_fixed_fu,2022-05-31,fu.SHFE,0.6942095684724187,11,11
ai_top10_plus_fu_official_live_v1,stage182_promoted_ai_probability_top10_plus_fixed_fu,2022-06-30,FG.CZCE,0.9849033143009036,1,11
ai_top10_plus_fu_official_live_v1,stage182_promoted_ai_probability_top10_plus_fixed_fu,2022-06-30,jm.DCE,0.9730727677221634,2,11
ai_top10_plus_fu_official_live_v1,stage182_promoted_ai_probability_top10_plus_fixed_fu,2022-06-30,au.SHFE,0.9648226004815584,3,11
ai_top10_plus_fu_official_live_v1,stage182_promoted_ai_probability_top10_plus_fixed_fu,2022-06-30,hc.SHFE,0.961215067000836,4,11
ai_top10_plus_fu_official_live_v1,stage182_promoted_ai_probability_top10_plus_fixed_fu,2022-06-30,MA.CZCE,0.9538134884126512,5,11
ai_top10_plus_fu_official_live_v1,stage182_promoted_ai_probability_top10_plus_fixed_fu,2022-06-30,rb.SHFE,0.9468575446809668,6,11
ai_top10_plus_fu_official_live_v1,stage182_promoted_ai_probability_top10_plus_fixed_fu,2022-06-30,OI.CZCE,0.9236635806591388,7,11
ai_top10_plus_fu_official_live_v1,stage182_promoted_ai_probability_top10_plus_fixed_fu,2022-06-30,lh.DCE,0.8899614156732701,8,11
ai_top10_plus_fu_official_live_v1,stage182_promoted_ai_probability_top10_plus_fixed_fu,2022-06-30,CF.CZCE,0.8852492931600968,9,11
ai_top10_plus_fu_official_live_v1,stage182_promoted_ai_probability_top10_plus_fixed_fu,2022-06-30,sp.SHFE,0.8750490102925625,10,11
ai_top10_plus_fu_official_live_v1,stage182_promoted_ai_probability_top10_plus_fixed_fu,2022-06-30,fu.SHFE,0.8750480102925625,11,11
ai_top10_plus_fu_official_live_v1,stage182_promoted_ai_probability_top10_plus_fixed_fu,2022-07-29,au.SHFE,0.9400524550032404,1,11
ai_top10_plus_fu_official_live_v1,stage182_promoted_ai_probability_top10_plus_fixed_fu,2022-07-29,rb.SHFE,0.8934108618390701,2,11
ai_top10_plus_fu_official_live_v1,stage182_promoted_ai_probability_top10_plus_fixed_fu,2022-07-29,FG.CZCE,0.7503770984615532,3,11
ai_top10_plus_fu_official_live_v1,stage182_promoted_ai_probability_top10_plus_fixed_fu,2022-07-29,SA.CZCE,0.7001809283721634,4,11
ai_top10_plus_fu_official_live_v1,stage182_promoted_ai_probability_top10_plus_fixed_fu,2022-07-29,AP.CZCE,0.696847818203045,5,11
ai_top10_plus_fu_official_live_v1,stage182_promoted_ai_probability_top10_plus_fixed_fu,2022-07-29,SM.CZCE,0.6908095442776924,6,11
ai_top10_plus_fu_official_live_v1,stage182_promoted_ai_probability_top10_plus_fixed_fu,2022-07-29,SH.CZCE,0.6805685369827904,7,11
