comparison,left_arm,right_arm,left_end_equity,right_end_equity,delta_end_equity,left_total_return_pct,right_total_return_pct,delta_total_return_pct,left_max_dd_pct,right_max_dd_pct,delta_max_dd_pct,left_sharpe,right_sharpe,delta_sharpe,left_total_slippage,right_total_slippage,delta_total_slippage,left_total_trade_count,right_total_trade_count,delta_total_trade_count,left_nonzero_daily_win_rate_pct,right_nonzero_daily_win_rate_pct,delta_nonzero_daily_win_rate_pct
A_vs_C,A,C,13071214.100000009,13338365.80000001,267151.7000000011,8614.14273333334,8792.243866666673,178.10113333333356,-56.206935956180295,-56.98762835543509,-0.7806923992547965,1.362230340211364,1.3626692370353988,0.0004388968240347513,1525590.0,1517200.0,-8390.0,808.0,825.0,17.0,52.58408531583265,52.68115942028986,0.09707410445720654
C_vs_D,C,D,13338365.80000001,16591021.300000012,3252655.500000002,8792.243866666673,10960.680866666675,2168.4370000000017,-56.98762835543509,-61.93120328551629,-4.943574930081198,1.3626692370353988,1.37428470623692,0.011615469201521122,1517200.0,2294860.0,777660.0,825.0,829.0,4.0,52.68115942028986,52.8023598820059,0.12120046171604315
A_vs_D,A,D,13071214.100000009,16591021.300000012,3519807.200000003,8614.14273333334,10960.680866666675,2346.5381333333353,-56.206935956180295,-61.93120328551629,-5.724267329335994,1.362230340211364,1.37428470623692,0.012054366025555874,1525590.0,2294860.0,769270.0,808.0,829.0,21.0,52.58408531583265,52.8023598820059,0.2182745661732497
