winner_rank,open_trade_id,vt_symbol,direction,entry_date,entry_price,exit_date,realized_pnl,risk_amount,lot_count,aggregate_r,entry_datetime
34,BACKTESTING.333,fu2209.SHFE,short,2022-07-06,3470.0,2022-07-19,191760.0,35771.399999999936,1,5.360707157114352,
35,BACKTESTING.418,si2310.GFEX,long,2023-08-24,13705.0,2023-08-25,19500.0,3900.0,1,5.0,
36,BACKTESTING.162,hc2105.SHFE,long,2021-03-23,5097.0,2021-04-09,76760.0,15390.0,1,4.987654320987654,
37,BACKTESTING.549,ru2505.SHFE,short,2025-04-01,16560.0,2025-04-07,254150.0,51750.0,1,4.911111111111111,
38,BACKTESTING.143,CF105.CZCE,long,2021-02-10,15650.0,2021-03-05,20700.0,4275.0,1,4.842105263157895,
39,BACKTESTING.30,hc2010.SHFE,long,2020-05-13,3329.0,2020-05-25,1740.0,360.0,1,4.833333333333333,
40,BACKTESTING.144,ru2105.SHFE,long,2021-02-10,14800.0,2021-03-01,52950.0,11250.0,2,4.706666666666667,
41,BACKTESTING.626,jm2609.DCE,long,2026-06-03,1363.0,2026-06-04,97440.0,20880.0,1,4.666666666666667,
42,BACKTESTING.216,MA201.CZCE,long,2021-09-06,2905.0,2021-09-13,61200.0,13770.0,1,4.444444444444445,
43,BACKTESTING.303,fu2205.SHFE,long,2022-03-30,3750.0,2022-04-01,177000.0,43000.0,1,4.116279069767442,
44,BACKTESTING.245,jm2201.DCE,short,2021-11-15,2098.0,2021-11-24,118140.0,29033.40000000015,1,4.069106615139783,
45,BACKTESTING.120,ru2101.SHFE,long,2020-12-01,15150.0,2020-12-03,13350.0,3300.0,1,4.045454545454546,
46,BACKTESTING.576,fu2509.SHFE,short,2025-08-07,2851.0,2025-08-08,39360.0,9840.0,1,4.0,
47,BACKTESTING.423,fu2311.SHFE,long,2023-09-06,3593.0,2023-09-07,138430.0,36830.0,1,3.7586206896551726,
48,BACKTESTING.361,lh2301.DCE,short,2022-12-09,19355.0,2022-12-15,151760.0,42918.40000000008,1,3.5360125260960267,
49,BACKTESTING.272,CF205.CZCE,long,2022-01-12,21180.0,2022-02-07,126750.0,37050.0,1,3.4210526315789473,
50,BACKTESTING.191,CF109.CZCE,long,2021-07-05,16260.0,2021-08-02,63600.0,18600.0,1,3.4193548387096775,
51,BACKTESTING.29,rb2010.SHFE,long,2020-05-12,3448.0,2020-05-25,7480.0,2200.0,1,3.4,
52,BACKTESTING.456,jm2405.DCE,short,2024-03-29,1564.0,2024-04-10,105600.0,31200.0,1,3.3846153846153846,
53,BACKTESTING.73,sp2012.SHFE,long,2020-08-24,4618.0,2020-09-04,28800.0,8600.0,2,3.3488372093023258,
54,BACKTESTING.551,ru2509.SHFE,short,2025-04-07,15580.0,2025-04-08,324000.0,97770.00000000044,1,3.313899969315726,
55,BACKTESTING.150,OI105.CZCE,long,2021-02-23,10240.0,2021-03-03,12250.0,4050.0,1,3.0246913580246915,
56,BACKTESTING.334,jm2209.DCE,short,2022-07-06,2230.0,2022-07-19,104910.0,35287.200000000186,1,2.973032714412009,
57,BACKTESTING.455,SH405.CZCE,short,2024-03-26,2576.0,2024-04-11,271800.0,92520.00000000016,1,2.9377431906614735,
58,BACKTESTING.618,SM605.CZCE,long,2026-03-06,6088.0,2026-03-19,46920.0,16320.0,1,2.875,
59,BACKTESTING.496,ru2501.SHFE,long,2024-08-23,16210.0,2024-09-03,74250.0,30250.0,1,2.4545454545454546,
60,BACKTESTING.403,SM309.CZCE,long,2023-07-19,6646.0,2023-07-20,68600.0,29400.0,1,2.3333333333333335,
61,BACKTESTING.114,SM101.CZCE,long,2020-11-26,6262.0,2020-12-10,5720.0,2470.0,1,2.3157894736842106,
62,BACKTESTING.511,MA501.CZCE,long,2024-11-06,2505.0,2024-11-29,133560.0,57960.0,1,2.3043478260869565,
63,BACKTESTING.145,cu2104.SHFE,long,2021-02-22,64460.0,2021-03-02,14750.0,6432.000000000007,1,2.2932213930348233,
64,BACKTESTING.107,rb2101.SHFE,long,2020-11-05,3760.0,2020-11-26,21850.0,9660.0,1,2.261904761904762,
65,BACKTESTING.136,SM105.CZCE,long,2021-01-06,7038.0,2021-01-18,19080.0,8445.600000000013,1,2.2591645353793655,
66,BACKTESTING.293,MA205.CZCE,long,2022-03-03,3028.0,2022-03-11,66810.0,30783.600000000064,1,2.1703114645460526,
67,BACKTESTING.232,jm2201.DCE,long,2021-09-30,3020.5,2021-10-21,62160.0,28915.200000000114,1,2.1497343957503237,
68,BACKTESTING.389,CF309.CZCE,long,2023-06-05,16340.0,2023-06-06,109200.0,53200.0,1,2.0526315789473686,
69,BACKTESTING.104,OI101.CZCE,long,2020-10-27,9340.0,2020-11-10,7000.0,3420.0,1,2.046783625730994,
70,BACKTESTING.582,au2510.SHFE,long,2025-09-02,799.54,2025-09-19,212380.00000000023,104019.9999999993,1,2.041722745625857,
71,BACKTESTING.47,MA009.CZCE,long,2020-07-02,1751.0,2020-07-08,3740.0,1870.0,1,2.0,
