winner_rank,open_trade_id,vt_symbol,entry_date,raw_1m_bars,aggregated_15m_bars,actual_trading_days,expected_trading_days,coverage_state,chart_path,daily_bar_count,daily_before_count,daily_holding_count,daily_after_count,daily_coverage_state,daily_source,minute_source_kinds,minute_source_file_count
30,BACKTESTING.284,sp2205.SHFE,2022-02-09,3675,245,11,11,complete,winner_0030_sp2205_SHFE_BACKTESTING_284.png,90,60,25,5,complete,vnpy_local_database_exact_contract_daily,local_contract_cache,1
31,BACKTESTING.498,fu2411.SHFE,2024-09-04,3795,253,11,11,complete,winner_0031_fu2411_SHFE_BACKTESTING_498.png,73,60,8,5,complete,vnpy_local_database_exact_contract_daily,local_contract_cache,1
32,BACKTESTING.169,rb2110.SHFE,2021-04-21,3795,253,11,11,complete,winner_0032_rb2110_SHFE_BACKTESTING_169.png,81,60,16,5,complete,vnpy_local_database_exact_contract_daily,local_contract_cache,1
33,BACKTESTING.548,AP505.CZCE,2025-03-28,2475,165,11,11,complete,winner_0033_AP505_CZCE_BACKTESTING_548.png,78,60,13,5,complete,vnpy_local_database_exact_contract_daily,local_contract_cache,1
34,BACKTESTING.333,fu2209.SHFE,2022-07-06,3795,253,11,11,complete,winner_0034_fu2209_SHFE_BACKTESTING_333.png,75,60,10,5,complete,vnpy_local_database_exact_contract_daily,local_contract_cache,1
35,BACKTESTING.418,si2310.GFEX,2023-08-24,2475,165,11,11,complete,winner_0035_si2310_GFEX_BACKTESTING_418.png,67,60,2,5,complete,vnpy_local_database_exact_contract_daily,local_contract_cache,1
36,BACKTESTING.162,hc2105.SHFE,2021-03-23,3795,253,11,11,complete,winner_0036_hc2105_SHFE_BACKTESTING_162.png,78,60,13,5,complete,vnpy_local_database_exact_contract_daily,local_contract_cache,2
37,BACKTESTING.549,ru2505.SHFE,2025-04-01,2550,171,8,11,partial,winner_0037_ru2505_SHFE_BACKTESTING_549.png,69,60,4,5,complete,vnpy_local_database_exact_contract_daily,local_contract_cache,2
38,BACKTESTING.143,CF105.CZCE,2021-02-10,3675,245,11,11,complete,winner_0038_CF105_CZCE_BACKTESTING_143.png,78,60,13,5,complete,vnpy_local_database_exact_contract_daily,local_contract_cache,1
39,BACKTESTING.30,hc2010.SHFE,2020-05-13,2641,177,8,11,partial,winner_0039_hc2010_SHFE_BACKTESTING_30.png,74,60,9,5,complete,vnpy_local_database_exact_contract_daily,local_contract_cache,1
40,BACKTESTING.144,ru2105.SHFE,2021-02-10,3675,245,11,11,complete,winner_0040_ru2105_SHFE_BACKTESTING_144.png,74,60,9,5,complete,vnpy_local_database_exact_contract_daily,local_contract_cache,1
41,BACKTESTING.626,jm2609.DCE,2026-06-03,345,23,2,11,partial,winner_0041_jm2609_DCE_BACKTESTING_626.png,67,60,2,5,complete,vnpy_local_database_exact_contract_daily,local_contract_cache,1
42,BACKTESTING.216,MA201.CZCE,2021-09-06,3795,253,11,11,complete,winner_0042_MA201_CZCE_BACKTESTING_216.png,71,60,6,5,complete,vnpy_local_database_exact_contract_daily,local_contract_cache|primary,2
43,BACKTESTING.303,fu2205.SHFE,2022-03-30,2639,176,8,11,partial,winner_0043_fu2205_SHFE_BACKTESTING_303.png,68,60,3,5,complete,vnpy_local_database_exact_contract_daily,primary,1
44,BACKTESTING.245,jm2201.DCE,2021-11-15,3795,253,11,11,complete,winner_0044_jm2201_DCE_BACKTESTING_245.png,73,60,8,5,complete,vnpy_local_database_exact_contract_daily,local_contract_cache|primary,3
45,BACKTESTING.120,ru2101.SHFE,2020-12-01,2551,171,8,11,partial,winner_0045_ru2101_SHFE_BACKTESTING_120.png,68,60,3,5,complete,vnpy_local_database_exact_contract_daily,local_contract_cache|primary,3
46,BACKTESTING.576,fu2509.SHFE,2025-08-07,3795,253,11,11,complete,winner_0046_fu2509_SHFE_BACKTESTING_576.png,67,60,2,5,complete,vnpy_local_database_exact_contract_daily,local_contract_cache,1
47,BACKTESTING.423,fu2311.SHFE,2023-09-06,3795,253,11,11,complete,winner_0047_fu2311_SHFE_BACKTESTING_423.png,67,60,2,5,complete,vnpy_local_database_exact_contract_daily,primary,1
48,BACKTESTING.361,lh2301.DCE,2022-12-09,2041,137,10,11,partial,winner_0048_lh2301_DCE_BACKTESTING_361.png,70,60,5,5,complete,vnpy_local_database_exact_contract_daily,local_contract_cache|primary,3
49,BACKTESTING.272,CF205.CZCE,2022-01-12,3795,253,11,11,complete,winner_0049_CF205_CZCE_BACKTESTING_272.png,79,60,14,5,complete,vnpy_local_database_exact_contract_daily,primary,1
50,BACKTESTING.191,CF109.CZCE,2021-07-05,3241,217,10,11,partial,winner_0050_CF109_CZCE_BACKTESTING_191.png,86,60,21,5,complete,vnpy_local_database_exact_contract_daily,local_contract_cache,3
51,BACKTESTING.29,rb2010.SHFE,2020-05-12,2416,162,8,11,partial,winner_0051_rb2010_SHFE_BACKTESTING_29.png,75,60,10,5,complete,vnpy_local_database_exact_contract_daily,local_contract_cache,1
52,BACKTESTING.456,jm2405.DCE,2024-03-29,3675,245,11,11,complete,winner_0052_jm2405_DCE_BACKTESTING_456.png,72,60,7,5,complete,vnpy_local_database_exact_contract_daily,local_contract_cache,3
53,BACKTESTING.73,sp2012.SHFE,2020-08-24,3795,253,11,11,complete,winner_0053_sp2012_SHFE_BACKTESTING_73.png,75,60,10,5,complete,vnpy_local_database_exact_contract_daily,local_contract_cache,1
54,BACKTESTING.551,ru2509.SHFE,2025-04-07,2986,200,10,11,partial,winner_0054_ru2509_SHFE_BACKTESTING_551.png,67,60,2,5,complete,vnpy_local_database_exact_contract_daily,local_contract_cache|primary,2
55,BACKTESTING.150,OI105.CZCE,2021-02-23,3675,245,11,11,complete,winner_0055_OI105_CZCE_BACKTESTING_150.png,72,60,7,5,complete,vnpy_local_database_exact_contract_daily,local_contract_cache,2
56,BACKTESTING.334,jm2209.DCE,2022-07-06,3795,253,11,11,complete,winner_0056_jm2209_DCE_BACKTESTING_334.png,75,60,10,5,complete,vnpy_local_database_exact_contract_daily,local_contract_cache,2
57,BACKTESTING.455,SH405.CZCE,2024-03-26,3795,253,11,11,complete,winner_0057_SH405_CZCE_BACKTESTING_455.png,76,60,11,5,complete,vnpy_local_database_exact_contract_daily,local_contract_cache,2
58,BACKTESTING.618,SM605.CZCE,2026-03-06,2475,165,11,11,complete,winner_0058_SM605_CZCE_BACKTESTING_618.png,75,60,10,5,complete,vnpy_local_database_exact_contract_daily,local_contract_cache,1
59,BACKTESTING.496,ru2501.SHFE,2024-08-23,3795,253,11,11,complete,winner_0059_ru2501_SHFE_BACKTESTING_496.png,73,60,8,5,complete,vnpy_local_database_exact_contract_daily,local_contract_cache,1
60,BACKTESTING.403,SM309.CZCE,2023-07-19,1366,92,7,11,partial,winner_0060_SM309_CZCE_BACKTESTING_403.png,67,60,2,5,complete,vnpy_local_database_exact_contract_daily,local_contract_cache,3
61,BACKTESTING.114,SM101.CZCE,2020-11-26,2475,165,11,11,complete,winner_0061_SM101_CZCE_BACKTESTING_114.png,76,60,11,5,complete,vnpy_local_database_exact_contract_daily,local_contract_cache,1
62,BACKTESTING.511,MA501.CZCE,2024-11-06,3795,253,11,11,complete,winner_0062_MA501_CZCE_BACKTESTING_511.png,83,60,18,5,complete,vnpy_local_database_exact_contract_daily,local_contract_cache,1
63,BACKTESTING.145,cu2104.SHFE,2021-02-22,3481,233,9,11,partial,winner_0063_cu2104_SHFE_BACKTESTING_145.png,72,60,7,5,complete,vnpy_local_database_exact_contract_daily,local_contract_cache|primary,3
64,BACKTESTING.107,rb2101.SHFE,2020-11-05,3795,253,11,11,complete,winner_0064_rb2101_SHFE_BACKTESTING_107.png,81,60,16,5,complete,vnpy_local_database_exact_contract_daily,local_contract_cache,2
65,BACKTESTING.136,SM105.CZCE,2021-01-06,2475,165,11,11,complete,winner_0065_SM105_CZCE_BACKTESTING_136.png,74,60,9,5,complete,vnpy_local_database_exact_contract_daily,local_contract_cache,1
66,BACKTESTING.293,MA205.CZCE,2022-03-03,3795,253,11,11,complete,winner_0066_MA205_CZCE_BACKTESTING_293.png,72,60,7,5,complete,vnpy_local_database_exact_contract_daily,local_contract_cache,1
67,BACKTESTING.232,jm2201.DCE,2021-09-30,2641,177,9,11,partial,winner_0067_jm2201_DCE_BACKTESTING_232.png,76,60,11,5,complete,vnpy_local_database_exact_contract_daily,local_contract_cache,1
68,BACKTESTING.389,CF309.CZCE,2023-06-05,3106,208,10,11,partial,winner_0068_CF309_CZCE_BACKTESTING_389.png,67,60,2,5,complete,vnpy_local_database_exact_contract_daily,local_contract_cache,1
69,BACKTESTING.104,OI101.CZCE,2020-10-27,1739,116,6,11,partial,winner_0069_OI101_CZCE_BACKTESTING_104.png,76,60,11,5,complete,vnpy_local_database_exact_contract_daily,local_contract_cache,1
70,BACKTESTING.582,au2510.SHFE,2025-09-02,6105,407,11,11,complete,winner_0070_au2510_SHFE_BACKTESTING_582.png,79,60,14,5,complete,vnpy_local_database_exact_contract_daily,local_contract_cache,2
71,BACKTESTING.47,MA009.CZCE,2020-07-02,3675,245,11,11,complete,winner_0071_MA009_CZCE_BACKTESTING_47.png,70,60,5,5,complete,vnpy_local_database_exact_contract_daily,local_contract_cache,1
