vt_symbol,row_count,min_trade_date,max_trade_date,canonical_sha256,source
au2006.SHFE,253,2019-06-03,2020-06-15,a7cdcc46156de82a9604b9c7e3a8ce7b6bb1962c9926e3415c9d78536073f1f6,vnpy_local_database_exact_contract_daily
au2510.SHFE,257,2024-09-19,2025-10-15,de7eae98e486bc628117513a57bb79abe726a3af028fba2d100eda04198250b5,vnpy_local_database_exact_contract_daily
cu2104.SHFE,243,2020-04-16,2021-04-15,91d9748a1313e84eb11b0c9f6c88da55fb935c21385a8b23c39fbb320d45d988,vnpy_local_database_exact_contract_daily
fu2205.SHFE,241,2021-05-06,2022-04-29,6251f2b145c1ddf9b47a302f43cf0c35b364ee1dea8722e66004dd9b25662528,vnpy_local_database_exact_contract_daily
fu2209.SHFE,242,2021-09-01,2022-08-31,614f3526d63a9f87917d9f7b187af950b996ecdaba464f77a95058fffcdaadda,vnpy_local_database_exact_contract_daily
fu2311.SHFE,243,2022-11-01,2023-10-31,7103a5a5eec7de77c97421d400ebbce6344c39ecd799f0ae658f63e11857b70f,vnpy_local_database_exact_contract_daily
fu2409.SHFE,242,2023-09-01,2024-08-30,f46d95aa65b5d6f36959041cd289857020fdb086a4903f51025f79d0606e8f7c,vnpy_local_database_exact_contract_daily
fu2411.SHFE,242,2023-11-01,2024-10-31,0a372ffc2f6098a0865f55c8b909c31e7c9b2a110075dcce17f4a7495201f7eb,vnpy_local_database_exact_contract_daily
fu2503.SHFE,241,2024-03-01,2025-02-28,699160fb15419520ec5e2a286b28bb80804a1b086fc809cefc64c072a163cb5c,vnpy_local_database_exact_contract_daily
fu2509.SHFE,241,2024-09-02,2025-08-29,f03db68cb1b73f2cff46a3d0cc9ae5161f23fb0251eed6aeb2af99e674e529c7,vnpy_local_database_exact_contract_daily
hc2010.SHFE,243,2019-10-16,2020-10-15,7e20efd782e16ec16cc7d0790c9151079fed873d96e7750141997635c00a2792,vnpy_local_database_exact_contract_daily
hc2101.SHFE,243,2020-01-16,2021-01-15,2a307d8da69fd8ee9307bc09c0967c708dbd5a7e8c53de829a44b225da451017,vnpy_local_database_exact_contract_daily
hc2105.SHFE,243,2020-05-18,2021-05-17,64d7c2712e57437438e96b564529fe772db6ae559365a68033e583c172954a4c,vnpy_local_database_exact_contract_daily
hc2110.SHFE,243,2020-10-16,2021-10-15,8cf5b27d994d14715321882c4926b3caa81a55dcd29714b88cc05d58db9cbcb1,vnpy_local_database_exact_contract_daily
hc2210.SHFE,243,2021-10-18,2022-10-17,f016c55da52b4114691f76062bb568d0f8bedc3bb09a0ec300d8f172d8d1b59d,vnpy_local_database_exact_contract_daily
jm2005.DCE,234,2019-06-03,2020-05-19,b1e556e79412295f725b1fe61ea33480cd36721003b4b9142ce0fc29f61b34eb,vnpy_local_database_exact_contract_daily
jm2201.DCE,243,2021-01-18,2022-01-17,8a0d701787bd19608c9f080c6e9f66ffcbf474fbe7bd7841d8f7b3450705379a,vnpy_local_database_exact_contract_daily
jm2205.DCE,241,2021-05-20,2022-05-18,b9083fbcb94b52d77b65ac9f8f5c5cc2568c3ba50bc7c0b60abeb9286840fd31,vnpy_local_database_exact_contract_daily
jm2209.DCE,242,2021-09-15,2022-09-15,e83426cdc311a31d3f58a4b86883827c8cf3081601af2702066661ac33812fe2,vnpy_local_database_exact_contract_daily
jm2401.DCE,242,2023-01-17,2024-01-15,938f88b195ae4aa79fb82eb886c01b470267e6edf1c202e0c8b838b61dc5e48c,vnpy_local_database_exact_contract_daily
jm2405.DCE,242,2023-05-18,2024-05-17,58c75af09a0301c897ef9ba2753c2d0fa5c0ebfaa81ab2395e31030ad8ee29f9,vnpy_local_database_exact_contract_daily
jm2609.DCE,199,2025-09-15,2026-07-15,943a3e189cf255cb9a1aad4ae218481ebd91f9053a935c6ff1f17aabc369461f,vnpy_local_database_exact_contract_daily
