diagnostic_index,date,product_vt_symbol,old_contract_vt_symbol,target_contract_vt_symbol,signal_date,elapsed_trading_days,required_trading_days,status,profile,start_month,variant,account_capital,c3_capital,experiment_arm
14,2019-04-15,AP.CZCE,AP905.CZCE,AP910.CZCE,2019-04-12,1,5,waiting,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
15,2019-04-16,AP.CZCE,AP905.CZCE,AP910.CZCE,2019-04-12,2,5,waiting,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
16,2019-04-17,AP.CZCE,AP905.CZCE,AP910.CZCE,2019-04-12,3,5,waiting,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
17,2019-04-18,AP.CZCE,AP905.CZCE,AP910.CZCE,2019-04-12,4,5,waiting,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
18,2019-04-19,AP.CZCE,AP905.CZCE,AP910.CZCE,2019-04-12,5,5,due,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
19,2019-08-09,CF.CZCE,CF909.CZCE,CF001.CZCE,2019-08-09,0,5,scheduled,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
20,2019-08-12,CF.CZCE,CF909.CZCE,CF001.CZCE,2019-08-09,1,5,waiting,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
21,2019-08-13,CF.CZCE,CF909.CZCE,CF001.CZCE,2019-08-09,2,5,waiting,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
22,2019-08-14,CF.CZCE,CF909.CZCE,CF001.CZCE,2019-08-09,3,5,waiting,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
23,2019-08-15,CF.CZCE,CF909.CZCE,CF001.CZCE,2019-08-09,4,5,waiting,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
24,2019-08-16,CF.CZCE,CF909.CZCE,CF001.CZCE,2019-08-09,5,5,due,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
25,2019-12-17,AP.CZCE,AP001.CZCE,AP005.CZCE,2019-12-17,0,5,scheduled,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
26,2019-12-17,SM.CZCE,SM001.CZCE,SM005.CZCE,2019-12-17,0,5,scheduled,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
27,2019-12-18,AP.CZCE,AP001.CZCE,AP005.CZCE,2019-12-17,1,5,waiting,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
28,2019-12-18,SM.CZCE,SM001.CZCE,SM005.CZCE,2019-12-17,1,5,waiting,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
