diagnostic_index,date,product_vt_symbol,old_contract_vt_symbol,target_contract_vt_symbol,signal_date,elapsed_trading_days,required_trading_days,status,profile,start_month,variant,account_capital,c3_capital,experiment_arm
29,2019-12-19,AP.CZCE,AP001.CZCE,AP005.CZCE,2019-12-17,2,5,waiting,stage034_B_stage033_ordered_drawdown_3atr,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
30,2019-12-19,SM.CZCE,SM001.CZCE,SM005.CZCE,2019-12-17,2,5,waiting,stage034_B_stage033_ordered_drawdown_3atr,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
31,2019-12-20,AP.CZCE,AP001.CZCE,AP005.CZCE,2019-12-17,3,5,waiting,stage034_B_stage033_ordered_drawdown_3atr,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
32,2019-12-20,SM.CZCE,SM001.CZCE,SM005.CZCE,2019-12-17,3,5,waiting,stage034_B_stage033_ordered_drawdown_3atr,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
33,2019-12-23,AP.CZCE,AP001.CZCE,AP005.CZCE,2019-12-17,4,5,waiting,stage034_B_stage033_ordered_drawdown_3atr,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
34,2019-12-23,SM.CZCE,SM001.CZCE,SM005.CZCE,2019-12-17,4,5,waiting,stage034_B_stage033_ordered_drawdown_3atr,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
35,2019-12-24,AP.CZCE,AP001.CZCE,AP005.CZCE,2019-12-17,5,5,due,stage034_B_stage033_ordered_drawdown_3atr,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
36,2019-12-24,SM.CZCE,SM001.CZCE,SM005.CZCE,2019-12-17,5,5,due,stage034_B_stage033_ordered_drawdown_3atr,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
37,2020-06-19,cu.SHFE,cu2007.SHFE,cu2008.SHFE,2020-06-19,0,5,scheduled,stage034_B_stage033_ordered_drawdown_3atr,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
38,2020-06-22,cu.SHFE,cu2007.SHFE,cu2008.SHFE,2020-06-19,1,5,waiting,stage034_B_stage033_ordered_drawdown_3atr,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
39,2020-06-23,cu.SHFE,cu2007.SHFE,cu2008.SHFE,2020-06-19,2,5,waiting,stage034_B_stage033_ordered_drawdown_3atr,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
40,2020-06-24,cu.SHFE,cu2007.SHFE,cu2008.SHFE,2020-06-19,3,5,waiting,stage034_B_stage033_ordered_drawdown_3atr,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
41,2020-06-29,cu.SHFE,cu2007.SHFE,cu2008.SHFE,2020-06-19,4,5,waiting,stage034_B_stage033_ordered_drawdown_3atr,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
42,2020-06-30,cu.SHFE,cu2007.SHFE,cu2008.SHFE,2020-06-19,5,5,due,stage034_B_stage033_ordered_drawdown_3atr,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
