variant,label,profile,window_name,window_label,window_group,analysis_start,analysis_end,account_capital,c3_capital,risk_multiplier,trading_days,end_equity,total_return_pct,cagr_pct,max_dd_pct,ulcer_pct,sharpe,min_equity,max_broker10_margin_to_equity_pct,p95_broker10_margin_to_equity_pct,days_over_100pct,days_over_90pct,days_equity_below_zero,total_slippage,total_trade_count,nonzero_daily_win_rate_pct,forced_margin_deleverage_count,forced_margin_deleverage_closed_volume,dd30_pass,dd40_pass,broker10_100_pass,account_survival_pass,deployable_pass,source_name,rebased_end_equity,rebased_total_return_pct,rebased_cagr_pct,rebased_max_dd_pct,rebased_sharpe,rebased_min_equity,max_broker10_margin_to_rebased_equity_pct,p95_broker10_margin_to_rebased_equity_pct,nav_end,oi_mode,am_label,declared_am_size,note,requested_start_month,start_month,start_year,start_month_num,positive_return,mature_63d,mature_126d,mature_252d,dd40_fail,dd50_fail,arm,window_id,duration_years,requested_start,requested_end,complete_window,terminal_near_complete,promotion_arm,experiment_arm
stage008_A_full_2018_2026,A: Official C9/150k,stage008_A_full_2018_2026,full_2018_2026,2018-01-01 independent start to 2026-05-29,full_period,2018-01-02,2026-05-29,150000.0,150000.0,0.4,2037,13071214.100000007,8614.14273333334,70.18112546653508,-56.206935956180295,23.153139900843044,1.362230340211364,115585.20000000004,91.49497007579949,63.82054034508503,0,2,0,1525590.0,808.0,52.58408531583265,0,0.0,0,0,1,1,0,stage772_am40_80_120_oi_monthly,13071214.100000007,8614.14273333334,70.18112546653508,-56.206935956180295,1.362230340211364,115585.20000000004,91.49497007579949,63.82054034508503,87.1414273333334,,,,,2018-01,2018-01,2018,1,1,1,1,1,1,1,stage008_A_full_2018_2026,full_2018_2026,0,2018-01-01,2026-05-29,1,0,A,
stage008_C_full_2018_2026,C: Official + rollover continuation,stage008_C_full_2018_2026,full_2018_2026,2018-01-01 independent start to 2026-05-29,full_period,2018-01-02,2026-05-29,150000.0,150000.0,0.4,2037,13338365.80000001,8792.243866666673,70.59139470546808,-56.98762835543509,23.038825711426387,1.3626692370353988,128689.99999999996,100.4111866942261,63.22848778529501,1,6,0,1517200.0,825.0,52.68115942028986,0,0.0,0,0,0,1,0,stage772_am40_80_120_oi_monthly,13338365.80000001,8792.243866666673,70.59139470546808,-56.98762835543509,1.3626692370353988,128689.99999999996,100.4111866942261,63.22848778529501,88.92243866666674,,,,,2018-01,2018-01,2018,1,1,1,1,1,1,1,stage008_C_full_2018_2026,full_2018_2026,0,2018-01-01,2026-05-29,1,0,C,
stage011_H_full_2018_2026,H: C + direction and recent volume > 2x prior risk x1.2,stage011_H_full_2018_2026,full_2018_2026,2018-01-01 independent start to 2026-05-29,full_period,2018-01-02,2026-05-29,150000.0,150000.0,0.4,2037,15553660.10000001,10269.10673333334,73.73960728764774,-60.34695698819308,23.999945988550728,1.4101681682072271,128689.99999999996,95.2240484272014,62.97205329925784,0,2,0,1701240.0,823.0,52.23116313094367,0,0.0,0,0,1,1,0,stage772_am40_80_120_oi_monthly,15553660.10000001,10269.10673333334,73.73960728764774,-60.34695698819308,1.4101681682072271,128689.99999999996,95.2240484272014,62.97205329925784,103.6910673333334,,,,,2018-01,2018-01,2018,1,1,1,1,1,1,1,stage011_H_full_2018_2026,full_2018_2026,0,2018-01-01,2026-05-29,1,0,H,H
stage013_I_double_volume_asymmetric_both_sides_full_2018_2026,"I: C + both-confirmed x1.5 otherwise x0.5, both sides",stage013_I_double_volume_asymmetric_both_sides_full_2018_2026,full_2018_2026,2018-01-01 independent start to 2026-05-29,full_period,2018-01-02,2026-05-29,150000.0,150000.0,0.4,2037,3798557.200000002,2432.3714666666683,46.90534505686532,-44.8869797554535,19.138229430385298,1.2005960508709452,126106.90000000001,81.19187958381006,50.92835354387107,0,0,0,386680.0,781.0,51.80115273775216,0,0.0,0,0,1,1,0,stage772_am40_80_120_oi_monthly,3798557.200000002,2432.3714666666683,46.90534505686532,-44.8869797554535,1.2005960508709452,126106.90000000001,81.19187958381006,50.92835354387107,25.32371466666668,,,,,2018-01,2018-01,2018,1,1,1,1,1,1,0,stage013_I_double_volume_asymmetric_both_sides_full_2018_2026,full_2018_2026,0,2018-01-01,2026-05-29,1,0,I,
stage013_J_double_volume_asymmetric_long_only_full_2018_2026,J: C + long hit x1.5/miss x0.5; short bypass x1.0,stage013_J_double_volume_asymmetric_long_only_full_2018_2026,full_2018_2026,2018-01-01 independent start to 2026-05-29,full_period,2018-01-02,2026-05-29,150000.0,150000.0,0.4,2037,6948829.100000002,4532.552733333335,57.85334636175339,-46.170953302845255,20.835239407213137,1.3129766963833225,123530.3,82.37958076350571,54.92964799816388,0,0,0,734090.0,796.0,52.186379928315404,0,0.0,0,0,1,1,0,stage772_am40_80_120_oi_monthly,6948829.100000002,4532.552733333335,57.85334636175339,-46.170953302845255,1.3129766963833225,123530.3,82.37958076350571,54.92964799816388,46.32552733333335,,,,,2018-01,2018-01,2018,1,1,1,1,1,1,0,stage013_J_double_volume_asymmetric_long_only_full_2018_2026,full_2018_2026,0,2018-01-01,2026-05-29,1,0,J,
stage008_A_roll_1y_2018_01,A: Official C9/150k,stage008_A_roll_1y_2018_01,roll_1y_2018_01,2018-01-01 independent start to 2018-12-31,rolling_1y,2018-01-02,2018-12-28,150000.0,150000.0,0.4,243,144120.40000000002,-3.919733333333319,-3.975744532733405,-15.640773516879747,8.679469323285542,-0.1591543885005252,128689.99999999996,49.13024959305479,27.395522080017795,0,0,0,3880.0,58.0,41.25,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,144120.40000000002,-3.919733333333319,-3.975744532733405,-15.640773516879747,-0.1591543885005252,128689.99999999996,49.13024959305479,27.395522080017795,0.9608026666666668,,,,,2018-01,2018-01,2018,1,0,1,1,0,0,0,stage008_A_roll_1y_2018_01,roll_1y_2018_01,1,2018-01-01,2018-12-31,1,0,A,
stage008_C_roll_1y_2018_01,C: Official + rollover continuation,stage008_C_roll_1y_2018_01,roll_1y_2018_01,2018-01-01 independent start to 2018-12-31,rolling_1y,2018-01-02,2018-12-28,150000.0,150000.0,0.4,243,134950.40000000002,-10.033066666666643,-10.171676783300764,-15.640773516879747,9.228506463155933,-0.5062719888985959,128689.99999999996,58.662096623764235,33.33403691000097,0,0,0,4040.0,61.0,43.08943089430895,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,134950.40000000002,-10.033066666666643,-10.171676783300764,-15.640773516879747,-0.5062719888985959,128689.99999999996,58.662096623764235,33.33403691000097,0.8996693333333335,,,,,2018-01,2018-01,2018,1,0,1,1,0,0,0,stage008_C_roll_1y_2018_01,roll_1y_2018_01,1,2018-01-01,2018-12-31,1,0,C,
stage011_H_roll_1y_2018_01,H: C + direction and recent volume > 2x prior risk x1.2,stage011_H_roll_1y_2018_01,roll_1y_2018_01,2018-01-01 independent start to 2018-12-31,rolling_1y,2018-01-02,2018-12-28,150000.0,150000.0,0.4,243,134950.40000000002,-10.033066666666643,-10.171676783300764,-15.640773516879747,9.228506463155933,-0.5062719888985959,128689.99999999996,58.662096623764235,33.33403691000097,0,0,0,4040.0,61.0,43.08943089430895,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,134950.40000000002,-10.033066666666643,-10.171676783300764,-15.640773516879747,-0.5062719888985959,128689.99999999996,58.662096623764235,33.33403691000097,0.8996693333333335,,,,,2018-01,2018-01,2018,1,0,1,1,0,0,0,stage011_H_roll_1y_2018_01,roll_1y_2018_01,1,2018-01-01,2018-12-31,1,0,H,H
stage013_I_double_volume_asymmetric_both_sides_roll_1y_2018_01,"I: C + both-confirmed x1.5 otherwise x0.5, both sides",stage013_I_double_volume_asymmetric_both_sides_roll_1y_2018_01,roll_1y_2018_01,2018-01-01 independent start to 2018-12-31,rolling_1y,2018-01-02,2018-12-28,150000.0,150000.0,0.4,243,139022.69999999998,-7.318200000000008,-7.420862811528329,-9.542340184926557,5.90164017216919,-0.7749316617212487,135984.99999999994,50.18042131246465,24.70471360824461,0,0,0,2600.0,59.0,43.44262295081967,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,139022.69999999998,-7.318200000000008,-7.420862811528329,-9.542340184926557,-0.7749316617212487,135984.99999999994,50.18042131246465,24.70471360824461,0.9268179999999999,,,,,2018-01,2018-01,2018,1,0,1,1,0,0,0,stage013_I_double_volume_asymmetric_both_sides_roll_1y_2018_01,roll_1y_2018_01,1,2018-01-01,2018-12-31,1,0,I,
stage013_J_double_volume_asymmetric_long_only_roll_1y_2018_01,J: C + long hit x1.5/miss x0.5; short bypass x1.0,stage013_J_double_volume_asymmetric_long_only_roll_1y_2018_01,roll_1y_2018_01,2018-01-01 independent start to 2018-12-31,rolling_1y,2018-01-02,2018-12-28,150000.0,150000.0,0.4,243,139332.69999999998,-7.111533333333342,-7.211411114274369,-9.974722277655879,6.181357122298446,-0.6014707172220841,135334.99999999994,50.41006754078463,25.125638686967783,0,0,0,2720.0,59.0,44.26229508196721,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,139332.69999999998,-7.111533333333342,-7.211411114274369,-9.974722277655879,-0.6014707172220841,135334.99999999994,50.41006754078463,25.125638686967783,0.9288846666666666,,,,,2018-01,2018-01,2018,1,0,1,1,0,0,0,stage013_J_double_volume_asymmetric_long_only_roll_1y_2018_01,roll_1y_2018_01,1,2018-01-01,2018-12-31,1,0,J,
