date,variant,label,window_name,window_label,window_group,account_capital,account_equity,nav,drawdown_pct,broker10_margin_to_equity_pct,net_pnl,trade_count,total_slippage,source_name,rebased_equity,rebased_nav,broker10_margin_to_rebased_equity_pct,profile,oi_mode,am_label,declared_am_size,requested_start_month,start_month,arm,window_id,duration_years,requested_start,requested_end,complete_window,terminal_near_complete,promotion_arm,start_year,start_month_num,experiment_arm
2024-07-04,stage008_C_full_2018_2026,C: Official + rollover continuation,full_2018_2026,2018-01-01 independent start to 2026-05-29,full_period,150000.0,6415546.400000002,42.77030933333335,-6.856329260835869,81.58478707285161,-448670.0,0,0.0,stage772_am40_80_120_oi_monthly,6415546.400000002,42.77030933333335,81.58478707285161,stage008_C_full_2018_2026,,,,2018-01,2018-01,stage008_C_full_2018_2026,full_2018_2026,0.0,2018-01-01,2026-05-29,1.0,0.0,C,2018.0,1.0,C
2024-07-05,stage008_C_full_2018_2026,C: Official + rollover continuation,full_2018_2026,2018-01-01 independent start to 2026-05-29,full_period,150000.0,6658396.400000002,44.38930933333335,-3.3305281787946006,40.31150127979763,242850.0,1,7110.0,stage772_am40_80_120_oi_monthly,6658396.400000002,44.38930933333335,40.31150127979763,stage008_C_full_2018_2026,,,,2018-01,2018-01,stage008_C_full_2018_2026,full_2018_2026,0.0,2018-01-01,2026-05-29,1.0,0.0,C,2018.0,1.0,C
2024-07-08,stage008_C_full_2018_2026,C: Official + rollover continuation,full_2018_2026,2018-01-01 independent start to 2026-05-29,full_period,150000.0,6406956.400000002,42.71304266666668,-6.981042587147323,41.245979916454544,-251440.0,0,0.0,stage772_am40_80_120_oi_monthly,6406956.400000002,42.71304266666668,41.245979916454544,stage008_C_full_2018_2026,,,,2018-01,2018-01,stage008_C_full_2018_2026,full_2018_2026,0.0,2018-01-01,2026-05-29,1.0,0.0,C,2018.0,1.0,C
2024-07-09,stage008_C_full_2018_2026,C: Official + rollover continuation,full_2018_2026,2018-01-01 independent start to 2026-05-29,full_period,150000.0,6451856.400000002,43.01237600000002,-6.32916501422719,0.0,44900.0,1,4490.0,stage772_am40_80_120_oi_monthly,6451856.400000002,43.01237600000002,0.0,stage008_C_full_2018_2026,,,,2018-01,2018-01,stage008_C_full_2018_2026,full_2018_2026,0.0,2018-01-01,2026-05-29,1.0,0.0,C,2018.0,1.0,C
2024-07-10,stage008_C_full_2018_2026,C: Official + rollover continuation,full_2018_2026,2018-01-01 independent start to 2026-05-29,full_period,150000.0,6451856.400000002,43.01237600000002,-6.32916501422719,0.0,0.0,0,0.0,stage772_am40_80_120_oi_monthly,6451856.400000002,43.01237600000002,0.0,stage008_C_full_2018_2026,,,,2018-01,2018-01,stage008_C_full_2018_2026,full_2018_2026,0.0,2018-01-01,2026-05-29,1.0,0.0,C,2018.0,1.0,C
2024-07-11,stage008_C_full_2018_2026,C: Official + rollover continuation,full_2018_2026,2018-01-01 independent start to 2026-05-29,full_period,150000.0,6451856.400000002,43.01237600000002,-6.32916501422719,0.0,0.0,0,0.0,stage772_am40_80_120_oi_monthly,6451856.400000002,43.01237600000002,0.0,stage008_C_full_2018_2026,,,,2018-01,2018-01,stage008_C_full_2018_2026,full_2018_2026,0.0,2018-01-01,2026-05-29,1.0,0.0,C,2018.0,1.0,C
2024-07-12,stage008_C_full_2018_2026,C: Official + rollover continuation,full_2018_2026,2018-01-01 independent start to 2026-05-29,full_period,150000.0,6451856.400000002,43.01237600000002,-6.32916501422719,0.0,0.0,0,0.0,stage772_am40_80_120_oi_monthly,6451856.400000002,43.01237600000002,0.0,stage008_C_full_2018_2026,,,,2018-01,2018-01,stage008_C_full_2018_2026,full_2018_2026,0.0,2018-01-01,2026-05-29,1.0,0.0,C,2018.0,1.0,C
2024-07-15,stage008_C_full_2018_2026,C: Official + rollover continuation,full_2018_2026,2018-01-01 independent start to 2026-05-29,full_period,150000.0,6451856.400000002,43.01237600000002,-6.32916501422719,0.0,0.0,0,0.0,stage772_am40_80_120_oi_monthly,6451856.400000002,43.01237600000002,0.0,stage008_C_full_2018_2026,,,,2018-01,2018-01,stage008_C_full_2018_2026,full_2018_2026,0.0,2018-01-01,2026-05-29,1.0,0.0,C,2018.0,1.0,C
2024-07-16,stage008_C_full_2018_2026,C: Official + rollover continuation,full_2018_2026,2018-01-01 independent start to 2026-05-29,full_period,150000.0,6451856.400000002,43.01237600000002,-6.32916501422719,0.0,0.0,0,0.0,stage772_am40_80_120_oi_monthly,6451856.400000002,43.01237600000002,0.0,stage008_C_full_2018_2026,,,,2018-01,2018-01,stage008_C_full_2018_2026,full_2018_2026,0.0,2018-01-01,2026-05-29,1.0,0.0,C,2018.0,1.0,C
2024-07-17,stage008_C_full_2018_2026,C: Official + rollover continuation,full_2018_2026,2018-01-01 independent start to 2026-05-29,full_period,150000.0,6451856.400000002,43.01237600000002,-6.32916501422719,0.0,0.0,0,0.0,stage772_am40_80_120_oi_monthly,6451856.400000002,43.01237600000002,0.0,stage008_C_full_2018_2026,,,,2018-01,2018-01,stage008_C_full_2018_2026,full_2018_2026,0.0,2018-01-01,2026-05-29,1.0,0.0,C,2018.0,1.0,C
