trade_id,order_id,datetime,date,time,vt_symbol,symbol,exchange,direction,offset,price,volume,signed_volume,gateway_name,exit_reason,profile,start_month,variant,account_capital,c3_capital,experiment_arm
BACKTESTING.683,BACKTESTING.637,2023-11-27 00:00:00+08:00,2023-11-27,00:00:00,sp2401.SHFE,sp2401,SHFE,多,平,5836.0,43.0,43.0,BACKTESTING,short_base_stop,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.684,BACKTESTING.638,2023-12-05 00:00:00+08:00,2023-12-05,00:00:00,au2402.SHFE,au2402,SHFE,多,开,480.52,4.0,4.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.685,BACKTESTING.639,2023-12-06 00:00:00+08:00,2023-12-06,00:00:00,FG401.CZCE,FG401,CZCE,空,平,1849.0,23.0,-23.0,BACKTESTING,long_base_stop,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.686,BACKTESTING.640,2023-12-07 00:00:00+08:00,2023-12-07,00:00:00,AP405.CZCE,AP405,CZCE,空,开,8150.0,23.0,-23.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.690,BACKTESTING.641,2023-12-07 00:00:00+08:00,2023-12-07,00:00:00,au2402.SHFE,au2402,SHFE,空,平,474.0,4.0,-4.0,BACKTESTING,long_base_stop,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.687,BACKTESTING.640.stage847_c9.1,2023-12-07 09:01:00+08:00,2023-12-07,09:01:00,AP405.CZCE,AP405,CZCE,多,平,8247.310000000001,23.0,23.0,BACKTESTING,stage847_intraday_retry_failed_05r_stop,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.688,BACKTESTING.640.stage847_c9.2,2023-12-07 09:38:00+08:00,2023-12-07,09:38:00,AP405.CZCE,AP405,CZCE,空,开,8150.0,23.0,-23.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.689,BACKTESTING.640.stage847_c9.3,2023-12-07 10:44:00+08:00,2023-12-07,10:44:00,AP405.CZCE,AP405,CZCE,多,平,8247.310000000001,23.0,23.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.691,BACKTESTING.642,2023-12-08 00:00:00+08:00,2023-12-08,00:00:00,fu2401.SHFE,fu2401,SHFE,空,开,2936.0,34.0,-34.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.692,BACKTESTING.643,2023-12-11 00:00:00+08:00,2023-12-11,00:00:00,hc2405.SHFE,hc2405,SHFE,多,开,4150.0,46.0,46.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
