diagnostic_index,datetime,date,product_vt_symbol,old_contract_vt_symbol,target_contract_vt_symbol,direction,risk_mode,target_am_inited,history_mode,history_source,history_input_ready,history_input_reason,observed_bar_count,required_bar_count,target_observed_bar_count,old_contract_observed_bar_count,source_observed_bar_count,roll_adjustment_ratio,target_bar_appended,same_day_bar_ready,market_data_ready,metadata_ready,target_contract_size,target_price_tick,target_margin_ratio,bullish_alignment,bearish_alignment,macd_hist,previous_volume,selected_volume_before_exact_gate,final_volume,volume_policy,volume_outcome,was_reduced,status,reason,profile,start_month,variant,account_capital,c3_capital,experiment_arm
1,2018-08-16 00:00:00+08:00,2018-08-16,SM.CZCE,SM809.CZCE,SM901.CZCE,long,open_interest_decline,0,backwards_ratio_continuous,old_contract_backwards_ratio_with_target_current_bar,1,ready,41,40,1,41,41,1.0125290023201856,0,1,1,1,5,2.0,0.12,1,0,71.86285072994366,7,3,3,shrink_to_allowed,reduced,1,targeted,reduced_to_allowed_volume,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,A
2,2018-12-13 00:00:00+08:00,2018-12-13,jm.DCE,jm1901.DCE,jm1905.DCE,long,open_interest_decline,0,backwards_ratio_continuous,old_contract_backwards_ratio_with_target_current_bar,1,ready,41,40,1,41,41,0.8685036623648413,0,1,1,1,60,0.5,0.2,1,0,19.097460101739827,2,2,2,shrink_to_allowed,full,0,targeted,previous_volume_fully_allowed,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,A
3,2019-04-04 00:00:00+08:00,2019-04-04,hc.SHFE,hc1905.SHFE,hc1910.SHFE,long,regular,0,backwards_ratio_continuous,old_contract_backwards_ratio_with_target_current_bar,1,ready,41,40,1,41,41,0.9325490196078431,0,1,1,1,10,1.0,0.1,1,0,18.194053781814816,3,6,3,shrink_to_allowed,full,0,targeted,previous_volume_fully_allowed,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,A
4,2019-04-12 00:00:00+08:00,2019-04-12,AP.CZCE,AP905.CZCE,AP910.CZCE,long,regular,0,backwards_ratio_continuous,old_contract_backwards_ratio_with_target_current_bar,1,ready,41,40,1,41,41,0.6452804837084313,0,1,1,1,10,1.0,0.12,1,0,61.13897896011264,1,4,1,shrink_to_allowed,full,0,targeted,previous_volume_fully_allowed,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,A
5,2019-08-09 00:00:00+08:00,2019-08-09,CF.CZCE,CF909.CZCE,CF001.CZCE,short,regular,0,backwards_ratio_continuous,old_contract_backwards_ratio_with_target_current_bar,1,ready,41,40,1,41,41,1.0400654129190514,0,1,1,1,5,5.0,0.12,0,1,-197.65679144888855,6,4,4,shrink_to_allowed,reduced,1,targeted,reduced_to_allowed_volume,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,A
6,2019-12-17 00:00:00+08:00,2019-12-17,AP.CZCE,AP001.CZCE,AP005.CZCE,long,regular,1,backwards_ratio_continuous,old_contract_backwards_ratio_with_target_current_bar,1,ready,41,40,41,41,41,0.9540775014459225,0,1,1,1,10,1.0,0.12,1,0,61.16442521449969,6,6,6,shrink_to_allowed,full,0,targeted,previous_volume_fully_allowed,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,A
7,2019-12-17 00:00:00+08:00,2019-12-17,SM.CZCE,SM001.CZCE,SM005.CZCE,long,open_interest_decline,1,backwards_ratio_continuous,old_contract_backwards_ratio_with_target_current_bar,1,ready,41,40,41,41,41,0.9883427851291745,0,1,1,1,5,2.0,0.12,1,0,66.96587480587313,5,15,5,shrink_to_allowed,full,0,targeted,previous_volume_fully_allowed,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,A
8,2020-06-19 00:00:00+08:00,2020-06-19,cu.SHFE,cu2007.SHFE,cu2008.SHFE,long,regular,1,backwards_ratio_continuous,old_contract_backwards_ratio_with_target_current_bar,1,ready,41,40,41,41,41,0.9979070740895772,0,1,1,1,5,10.0,0.12,1,0,222.9340364298066,1,1,1,shrink_to_allowed,full,0,targeted,previous_volume_fully_allowed,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,A
9,2020-08-11 00:00:00+08:00,2020-08-11,FG.CZCE,FG009.CZCE,FG101.CZCE,long,regular,1,backwards_ratio_continuous,old_contract_backwards_ratio_with_target_current_bar,1,ready,41,40,41,41,41,0.9492307692307692,0,1,1,1,20,1.0,0.12,1,0,35.64835902685155,15,20,15,shrink_to_allowed,full,0,targeted,previous_volume_fully_allowed,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,A
10,2020-09-02 00:00:00+08:00,2020-09-02,hc.SHFE,hc2010.SHFE,hc2101.SHFE,long,regular,1,backwards_ratio_continuous,old_contract_backwards_ratio_with_target_current_bar,1,ready,41,40,41,41,41,0.9754525167369205,0,1,1,1,10,1.0,0.1,1,0,6.0025302613033915,26,40,26,shrink_to_allowed,full,0,targeted,previous_volume_fully_allowed,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,A
