trade_id,order_id,datetime,date,time,vt_symbol,symbol,exchange,direction,offset,price,volume,signed_volume,gateway_name,exit_reason,profile,start_month,variant,account_capital,c3_capital,experiment_arm
BACKTESTING.466,BACKTESTING.398,2022-03-30 00:00:00+08:00,2022-03-30,00:00:00,jm2205.DCE,jm2205,DCE,多,开,3150.0,19.0,19.0,BACKTESTING,,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
BACKTESTING.467,BACKTESTING.399,2022-04-01 00:00:00+08:00,2022-04-01,00:00:00,fu2205.SHFE,fu2205,SHFE,空,平,3927.0,162.0,-162.0,BACKTESTING,long_base_stop,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
BACKTESTING.468,BACKTESTING.400,2022-04-11 00:00:00+08:00,2022-04-11,00:00:00,hc2205.SHFE,hc2205,SHFE,空,平,5250.0,86.0,-86.0,BACKTESTING,forced_margin_deleverage,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
BACKTESTING.469,BACKTESTING.401,2022-04-12 00:00:00+08:00,2022-04-12,00:00:00,jm2205.DCE,jm2205,DCE,空,平,3115.0,19.0,-19.0,BACKTESTING,long_prev2day_stop,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
BACKTESTING.470,BACKTESTING.402,2022-04-18 00:00:00+08:00,2022-04-18,00:00:00,fu2209.SHFE,fu2209,SHFE,多,开,4208.0,190.0,190.0,BACKTESTING,,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
BACKTESTING.471,BACKTESTING.403,2022-04-19 00:00:00+08:00,2022-04-19,00:00:00,SM209.CZCE,SM209,CZCE,多,开,9040.0,207.0,207.0,BACKTESTING,,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
BACKTESTING.472,BACKTESTING.404,2022-04-19 00:00:00+08:00,2022-04-19,00:00:00,fu2209.SHFE,fu2209,SHFE,空,平,4135.0,190.0,-190.0,BACKTESTING,long_risk_cluster_heat_deleverage,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
BACKTESTING.473,BACKTESTING.405,2022-04-20 00:00:00+08:00,2022-04-20,00:00:00,SM209.CZCE,SM209,CZCE,空,平,9000.0,207.0,-207.0,BACKTESTING,long_risk_cluster_heat_deleverage,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
BACKTESTING.474,BACKTESTING.406,2022-04-26 00:00:00+08:00,2022-04-26,00:00:00,MA209.CZCE,MA209,CZCE,空,开,2698.0,335.0,-335.0,BACKTESTING,,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
BACKTESTING.475,BACKTESTING.407,2022-04-27 00:00:00+08:00,2022-04-27,00:00:00,MA209.CZCE,MA209,CZCE,多,平,2735.0,335.0,335.0,BACKTESTING,short_risk_cluster_heat_deleverage,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
BACKTESTING.476,BACKTESTING.408,2022-05-06 00:00:00+08:00,2022-05-06,00:00:00,fu2209.SHFE,fu2209,SHFE,多,开,4430.0,153.0,153.0,BACKTESTING,,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
BACKTESTING.477,BACKTESTING.409,2022-05-09 00:00:00+08:00,2022-05-09,00:00:00,fu2209.SHFE,fu2209,SHFE,空,平,4304.0,153.0,-153.0,BACKTESTING,long_base_stop,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
BACKTESTING.478,BACKTESTING.410,2022-05-10 00:00:00+08:00,2022-05-10,00:00:00,au2206.SHFE,au2206,SHFE,多,开,403.56,23.0,23.0,BACKTESTING,,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
BACKTESTING.479,BACKTESTING.411,2022-05-11 00:00:00+08:00,2022-05-11,00:00:00,au2206.SHFE,au2206,SHFE,空,平,403.58,23.0,-23.0,BACKTESTING,long_base_stop,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
