tq_symbol,exchange,symbol,status,rows,file_path,message,updated_at
CFFEX.IC2107,CFFEX,IC2107,downloaded,39,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2107.csv,,2026-04-22T13:31:40
CFFEX.IC2108,CFFEX,IC2108,downloaded,45,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2108.csv,,2026-04-22T13:31:41
CFFEX.IC2109,CFFEX,IC2109,downloaded,165,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2109.csv,,2026-04-22T13:31:41
CFFEX.IC2110,CFFEX,IC2110,downloaded,33,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2110.csv,,2026-04-22T13:31:41
CFFEX.IC2111,CFFEX,IC2111,downloaded,38,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2111.csv,,2026-04-22T13:31:41
CFFEX.IC2112,CFFEX,IC2112,downloaded,164,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2112.csv,,2026-04-22T13:31:41
CFFEX.IC2201,CFFEX,IC2201,downloaded,44,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2201.csv,,2026-04-22T13:31:41
CFFEX.IC2202,CFFEX,IC2202,downloaded,39,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2202.csv,,2026-04-22T13:31:41
CFFEX.IC2203,CFFEX,IC2203,downloaded,162,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2203.csv,,2026-04-22T13:31:41
CFFEX.IC2204,CFFEX,IC2204,downloaded,38,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2204.csv,,2026-04-22T13:31:41
