CSV root: /Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04
Database path: /Users/bytedance/.vntrader/database.db
[2540/4041] imported DCE.y2408 rows=243
[2560/4041] imported GFEX.lc2407 rows=237
[2580/4041] imported GFEX.lc2603 rows=241
[2600/4041] imported GFEX.si2403 rows=243
[2620/4041] imported GFEX.si2511 rows=243
[2640/4041] imported INE.bc2205 rows=241
[2660/4041] imported INE.bc2401 rows=242
[2680/4041] imported INE.bc2509 rows=241
[2700/4041] imported INE.lu2101 rows=126
[2720/4041] imported INE.lu2209 rows=242
[2740/4041] imported INE.lu2405 rows=242
[2760/4041] imported INE.lu2601 rows=243
[2780/4041] imported INE.nr2201 rows=243
[2800/4041] imported INE.nr2309 rows=244
[2820/4041] imported INE.nr2505 rows=242
[2840/4041] imported INE.sc2106 rows=728
[2860/4041] imported INE.sc2302 rows=238
[2880/4041] imported INE.sc2410 rows=241
[2900/4041] imported SHFE.ad2512 rows=129
[2920/4041] imported SHFE.ag2112 rows=243
[2940/4041] imported SHFE.ag2308 rows=243
[2960/4041] imported SHFE.ag2504 rows=242
[2980/4041] imported SHFE.al2104 rows=243
[3000/4041] imported SHFE.al2212 rows=243
[3020/4041] imported SHFE.al2408 rows=243
[3040/4041] imported SHFE.al2604 rows=242
[3060/4041] imported SHFE.ao2506 rows=241
[3080/4041] imported SHFE.au2106 rows=263
[3100/4041] imported SHFE.au2302 rows=259
[3120/4041] imported SHFE.au2410 rows=256
[3140/4041] imported SHFE.br2402 rows=134
[3160/4041] imported SHFE.br2510 rows=243
[3180/4041] imported SHFE.bu2110 rows=120
[3200/4041] imported SHFE.bu2306 rows=487
[3220/4041] imported SHFE.bu2502 rows=240
[3240/4041] imported SHFE.cu2102 rows=241
[3260/4041] imported SHFE.cu2210 rows=243
[3280/4041] imported SHFE.cu2406 rows=241
[3300/4041] imported SHFE.cu2602 rows=247
[3320/4041] imported SHFE.fu2203 rows=243
[3340/4041] imported SHFE.fu2311 rows=243
[3360/4041] imported SHFE.fu2507 rows=242
[3380/4041] imported SHFE.hc2107 rows=244
[3400/4041] imported SHFE.hc2303 rows=243
[3420/4041] imported SHFE.hc2411 rows=242
[3440/4041] imported SHFE.ni2011 rows=242
[3460/4041] imported SHFE.ni2207 rows=242
[3480/4041] imported SHFE.ni2403 rows=243
[3500/4041] imported SHFE.ni2511 rows=243
[3520/4041] imported SHFE.pb2107 rows=244
[3540/4041] imported SHFE.pb2303 rows=243
[3560/4041] imported SHFE.pb2411 rows=242
[3580/4041] imported SHFE.rb2011 rows=242
[3600/4041] imported SHFE.rb2207 rows=242
[3620/4041] imported SHFE.rb2403 rows=243
[3640/4041] imported SHFE.rb2511 rows=243
[3660/4041] imported SHFE.ru2203 rows=243
[3680/4041] imported SHFE.ru2403 rows=243
[3700/4041] imported SHFE.ru2603 rows=241
[3720/4041] imported SHFE.sn2203 rows=243
[3740/4041] imported SHFE.sn2311 rows=243
[3760/4041] imported SHFE.sn2507 rows=242
[3780/4041] imported SHFE.sp2107 rows=244
[3800/4041] imported SHFE.sp2303 rows=243
[3820/4041] imported SHFE.sp2411 rows=242
[3840/4041] imported SHFE.ss2011 rows=242
[3860/4041] imported SHFE.ss2207 rows=242
[3880/4041] imported SHFE.ss2403 rows=243
[3900/4041] imported SHFE.ss2511 rows=243
[3920/4041] imported SHFE.wr2111 rows=242
[3940/4041] imported SHFE.wr2307 rows=243
[3960/4041] imported SHFE.wr2503 rows=241
[3980/4041] imported SHFE.zn2103 rows=241
[4000/4041] imported SHFE.zn2211 rows=243
[4020/4041] imported SHFE.zn2407 rows=241
[4040/4041] imported SHFE.zn2603 rows=241
[4041/4041] imported SHFE.zn2604 rows=242
