tq_symbol,exchange,symbol,status,rows,file_path,message,updated_at
CFFEX.IC2009,CFFEX,IC2009,imported,163,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2009.csv,,2026-04-22T13:55:34
CFFEX.IC2010,CFFEX,IC2010,imported,34,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2010.csv,,2026-04-22T13:55:34
CFFEX.IC2011,CFFEX,IC2011,imported,39,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2011.csv,,2026-04-22T13:55:34
CFFEX.IC2012,CFFEX,IC2012,imported,164,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2012.csv,,2026-04-22T13:55:34
CFFEX.IC2101,CFFEX,IC2101,imported,39,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2101.csv,,2026-04-22T13:55:34
CFFEX.IC2102,CFFEX,IC2102,imported,39,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2102.csv,,2026-04-22T13:55:34
CFFEX.IC2103,CFFEX,IC2103,imported,163,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2103.csv,,2026-04-22T13:55:34
CFFEX.IC2104,CFFEX,IC2104,imported,39,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2104.csv,,2026-04-22T13:55:34
CFFEX.IC2105,CFFEX,IC2105,imported,41,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2105.csv,,2026-04-22T13:55:34
CFFEX.IC2106,CFFEX,IC2106,imported,164,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2106.csv,,2026-04-22T13:55:34
CFFEX.IC2107,CFFEX,IC2107,imported,39,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2107.csv,,2026-04-22T13:55:34
CFFEX.IC2108,CFFEX,IC2108,imported,45,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2108.csv,,2026-04-22T13:55:34
CFFEX.IC2109,CFFEX,IC2109,imported,165,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2109.csv,,2026-04-22T13:55:34
CFFEX.IC2110,CFFEX,IC2110,imported,33,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2110.csv,,2026-04-22T13:55:34
CFFEX.IC2111,CFFEX,IC2111,imported,38,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2111.csv,,2026-04-22T13:55:34
CFFEX.IC2112,CFFEX,IC2112,imported,164,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2112.csv,,2026-04-22T13:55:34
CFFEX.IC2201,CFFEX,IC2201,imported,44,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2201.csv,,2026-04-22T13:55:34
CFFEX.IC2202,CFFEX,IC2202,imported,39,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2202.csv,,2026-04-22T13:55:34
CFFEX.IC2203,CFFEX,IC2203,imported,162,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2203.csv,,2026-04-22T13:55:34
CFFEX.IC2204,CFFEX,IC2204,imported,38,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2204.csv,,2026-04-22T13:55:34
CFFEX.IC2205,CFFEX,IC2205,imported,40,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2205.csv,,2026-04-22T13:55:34
CFFEX.IC2206,CFFEX,IC2206,imported,163,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2206.csv,,2026-04-22T13:55:34
CFFEX.IC2207,CFFEX,IC2207,imported,39,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2207.csv,,2026-04-22T13:55:34
CFFEX.IC2208,CFFEX,IC2208,imported,45,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2208.csv,,2026-04-22T13:55:34
CFFEX.IC2209,CFFEX,IC2209,imported,158,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2209.csv,,2026-04-22T13:55:34
CFFEX.IC2210,CFFEX,IC2210,imported,39,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2210.csv,,2026-04-22T13:55:34
CFFEX.IC2211,CFFEX,IC2211,imported,40,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2211.csv,,2026-04-22T13:55:34
CFFEX.IC2212,CFFEX,IC2212,imported,165,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2212.csv,,2026-04-22T13:55:34
CFFEX.IC2301,CFFEX,IC2301,imported,44,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2301.csv,,2026-04-22T13:55:34
CFFEX.IC2302,CFFEX,IC2302,imported,39,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2302.csv,,2026-04-22T13:55:34
CFFEX.IC2303,CFFEX,IC2303,imported,163,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2303.csv,,2026-04-22T13:55:34
CFFEX.IC2304,CFFEX,IC2304,imported,44,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2304.csv,,2026-04-22T13:55:34
CFFEX.IC2305,CFFEX,IC2305,imported,41,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2305.csv,,2026-04-22T13:55:34
