comparison,baseline,candidate,A_end_equity,B_end_equity,delta_end_equity,A_total_return_pct,B_total_return_pct,delta_total_return_pct,A_max_dd_pct,B_max_dd_pct,delta_max_dd_pct,A_sharpe,B_sharpe,delta_sharpe,A_total_slippage,B_total_slippage,delta_total_slippage,A_total_trade_count,B_total_trade_count,delta_total_trade_count,A_nonzero_daily_win_rate_pct,B_nonzero_daily_win_rate_pct,delta_nonzero_daily_win_rate_pct,A_max_broker10_margin_to_equity_pct,B_max_broker10_margin_to_equity_pct,delta_max_broker10_margin_to_equity_pct,A_days_over_100pct,B_days_over_100pct,delta_days_over_100pct,slippage_ratio_B_over_A,C_end_equity,C_total_return_pct,C_max_dd_pct,C_sharpe,C_total_slippage,C_total_trade_count,C_nonzero_daily_win_rate_pct,C_max_broker10_margin_to_equity_pct,C_days_over_100pct,slippage_ratio_C_over_B,slippage_ratio_C_over_A
A_vs_B,stage033_A_formal_q,stage033_B_stage032_long_range_3d_stall_filter,14989515.100000003,15221349.500000007,231834.4000000041,9893.01006666667,10047.56633333334,154.55626666667013,-44.9033186039274,-42.624045461763636,2.279273142163767,1.4685554601682667,1.4870938363344248,0.018538376166158166,1741690.0,1527820.0,-213870.0,846.0,755.0,-91.0,52.67284390591589,53.21027287319422,0.5374289672783306,99.6724041790796,93.18650174647286,-6.48590243260675,0.0,0.0,0.0,0.8772054728453399,,,,,,,,,,,
B_vs_C,stage033_B_stage032_long_range_3d_stall_filter,stage033_C_stage032_ordered_drawdown_or_filter,,15221349.500000007,-3005997.8999999985,,10047.56633333334,-2003.9986000000008,,-42.624045461763636,-1.5315537370008556,,1.4870938363344248,-0.05954276255552515,,1527820.0,-298500.0,,755.0,-31.0,,53.21027287319422,-0.5441531028906894,,93.18650174647286,-1.7761005908576664,,0.0,0.0,,12215351.600000009,8043.567733333339,-44.15559919876449,1.4275510737788997,1229320.0,724.0,52.66611977030353,91.41040115561519,0.0,0.8046235813119347,
A_vs_C,stage033_A_formal_q,stage033_C_stage032_ordered_drawdown_or_filter,14989515.100000003,,-2774163.4999999944,9893.01006666667,,-1849.4423333333307,-44.9033186039274,,0.7477194051629112,1.4685554601682667,,-0.04100438638936699,1741690.0,,-512370.0,846.0,,-122.0,52.67284390591589,,-0.00672413561235885,99.6724041790796,,-8.262003023464416,0.0,,0.0,,12215351.600000009,8043.567733333339,-44.15559919876449,1.4275510737788997,1229320.0,724.0,52.66611977030353,91.41040115561519,0.0,,0.7058202091072464
