method,block_length,n_simulations,C_return_win_rate_pct,C_return_delta_p05_pct,C_return_delta_p50_pct,C_return_delta_p95_pct,C_dd_noninferior_2pp_rate_pct,C_dd_delta_p05_pct,C_dd_delta_p50_pct,C_sharpe_noninferior_005_rate_pct,C_sharpe_delta_p05,C_sharpe_delta_p50,C_p05_end_nav,A_p05_end_nav,C_prob_dd50_pct,A_prob_dd50_pct,gate_return_win_rate,gate_return_delta_median,gate_dd_noninferior,gate_sharpe_noninferior,gate_p05_end_nav,gate_dd50_probability,all_gates_pass
iid,1,10000,63.32,-13525.876685665899,823.4326567436938,20957.48771902093,82.6,-5.710870136424306,2.6775443520322746,86.03,-0.11389636405131298,0.07925100526695839,15.73251565563425,12.728819416733788,19.66,28.88,True,True,True,True,True,True,True
block_20,20,10000,63.5,-13417.462262558245,712.017226869487,33612.94479434084,77.64999999999999,-6.982821393483116,1.5625969247146685,88.78,-0.09741468114602997,0.07616168447809324,11.28071973447283,9.946799315996925,14.91,19.96,True,True,False,True,True,True,False
block_60,60,10000,64.92999999999999,-8164.351936032699,762.0606527761802,32139.83329912639,66.47,-8.373566499906921,-0.14251460024605578,90.47,-0.07958263873210564,0.07642735552693147,11.278341668361639,10.365640085253522,15.89,15.15,True,True,False,True,True,False,False
block_120,120,10000,65.73,-7783.310064917874,714.9546231122927,36143.37556408318,69.52000000000001,-6.217488737300035,0.6709291524690535,92.41,-0.06847101510943379,0.07590422299225374,10.16085456021129,9.024607923273104,7.85,12.920000000000002,True,True,False,True,True,True,False
