method,block_length,arm,label,n_simulations,prob_end_below_initial_pct,prob_maxdd_gt_40_pct,prob_maxdd_gt_50_pct,prob_maxdd_gt_60_pct,prob_min_nav_lt_050_pct,end_nav_p01,end_nav_p05,end_nav_p10,end_nav_p50,end_nav_p90,end_nav_p95,end_nav_p99,total_return_pct_p01,total_return_pct_p05,total_return_pct_p10,total_return_pct_p50,total_return_pct_p90,total_return_pct_p95,total_return_pct_p99,max_dd_pct_p01,max_dd_pct_p05,max_dd_pct_p10,max_dd_pct_p50,max_dd_pct_p90,max_dd_pct_p95,max_dd_pct_p99,sharpe_p01,sharpe_p05,sharpe_p10,sharpe_p50,sharpe_p90,sharpe_p95,sharpe_p99,days_below_initial_p01,days_below_initial_p05,days_below_initial_p10,days_below_initial_p50,days_below_initial_p90,days_below_initial_p95,days_below_initial_p99
iid,1,A,A Current Online,10000,0.0,68.89999999999999,28.88,7.79,1.38,5.152414078908632,12.728819416733788,19.973721234543774,96.46189141659133,471.192915712038,754.995712362921,1752.862307768028,415.2414078908632,1172.8819416733788,1897.3721234543773,9546.189141659132,47019.291571203794,75399.5712362921,175186.23077680278,-71.2758197017557,-63.05361056152277,-58.22977747401327,-44.350664307672574,-33.93646978561372,-31.805185178809374,-28.128440754690956,0.6659326274630584,0.9175483273777971,1.0384399994876798,1.4583435092041852,1.877778435406629,2.000334362870655,2.2087590184595034,0.0,0.0,0.0,26.0,216.0,330.0499999999993,642.0700000000015
iid,1,C,C Stage037,10000,0.0,57.56,19.66,4.7,0.66,7.035943325154869,15.73251565563425,24.87995693146885,111.41107259923778,512.1194513352065,805.5473563458743,1843.614265587459,603.5943325154869,1473.251565563425,2387.995693146885,11041.107259923778,51111.94513352065,80454.73563458743,184261.4265587459,-68.1411707568293,-59.60875806009718,-54.83376061476654,-41.57097923406353,-31.83070390507006,-29.65417786751642,-26.228377165710324,0.7765269025618471,1.0019665737696348,1.1227286340474365,1.5379663130118426,1.9574665244470066,2.0681157651222626,2.289154140351171,0.0,0.0,0.0,23.0,190.0,291.0,555.0100000000002
block_20,20,A,A Current Online,10000,0.01,59.47,19.96,4.31,0.9199999999999999,3.7296617396783653,9.946799315996925,15.609525726897525,93.2291464674986,702.641735452869,1218.5721803644717,3444.4382681988423,272.96617396783654,894.6799315996925,1460.9525726897525,9222.91464674986,70164.1735452869,121757.21803644716,344343.82681988424,-67.74079921562097,-59.10334876003905,-54.65270640615286,-41.941510545280664,-32.91469639346714,-30.97470676077393,-27.40138209134507,0.597856520761853,0.8795224462703468,1.0011806550660316,1.454380438259769,1.9027207613854205,2.018708607910513,2.2385822115748217,0.0,0.0,0.0,37.0,260.0,384.0,750.0
block_20,20,C,C Stage037,10000,0.0,51.370000000000005,14.91,2.81,0.5499999999999999,4.395508701593985,11.28071973447283,18.17379183410225,107.33923283447994,791.401564655121,1423.2919853124397,4074.6941650918006,339.5508701593985,1028.0719734472832,1717.3791834102249,10633.923283447995,79040.1564655121,142229.19853124395,407369.41650918004,-65.45655437765359,-57.039011696616235,-52.69516343609497,-40.28797119574335,-31.481156362708887,-29.490479025325172,-26.315957972893216,0.6611066886441864,0.9407312423581538,1.0755814768626648,1.5334252658376981,1.9825431013820416,2.103244573598172,2.3314657715979075,0.0,0.0,0.0,35.0,242.0,368.0,701.0300000000007
block_60,60,A,A Current Online,10000,0.04,54.93,15.15,2.52,0.62,4.544528817426652,10.365640085253522,16.818132030016244,91.27196998265978,617.0901817399874,1078.8421649469312,3494.3813823246473,354.4528817426653,936.5640085253523,1581.8132030016245,9027.19699826598,61609.018173998746,107784.21649469312,349338.1382324647,-63.87947028162821,-56.31384977770176,-52.32880153279017,-40.91762346173303,-32.69812355864219,-30.9005265754619,-27.694766331144198,0.6686420909413784,0.911603330283783,1.038280419839629,1.4522250307172722,1.8518695842984707,1.9630963125115997,2.170861262509934,0.0,0.0,0.0,38.0,242.0,371.0,721.0100000000002
block_60,60,C,C Stage037,10000,0.01,53.76,15.89,2.77,0.63,5.04520994657268,11.278341668361639,18.800355536116413,105.33428880087826,739.0470161393628,1284.6996386474807,4269.537244159766,404.520994657268,1027.834166836164,1780.0355536116415,10433.428880087824,73804.70161393628,128369.96386474808,426853.72441597655,-64.52933707976372,-57.26425840261374,-53.03671344441898,-40.78778962791499,-32.16244965788501,-30.080988653461688,-27.293268685629915,0.7157929539225886,0.955865247934214,1.0973696023243946,1.5304149255815092,1.948817462941507,2.0552534881058473,2.2774848415955566,0.0,0.0,0.0,35.0,237.0,361.0,693.0
block_120,120,A,A Current Online,10000,0.0,54.779999999999994,12.920000000000002,1.7500000000000002,0.25,3.995082882380167,9.024607923273104,14.814295295777434,91.5871739587761,675.0431238032226,1186.4898628747856,3663.3603960936516,299.50828823801675,802.4607923273105,1381.4295295777436,9058.717395877611,67404.31238032224,118548.98628747856,366236.03960936517,-62.55391142282308,-54.889893648873,-51.46590048215389,-40.86861678954216,-33.83552197290809,-32.469733121312885,-28.012559772208533,0.6326245916266792,0.8826414516758598,1.0141707711810883,1.4519458270567878,1.8613063797519431,1.9767345818615576,2.170996531756826,0.0,0.0,0.0,35.0,290.10000000000036,421.0499999999993,745.0100000000002
block_120,120,C,C Stage037,10000,0.0,44.84,7.85,0.59,0.06999999999999999,4.848618440178664,10.16085456021129,16.811494045001375,104.72642540936926,812.2131024419663,1425.2802768546849,4966.972946206647,384.8618440178664,916.0854560211288,1581.1494045001375,10372.642540936926,81121.31024419662,142428.0276854685,496597.2946206648,-57.99589470257532,-51.89358444929777,-48.84559537111059,-39.91474607744346,-32.47003954803769,-30.602825206555117,-26.682005551630528,0.6998671916682455,0.9442235915582453,1.0825402304508607,1.5314419438894165,1.952712193504502,2.0730079217972435,2.2879099279861563,0.0,0.0,0.0,41.0,261.0,389.0,691.0
