comparison,baseline,candidate,A_end_equity,B_end_equity,delta_end_equity,A_total_return_pct,B_total_return_pct,delta_total_return_pct,A_max_dd_pct,B_max_dd_pct,delta_max_dd_pct,A_sharpe,B_sharpe,delta_sharpe,A_total_slippage,B_total_slippage,delta_total_slippage,A_total_trade_count,B_total_trade_count,delta_total_trade_count,A_nonzero_daily_win_rate_pct,B_nonzero_daily_win_rate_pct,delta_nonzero_daily_win_rate_pct,A_max_broker10_margin_to_equity_pct,B_max_broker10_margin_to_equity_pct,delta_max_broker10_margin_to_equity_pct,A_days_over_100pct,B_days_over_100pct,delta_days_over_100pct,C_end_equity,C_total_return_pct,C_max_dd_pct,C_sharpe,C_total_slippage,C_total_trade_count,C_nonzero_daily_win_rate_pct,C_max_broker10_margin_to_equity_pct,C_days_over_100pct
A_vs_B,stage037_A_formal_q,stage037_B_stage034_long_only_hard_block,14989515.100000003,15528313.60000001,538798.5000000075,9893.01006666667,10252.209066666674,359.19900000000416,-44.9033186039274,-40.332918025606986,4.570400578320417,1.4685554601682669,1.505700982470088,0.03714552230182111,1741690.0,1580570.0,-161120.0,846.0,749.0,-97.0,52.67284390591589,52.903225806451616,0.2303819005357255,99.6724041790796,83.13828677786107,-16.534117401218538,0.0,0.0,0.0,,,,,,,,,
B_vs_C,stage037_B_stage034_long_only_hard_block,stage037_C_long_short_mirror_hard_block,,15528313.60000001,1523403.6999999974,,10252.209066666674,1015.6024666666654,,-40.332918025606986,0.41817194816352554,,1.505700982470088,0.038240300202076805,,1580570.0,89395.0,,749.0,-16.0,,52.903225806451616,0.29515476035000177,,83.13828677786107,10.442414685605641,,0.0,0.0,17051717.30000001,11267.811533333339,-39.91474607744346,1.5439412826721648,1669965.0,733.0,53.19838056680162,93.58070146346671,0.0
A_vs_C,stage037_A_formal_q,stage037_C_long_short_mirror_hard_block,14989515.100000003,,2062202.2000000048,9893.01006666667,,1374.8014666666695,-44.9033186039274,,4.988572526483942,1.4685554601682669,,0.07538582250389791,1741690.0,,-71725.0,846.0,,-113.0,52.67284390591589,,0.5255366608857273,99.6724041790796,,-6.091702715612897,0.0,,0.0,17051717.30000001,11267.811533333339,-39.91474607744346,1.5439412826721648,1669965.0,733.0,53.19838056680162,93.58070146346671,0.0
