comparison,duration_years,start_cohort,window_count,return_win_count,return_win_rate_pct,median_return_delta_pct,left_positive_count,right_positive_count,left_worst_return_pct,right_worst_return_pct,dd_noninferior_2pp_count,dd_noninferior_2pp_rate_pct,left_dd50_fail_count,right_dd50_fail_count,sharpe_noninferior_005_count,sharpe_noninferior_005_rate_pct,left_slippage,right_slippage,slippage_ratio,left_trades,right_trades,all_right_survival,left_broker100_fail_count,right_broker100_fail_count
A_vs_B,1,combined,16,11,68.75,0.0,12,11,-19.01333333333334,-19.01333333333334,14,87.5,0,0,13,81.25,129840.0,132950.0,1.0239525569932224,1423,1400,1,0,0
A_vs_B,1,january,8,4,50.0,-0.16000000000000458,5,5,-19.01333333333334,-19.01333333333334,6,75.0,0,0,6,75.0,67780.0,66580.0,0.9822956624372972,705,688,1,0,0
A_vs_B,1,june,8,7,87.5,1.6066666666666674,7,6,-6.9133333333333375,-6.9133333333333375,8,100.0,0,0,7,87.5,62060.0,66370.0,1.0694489203996134,718,712,1,0,0
A_vs_B,2,combined,14,7,50.0,-0.10000000000000497,13,13,-14.490000000000002,-14.370000000000005,11,78.57142857142857,1,1,12,85.71428571428571,397880.0,424530.0,1.0669799939680307,2699,2661,1,0,0
A_vs_B,2,january,7,2,28.57142857142857,-1.0980666666666465,6,6,-14.490000000000002,-14.370000000000005,6,85.71428571428571,0,0,7,100.0,205670.0,205060.0,0.9970340837263577,1349,1325,1,0,0
A_vs_B,2,june,7,5,71.42857142857143,9.629999999999995,7,7,38.913333333333334,27.43333333333333,5,71.42857142857143,1,1,5,71.42857142857143,192210.0,219470.0,1.1418240466156808,1350,1336,1,0,0
A_vs_B,3,combined,12,6,50.0,-5.668333333333315,12,12,39.62333333333334,45.61666666666668,10,83.33333333333334,1,1,9,75.0,886560.0,933980.0,1.0534876376105395,3623,3583,1,0,0
A_vs_B,3,january,6,3,50.0,-6.173333333333346,6,6,39.62333333333334,45.61666666666668,5,83.33333333333334,0,0,6,100.0,458940.0,458410.0,0.9988451649453087,1797,1774,1,0,0
A_vs_B,3,june,6,3,50.0,5.2043666666666795,6,6,97.12333333333332,85.68666666666667,5,83.33333333333334,1,1,3,50.0,427620.0,475570.0,1.1121322669659979,1826,1809,1,0,0
A_vs_C,1,combined,16,11,68.75,1.5283333333333273,12,11,-19.01333333333334,-11.13333333333333,15,93.75,0,0,13,81.25,129840.0,130050.0,1.0016173752310535,1423,1379,1,0,0
A_vs_C,1,january,8,5,62.5,3.709999999999999,5,5,-19.01333333333334,-11.13333333333333,7,87.5,0,0,6,75.0,67780.0,66170.0,0.976246680436707,705,686,1,0,0
A_vs_C,1,june,8,6,75.0,0.42833333333332035,7,6,-6.9133333333333375,-6.9133333333333375,8,100.0,0,0,7,87.5,62060.0,63880.0,1.029326458266194,718,693,1,0,0
A_vs_C,2,combined,14,7,50.0,1.5616666666666656,13,13,-14.490000000000002,-16.15000000000001,9,64.28571428571429,1,2,11,78.57142857142857,397880.0,406990.0,1.02289635065849,2699,2614,1,0,0
A_vs_C,2,january,7,3,42.857142857142854,-1.6600000000000072,6,6,-14.490000000000002,-16.15000000000001,3,42.857142857142854,0,1,6,85.71428571428571,205670.0,198760.0,0.9664024894248068,1349,1315,1,0,0
A_vs_C,2,june,7,4,57.14285714285714,4.7833333333333385,7,7,38.913333333333334,43.69666666666667,6,85.71428571428571,1,1,5,71.42857142857143,192210.0,208230.0,1.08334633994069,1350,1299,1,0,0
A_vs_C,3,combined,12,8,66.66666666666666,20.933333333333326,12,12,39.62333333333334,63.58666666666666,10,83.33333333333334,1,2,8,66.66666666666666,886560.0,860680.0,0.9708085183179932,3623,3510,1,0,1
A_vs_C,3,january,6,4,66.66666666666666,34.07013333333332,6,6,39.62333333333334,63.58666666666666,4,66.66666666666666,0,1,4,66.66666666666666,458940.0,432040.0,0.9413866736392557,1797,1755,1,0,1
A_vs_C,3,june,6,4,66.66666666666666,17.33499999999998,6,6,97.12333333333332,115.02666666666666,6,100.0,1,1,4,66.66666666666666,427620.0,428640.0,1.0023852953556895,1826,1755,1,0,0
B_vs_C,1,combined,16,11,68.75,0.15999999999999304,11,11,-19.01333333333334,-11.13333333333333,15,93.75,0,0,15,93.75,132950.0,130050.0,0.9781872884543061,1400,1379,1,0,0
B_vs_C,1,january,8,6,75.0,2.4716666666666525,5,5,-19.01333333333334,-11.13333333333333,8,100.0,0,0,8,100.0,66580.0,66170.0,0.9938419945929708,688,686,1,0,0
B_vs_C,1,june,8,5,62.5,0.0,6,6,-6.9133333333333375,-6.9133333333333375,7,87.5,0,0,7,87.5,66370.0,63880.0,0.9624830495705892,712,693,1,0,0
B_vs_C,2,combined,14,7,50.0,0.6793666666666667,13,13,-14.370000000000005,-16.15000000000001,13,92.85714285714286,1,2,11,78.57142857142857,424530.0,406990.0,0.9586837208206723,2661,2614,1,0,0
B_vs_C,2,january,7,4,57.14285714285714,5.706466666666984,6,6,-14.370000000000005,-16.15000000000001,6,85.71428571428571,0,1,6,85.71428571428571,205060.0,198760.0,0.9692772846971618,1325,1315,1,0,0
B_vs_C,2,june,7,3,42.857142857142854,-0.4412666666666638,7,7,27.43333333333333,43.69666666666667,7,100.0,1,1,5,71.42857142857143,219470.0,208230.0,0.9487857110311204,1336,1299,1,0,0
B_vs_C,3,combined,12,8,66.66666666666666,23.654999999999983,12,12,45.61666666666668,63.58666666666666,9,75.0,1,2,8,66.66666666666666,933980.0,860680.0,0.9215186620698516,3583,3510,1,0,1
B_vs_C,3,january,6,4,66.66666666666666,25.40513333333333,6,6,45.61666666666668,63.58666666666666,4,66.66666666666666,0,1,4,66.66666666666666,458410.0,432040.0,0.9424750768962282,1774,1755,1,0,1
B_vs_C,3,june,6,4,66.66666666666666,16.04999999999999,6,6,85.68666666666667,115.02666666666666,5,83.33333333333334,1,1,4,66.66666666666666,475570.0,428640.0,0.9013184178985217,1809,1755,1,0,0
