variant,label,profile,window_name,window_label,window_group,analysis_start,analysis_end,account_capital,c3_capital,risk_multiplier,trading_days,end_equity,total_return_pct,cagr_pct,max_dd_pct,ulcer_pct,sharpe,min_equity,max_broker10_margin_to_equity_pct,p95_broker10_margin_to_equity_pct,days_over_100pct,days_over_90pct,days_equity_below_zero,total_slippage,total_trade_count,nonzero_daily_win_rate_pct,forced_margin_deleverage_count,forced_margin_deleverage_closed_volume,dd30_pass,dd40_pass,broker10_100_pass,account_survival_pass,deployable_pass,source_name,rebased_end_equity,rebased_total_return_pct,rebased_cagr_pct,rebased_max_dd_pct,rebased_sharpe,rebased_min_equity,max_broker10_margin_to_rebased_equity_pct,p95_broker10_margin_to_rebased_equity_pct,nav_end,oi_mode,am_label,declared_am_size,note,requested_start_month,start_month,start_year,start_month_num,positive_return,mature_63d,mature_126d,mature_252d,dd40_fail,dd50_fail,arm,window_id,duration_years,requested_start,requested_end,complete_window,terminal_near_complete,promotion_arm,experiment_arm
stage016_K_long_hit_15_otherwise_10_roll_1y_2018_06,K: C + long >2x volume x1.5 otherwise x1.0,stage016_K_long_hit_15_otherwise_10_roll_1y_2018_06,roll_1y_2018_06,2018-06-01 independent start to 2019-05-31,rolling_1y,2018-06-01,2019-05-31,150000.0,150000.0,0.4,243,164729.50000000006,9.819666666666716,9.85499771533882,-16.986383722698307,7.224083152404943,0.4956180158993039,141399.50000000006,71.1338674168689,34.182702754300415,0,0,0,5710.0,82.0,50.53191489361703,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,164729.50000000006,9.819666666666716,9.85499771533882,-16.986383722698307,0.4956180158993039,141399.50000000006,71.1338674168689,34.182702754300415,1.0981966666666672,,,,,2018-06,2018-06,2018,6,1,1,1,0,0,0,stage016_K_long_hit_15_otherwise_10_roll_1y_2018_06,roll_1y_2018_06,1,2018-06-01,2019-05-31,1,0,K,
stage016_L_long_triple_volume_hit_15_otherwise_10_roll_1y_2018_06,L: C + long >3x volume x1.5 otherwise x1.0,stage016_L_long_triple_volume_hit_15_otherwise_10_roll_1y_2018_06,roll_1y_2018_06,2018-06-01 independent start to 2019-05-31,rolling_1y,2018-06-01,2019-05-31,150000.0,150000.0,0.4,243,164729.50000000006,9.819666666666716,9.85499771533882,-16.986383722698307,7.224083152404943,0.4956180158993039,141399.50000000006,71.1338674168689,34.182702754300415,0,0,0,5710.0,82.0,50.53191489361703,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,164729.50000000006,9.819666666666716,9.85499771533882,-16.986383722698307,0.4956180158993039,141399.50000000006,71.1338674168689,34.182702754300415,1.0981966666666672,,,,,2018-06,2018-06,2018,6,1,1,1,0,0,0,stage016_L_long_triple_volume_hit_15_otherwise_10_roll_1y_2018_06,roll_1y_2018_06,1,2018-06-01,2019-05-31,1,0,L,
stage008_A_roll_1y_2019_01,A: Official C9/150k,stage008_A_roll_1y_2019_01,roll_1y_2019_01,2019-01-01 independent start to 2019-12-31,rolling_1y,2019-01-02,2019-12-31,150000.0,150000.0,0.4,244,211737.4,41.15826666666669,41.46019375085839,-21.571317026531755,9.834673022607646,1.3381936992229728,123044.80000000002,72.09253289863014,54.70796549464677,0,0,0,7840.0,103.0,50.0,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,211737.4,41.15826666666669,41.46019375085839,-21.571317026531755,1.3381936992229728,123044.80000000002,72.09253289863014,54.70796549464677,1.4115826666666669,,,,,2019-01,2019-01,2019,1,1,1,1,0,0,0,stage008_A_roll_1y_2019_01,roll_1y_2019_01,1,2019-01-01,2019-12-31,1,0,A,
stage008_C_roll_1y_2019_01,C: Official + rollover continuation,stage008_C_roll_1y_2019_01,roll_1y_2019_01,2019-01-01 independent start to 2019-12-31,rolling_1y,2019-01-02,2019-12-31,150000.0,150000.0,0.4,244,221461.3,47.64086666666667,47.9978434209124,-16.225888917544474,7.839171340661943,1.3980719500734629,132956.90000000002,70.29239277156199,51.41453346152923,0,0,0,8330.0,110.0,51.776649746192895,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,221461.3,47.64086666666667,47.9978434209124,-16.225888917544474,1.3980719500734629,132956.90000000002,70.29239277156199,51.41453346152923,1.4764086666666667,,,,,2019-01,2019-01,2019,1,1,1,1,0,0,0,stage008_C_roll_1y_2019_01,roll_1y_2019_01,1,2019-01-01,2019-12-31,1,0,C,
stage016_K_long_hit_15_otherwise_10_roll_1y_2019_01,K: C + long >2x volume x1.5 otherwise x1.0,stage016_K_long_hit_15_otherwise_10_roll_1y_2019_01,roll_1y_2019_01,2019-01-01 independent start to 2019-12-31,rolling_1y,2019-01-02,2019-12-31,150000.0,150000.0,0.4,244,223571.3,49.047533333333334,49.41669308020564,-16.225888917544474,7.835561195515982,1.4222610002743392,132956.90000000002,70.2584694524953,51.41453346152923,0,0,0,8460.0,111.0,51.26903553299492,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,223571.3,49.047533333333334,49.41669308020564,-16.225888917544474,1.4222610002743392,132956.90000000002,70.2584694524953,51.41453346152923,1.4904753333333334,,,,,2019-01,2019-01,2019,1,1,1,1,0,0,0,stage016_K_long_hit_15_otherwise_10_roll_1y_2019_01,roll_1y_2019_01,1,2019-01-01,2019-12-31,1,0,K,
stage016_L_long_triple_volume_hit_15_otherwise_10_roll_1y_2019_01,L: C + long >3x volume x1.5 otherwise x1.0,stage016_L_long_triple_volume_hit_15_otherwise_10_roll_1y_2019_01,roll_1y_2019_01,2019-01-01 independent start to 2019-12-31,rolling_1y,2019-01-02,2019-12-31,150000.0,150000.0,0.4,244,223061.3,48.70753333333335,49.073740739619765,-16.225888917544474,7.840625868887713,1.4128708315628165,132956.90000000002,70.29239277156199,51.41453346152923,0,0,0,8480.0,110.0,51.776649746192895,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,223061.3,48.70753333333335,49.073740739619765,-16.225888917544474,1.4128708315628165,132956.90000000002,70.29239277156199,51.41453346152923,1.4870753333333335,,,,,2019-01,2019-01,2019,1,1,1,1,0,0,0,stage016_L_long_triple_volume_hit_15_otherwise_10_roll_1y_2019_01,roll_1y_2019_01,1,2019-01-01,2019-12-31,1,0,L,
stage008_A_roll_1y_2019_06,A: Official C9/150k,stage008_A_roll_1y_2019_06,roll_1y_2019_06,2019-06-01 independent start to 2020-05-31,rolling_1y,2019-06-03,2020-05-29,150000.0,150000.0,0.4,242,247266.99999999997,64.84466666666664,65.81754907504398,-8.304857291081602,3.4557942561369552,2.186475917278989,140489.0,62.331151713838786,49.8527467311244,0,0,0,10130.0,103.0,54.77707006369427,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,247266.99999999997,64.84466666666664,65.81754907504398,-8.304857291081602,2.186475917278989,140489.0,62.331151713838786,49.8527467311244,1.6484466666666664,,,,,2019-06,2019-06,2019,6,1,1,1,0,0,0,stage008_A_roll_1y_2019_06,roll_1y_2019_06,1,2019-06-01,2020-05-31,1,0,A,
stage008_C_roll_1y_2019_06,C: Official + rollover continuation,stage008_C_roll_1y_2019_06,roll_1y_2019_06,2019-06-01 independent start to 2020-05-31,rolling_1y,2019-06-03,2020-05-29,150000.0,150000.0,0.4,242,232477.0,54.98466666666666,55.78619675233991,-11.413532754878297,4.517164127361114,1.845484058904438,140489.0,58.7124539054643,49.67091009446739,0,0,0,9410.0,106.0,55.61224489795919,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,232477.0,54.98466666666666,55.78619675233991,-11.413532754878297,1.845484058904438,140489.0,58.7124539054643,49.67091009446739,1.5498466666666666,,,,,2019-06,2019-06,2019,6,1,1,1,0,0,0,stage008_C_roll_1y_2019_06,roll_1y_2019_06,1,2019-06-01,2020-05-31,1,0,C,
stage016_K_long_hit_15_otherwise_10_roll_1y_2019_06,K: C + long >2x volume x1.5 otherwise x1.0,stage016_K_long_hit_15_otherwise_10_roll_1y_2019_06,roll_1y_2019_06,2019-06-01 independent start to 2020-05-31,rolling_1y,2019-06-03,2020-05-29,150000.0,150000.0,0.4,242,238662.0,59.108,59.98030011165119,-11.413532754878297,4.797545723538158,1.8428833250225445,140489.0,60.24953168399975,49.64181216180799,0,0,0,9550.0,106.0,54.08163265306123,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,238662.0,59.108,59.98030011165119,-11.413532754878297,1.8428833250225445,140489.0,60.24953168399975,49.64181216180799,1.59108,,,,,2019-06,2019-06,2019,6,1,1,1,0,0,0,stage016_K_long_hit_15_otherwise_10_roll_1y_2019_06,roll_1y_2019_06,1,2019-06-01,2020-05-31,1,0,K,
stage016_L_long_triple_volume_hit_15_otherwise_10_roll_1y_2019_06,L: C + long >3x volume x1.5 otherwise x1.0,stage016_L_long_triple_volume_hit_15_otherwise_10_roll_1y_2019_06,roll_1y_2019_06,2019-06-01 independent start to 2020-05-31,rolling_1y,2019-06-03,2020-05-29,150000.0,150000.0,0.4,242,238832.0,59.22133333333333,60.09559684321128,-11.413532754878297,4.803244621560899,1.845257566961287,140489.0,58.73453273448179,49.67091009446739,0,0,0,9550.0,105.0,54.59183673469388,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,238832.0,59.22133333333333,60.09559684321128,-11.413532754878297,1.845257566961287,140489.0,58.73453273448179,49.67091009446739,1.5922133333333333,,,,,2019-06,2019-06,2019,6,1,1,1,0,0,0,stage016_L_long_triple_volume_hit_15_otherwise_10_roll_1y_2019_06,roll_1y_2019_06,1,2019-06-01,2020-05-31,1,0,L,
