trade_id,order_id,datetime,date,time,vt_symbol,symbol,exchange,direction,offset,price,volume,signed_volume,gateway_name,exit_reason,profile,start_month,variant,account_capital,c3_capital
BACKTESTING.1,BACKTESTING.1,2018-01-15 00:00:00+08:00,2018-01-15,00:00:00,au1806.SHFE,au1806,SHFE,Long,Open,281.7,1.0,1.0,BACKTESTING,,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0
BACKTESTING.2,BACKTESTING.2,2018-01-16 00:00:00+08:00,2018-01-16,00:00:00,rb1805.SHFE,rb1805,SHFE,Short,Open,3803.0,9.0,-9.0,BACKTESTING,,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0
BACKTESTING.3,BACKTESTING.2.stage847_c9.1,2018-01-16 09:03:00+08:00,2018-01-16,09:03:00,rb1805.SHFE,rb1805,SHFE,Long,Close,3807.0,9.0,9.0,BACKTESTING,stage847_intraday_retry_failed_05r_stop,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0
BACKTESTING.4,BACKTESTING.2.stage847_c9.2,2018-01-16 14:27:00+08:00,2018-01-16,14:27:00,rb1805.SHFE,rb1805,SHFE,Short,Open,3803.0,9.0,-9.0,BACKTESTING,,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0
BACKTESTING.5,BACKTESTING.2.stage847_c9.3,2018-01-16 22:22:00+08:00,2018-01-16,22:22:00,rb1805.SHFE,rb1805,SHFE,Long,Close,3807.0,9.0,9.0,BACKTESTING,,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0
BACKTESTING.6,BACKTESTING.3,2018-01-19 00:00:00+08:00,2018-01-19,00:00:00,au1806.SHFE,au1806,SHFE,Short,Close,278.8,1.0,-1.0,BACKTESTING,long_prev2day_stop,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0
BACKTESTING.7,BACKTESTING.4,2018-01-30 00:00:00+08:00,2018-01-30,00:00:00,rb1805.SHFE,rb1805,SHFE,Long,Open,3938.0,9.0,9.0,BACKTESTING,,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0
BACKTESTING.8,BACKTESTING.4.stage847_c9.1,2018-01-30 09:08:00+08:00,2018-01-30,09:08:00,rb1805.SHFE,rb1805,SHFE,Short,Close,3930.5,9.0,-9.0,BACKTESTING,stage847_intraday_retry_failed_05r_stop,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0
BACKTESTING.9,BACKTESTING.4.stage847_c9.2,2018-01-30 21:01:00+08:00,2018-01-30,21:01:00,rb1805.SHFE,rb1805,SHFE,Long,Open,3938.0,9.0,9.0,BACKTESTING,,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0
BACKTESTING.10,BACKTESTING.4.stage847_c9.3,2018-01-30 22:46:00+08:00,2018-01-30,22:46:00,rb1805.SHFE,rb1805,SHFE,Short,Close,3930.5,9.0,-9.0,BACKTESTING,,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0
BACKTESTING.11,BACKTESTING.5,2018-02-01 00:00:00+08:00,2018-02-01,00:00:00,hc1805.SHFE,hc1805,SHFE,Long,Open,3940.0,9.0,9.0,BACKTESTING,,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0
BACKTESTING.12,BACKTESTING.6,2018-02-05 00:00:00+08:00,2018-02-05,00:00:00,OI805.CZCE,OI805,CZCE,Short,Open,6340.0,4.0,-4.0,BACKTESTING,,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0
BACKTESTING.13,BACKTESTING.7,2018-02-12 00:00:00+08:00,2018-02-12,00:00:00,hc1805.SHFE,hc1805,SHFE,Short,Close,3957.0,9.0,-9.0,BACKTESTING,long_prev2day_stop,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0
BACKTESTING.14,BACKTESTING.8,2018-02-26 00:00:00+08:00,2018-02-26,00:00:00,OI805.CZCE,OI805,CZCE,Long,Close,6348.0,4.0,4.0,BACKTESTING,short_prev2day_stop,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0
BACKTESTING.15,BACKTESTING.9,2018-02-28 00:00:00+08:00,2018-02-28,00:00:00,hc1805.SHFE,hc1805,SHFE,Long,Open,4089.0,8.0,8.0,BACKTESTING,,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0
BACKTESTING.16,BACKTESTING.10,2018-03-01 00:00:00+08:00,2018-03-01,00:00:00,rb1805.SHFE,rb1805,SHFE,Long,Open,4017.0,3.0,3.0,BACKTESTING,,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0
BACKTESTING.17,BACKTESTING.11,2018-03-02 00:00:00+08:00,2018-03-02,00:00:00,au1806.SHFE,au1806,SHFE,Short,Open,270.95,1.0,-1.0,BACKTESTING,,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0
BACKTESTING.18,BACKTESTING.11.stage847_c9.1,2018-03-02 00:46:00+08:00,2018-03-02,00:46:00,au1806.SHFE,au1806,SHFE,Long,Close,271.85,1.0,1.0,BACKTESTING,stage847_intraday_retry_failed_05r_stop,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0
BACKTESTING.19,BACKTESTING.11.stage847_c9.2,2018-03-02 02:29:00+08:00,2018-03-02,02:29:00,au1806.SHFE,au1806,SHFE,Short,Open,270.95,1.0,-1.0,BACKTESTING,,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0
BACKTESTING.20,BACKTESTING.11.stage847_c9.3,2018-03-02 09:00:00+08:00,2018-03-02,09:00:00,au1806.SHFE,au1806,SHFE,Long,Close,271.85,1.0,1.0,BACKTESTING,,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0
BACKTESTING.21,BACKTESTING.12,2018-03-06 00:00:00+08:00,2018-03-06,00:00:00,hc1805.SHFE,hc1805,SHFE,Short,Close,4046.0,8.0,-8.0,BACKTESTING,long_prev2day_stop,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0
BACKTESTING.22,BACKTESTING.13,2018-03-06 00:00:00+08:00,2018-03-06,00:00:00,rb1805.SHFE,rb1805,SHFE,Short,Close,3948.0,3.0,-3.0,BACKTESTING,long_prev2day_stop,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0
BACKTESTING.23,BACKTESTING.14,2018-03-29 00:00:00+08:00,2018-03-29,00:00:00,AP805.CZCE,AP805,CZCE,Long,Open,7336.0,4.0,4.0,BACKTESTING,,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0
BACKTESTING.24,BACKTESTING.14.stage847_c9.1,2018-03-29 09:09:00+08:00,2018-03-29,09:09:00,AP805.CZCE,AP805,CZCE,Short,Close,7294.5,4.0,-4.0,BACKTESTING,stage847_intraday_05r_stop_no_reentry,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0
BACKTESTING.25,BACKTESTING.15,2018-04-19 00:00:00+08:00,2018-04-19,00:00:00,au1806.SHFE,au1806,SHFE,Long,Open,275.6,1.0,1.0,BACKTESTING,,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0
BACKTESTING.26,BACKTESTING.15.stage847_c9.1,2018-04-19 22:46:00+08:00,2018-04-19,22:46:00,au1806.SHFE,au1806,SHFE,Short,Close,274.32500000000005,1.0,-1.0,BACKTESTING,stage847_intraday_05r_stop_no_reentry,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0
BACKTESTING.27,BACKTESTING.16,2018-06-11 00:00:00+08:00,2018-06-11,00:00:00,jm1809.DCE,jm1809,DCE,Long,Open,1255.0,2.0,2.0,BACKTESTING,,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0
