comparison,left_arm,right_arm,left_end_equity,right_end_equity,left_return_pct,right_return_pct,delta_return_pct,left_max_dd_pct,right_max_dd_pct,dd_worsening_pp,left_sharpe,right_sharpe,delta_sharpe,left_slippage,right_slippage,left_trades,right_trades,left_win_rate_pct,right_win_rate_pct,left_survival_pass,right_survival_pass,left_broker100_pass,right_broker100_pass,left_broker10_peak_pct,right_broker10_peak_pct,left_days_over_100pct,right_days_over_100pct
A_vs_C,A,C,13071214.100000007,13338365.80000001,8614.14273333334,8792.243866666673,178.10113333333356,-56.206935956180295,-56.98762835543509,0.7806923992547965,1.362230340211364,1.3626692370353988,0.0004388968240347513,1525590.0,1517200.0,808,825,52.58408531583265,52.68115942028986,1,1,1,0,91.49497007579949,100.4111866942261,0,1
A_vs_H,A,H,13071214.100000007,15553660.10000001,8614.14273333334,10269.10673333334,1654.964,-56.206935956180295,-60.34695698819308,4.140021032012783,1.362230340211364,1.4101681682072271,0.0479378279958631,1525590.0,1701240.0,808,823,52.58408531583265,52.23116313094367,1,1,1,1,91.49497007579949,95.2240484272014,0,0
C_vs_H,C,H,13338365.80000001,15553660.10000001,8792.243866666673,10269.10673333334,1476.8628666666664,-56.98762835543509,-60.34695698819308,3.359328632757986,1.3626692370353988,1.4101681682072271,0.04749893117182835,1517200.0,1701240.0,825,823,52.68115942028986,52.23116313094367,1,1,0,1,100.4111866942261,95.2240484272014,1,0
A_vs_J,A,J,13071214.100000007,6948829.100000002,8614.14273333334,4532.552733333335,-4081.5900000000047,-56.206935956180295,-46.170953302845255,0.0,1.362230340211364,1.3129766963833225,-0.04925364382804154,1525590.0,734090.0,808,796,52.58408531583265,52.18637992831541,1,1,1,1,91.49497007579949,82.37958076350571,0,0
C_vs_J,C,J,13338365.80000001,6948829.100000002,8792.243866666673,4532.552733333335,-4259.691133333338,-56.98762835543509,-46.170953302845255,0.0,1.3626692370353988,1.3129766963833225,-0.04969254065207629,1517200.0,734090.0,825,796,52.68115942028986,52.18637992831541,1,1,0,1,100.4111866942261,82.37958076350571,1,0
H_vs_J,H,J,15553660.10000001,6948829.100000002,10269.10673333334,4532.552733333335,-5736.554000000005,-60.34695698819308,-46.170953302845255,0.0,1.4101681682072271,1.3129766963833225,-0.09719147182390464,1701240.0,734090.0,823,796,52.23116313094367,52.18637992831541,1,1,1,1,95.2240484272014,82.37958076350571,0,0
A_vs_K,A,K,13071214.100000007,13164443.800000004,8614.14273333334,8676.29586666667,62.153133333329606,-56.206935956180295,-60.5299390064594,4.323003050279105,1.362230340211364,1.3628866850369792,0.0006563448256151627,1525590.0,1665810.0,808,825,52.58408531583265,52.15171407731582,1,1,1,1,91.49497007579949,98.35899811766981,0,0
C_vs_K,C,K,13338365.80000001,13164443.800000004,8792.243866666673,8676.29586666667,-115.94800000000396,-56.98762835543509,-60.5299390064594,3.5423106510243088,1.3626692370353988,1.3628866850369792,0.00021744800158041144,1517200.0,1665810.0,825,825,52.68115942028986,52.15171407731582,1,1,0,1,100.4111866942261,98.35899811766981,1,0
H_vs_K,H,K,15553660.10000001,13164443.800000004,10269.10673333334,8676.29586666667,-1592.8108666666703,-60.34695698819308,-60.5299390064594,0.18298201826632265,1.4101681682072271,1.3628866850369792,-0.04728148317024794,1701240.0,1665810.0,823,825,52.23116313094367,52.15171407731582,1,1,1,1,95.2240484272014,98.35899811766981,0,0
J_vs_K,J,K,6948829.100000002,13164443.800000004,4532.552733333335,8676.29586666667,4143.743133333334,-46.170953302845255,-60.5299390064594,14.358985703614145,1.3129766963833225,1.3628866850369792,0.0499099886536567,734090.0,1665810.0,796,825,52.18637992831541,52.15171407731582,1,1,1,1,82.37958076350571,98.35899811766981,0,0
