date,variant,label,window_name,window_label,window_group,account_capital,account_equity,nav,drawdown_pct,broker10_margin_to_equity_pct,net_pnl,trade_count,total_slippage,source_name,rebased_equity,rebased_nav,broker10_margin_to_rebased_equity_pct,profile,oi_mode,am_label,declared_am_size,requested_start_month,start_month,arm,experiment_arm,window_id,duration_years,requested_start,requested_end,complete_window,terminal_near_complete,promotion_arm,start_year,start_month_num
2020-12-03 00:00:00,stage059_C_roll_1y_2020_01,C: Stage056 Top14+fu（15品种）,roll_1y_2020_01,2020-01-01 independent start to 2020-12-31,rolling_1y,150000.0,314653.60000000003,2.097690666666667,-3.7355031272983563,60.50493622192785,-12210.0,0,0.0,stage772_am40_80_120_oi_monthly,314653.60000000003,2.097690666666667,60.50493622192785,stage059_C_roll_1y_2020_01,,,,2020-01,2020-01,stage059_C_roll_1y_2020_01,C,roll_1y_2020_01,1,2020-01-01,2020-12-31,1,0,C,2020,1
2020-12-04 00:00:00,stage059_C_roll_1y_2020_01,C: Stage056 Top14+fu（15品种）,roll_1y_2020_01,2020-01-01 independent start to 2020-12-31,rolling_1y,150000.0,329833.60000000003,2.1988906666666668,0.0,57.81155103664394,15180.0,0,0.0,stage772_am40_80_120_oi_monthly,329833.60000000003,2.1988906666666668,57.81155103664394,stage059_C_roll_1y_2020_01,,,,2020-01,2020-01,stage059_C_roll_1y_2020_01,C,roll_1y_2020_01,1,2020-01-01,2020-12-31,1,0,C,2020,1
2020-12-07 00:00:00,stage059_C_roll_1y_2020_01,C: Stage056 Top14+fu（15品种）,roll_1y_2020_01,2020-01-01 independent start to 2020-12-31,rolling_1y,150000.0,328143.60000000003,2.187624,-0.5123795756405647,52.20487615787722,-1690.0,1,50.0,stage772_am40_80_120_oi_monthly,328143.60000000003,2.187624,52.20487615787722,stage059_C_roll_1y_2020_01,,,,2020-01,2020-01,stage059_C_roll_1y_2020_01,C,roll_1y_2020_01,1,2020-01-01,2020-12-31,1,0,C,2020,1
2020-12-08 00:00:00,stage059_C_roll_1y_2020_01,C: Stage056 Top14+fu（15品种）,roll_1y_2020_01,2020-01-01 independent start to 2020-12-31,rolling_1y,150000.0,330033.60000000003,2.2002240000000004,0.0,51.391967363323,1890.0,0,0.0,stage772_am40_80_120_oi_monthly,330033.60000000003,2.2002240000000004,51.391967363323,stage059_C_roll_1y_2020_01,,,,2020-01,2020-01,stage059_C_roll_1y_2020_01,C,roll_1y_2020_01,1,2020-01-01,2020-12-31,1,0,C,2020,1
2020-12-09 00:00:00,stage059_C_roll_1y_2020_01,C: Stage056 Top14+fu（15品种）,roll_1y_2020_01,2020-01-01 independent start to 2020-12-31,rolling_1y,150000.0,350313.60000000003,2.335424,0.0,48.39724178564577,20280.0,0,0.0,stage772_am40_80_120_oi_monthly,350313.60000000003,2.335424,48.39724178564577,stage059_C_roll_1y_2020_01,,,,2020-01,2020-01,stage059_C_roll_1y_2020_01,C,roll_1y_2020_01,1,2020-01-01,2020-12-31,1,0,C,2020,1
2020-12-10 00:00:00,stage059_C_roll_1y_2020_01,C: Stage056 Top14+fu（15品种）,roll_1y_2020_01,2020-01-01 independent start to 2020-12-31,rolling_1y,150000.0,357093.60000000003,2.380624,0.0,32.95919053155811,6780.0,1,120.0,stage772_am40_80_120_oi_monthly,357093.60000000003,2.380624,32.95919053155811,stage059_C_roll_1y_2020_01,,,,2020-01,2020-01,stage059_C_roll_1y_2020_01,C,roll_1y_2020_01,1,2020-01-01,2020-12-31,1,0,C,2020,1
2020-12-11 00:00:00,stage059_C_roll_1y_2020_01,C: Stage056 Top14+fu（15品种）,roll_1y_2020_01,2020-01-01 independent start to 2020-12-31,rolling_1y,150000.0,343383.60000000003,2.2892240000000004,-3.839329520327439,33.81191180941664,-13710.0,0,0.0,stage772_am40_80_120_oi_monthly,343383.60000000003,2.2892240000000004,33.81191180941664,stage059_C_roll_1y_2020_01,,,,2020-01,2020-01,stage059_C_roll_1y_2020_01,C,roll_1y_2020_01,1,2020-01-01,2020-12-31,1,0,C,2020,1
2020-12-14 00:00:00,stage059_C_roll_1y_2020_01,C: Stage056 Top14+fu（15品种）,roll_1y_2020_01,2020-01-01 independent start to 2020-12-31,rolling_1y,150000.0,334971.60000000003,2.2331440000000002,-6.195014416388311,22.86473241313592,-8411.999999999989,3,360.0,stage772_am40_80_120_oi_monthly,334971.60000000003,2.2331440000000002,22.86473241313592,stage059_C_roll_1y_2020_01,,,,2020-01,2020-01,stage059_C_roll_1y_2020_01,C,roll_1y_2020_01,1,2020-01-01,2020-12-31,1,0,C,2020,1
2020-12-15 00:00:00,stage059_C_roll_1y_2020_01,C: Stage056 Top14+fu（15品种）,roll_1y_2020_01,2020-01-01 independent start to 2020-12-31,rolling_1y,150000.0,330121.60000000003,2.200810666666667,-7.553201737583648,52.8837131529715,-4850.0,1,250.0,stage772_am40_80_120_oi_monthly,330121.60000000003,2.200810666666667,52.8837131529715,stage059_C_roll_1y_2020_01,,,,2020-01,2020-01,stage059_C_roll_1y_2020_01,C,roll_1y_2020_01,1,2020-01-01,2020-12-31,1,0,C,2020,1
2020-12-16 00:00:00,stage059_C_roll_1y_2020_01,C: Stage056 Top14+fu（15品种）,roll_1y_2020_01,2020-01-01 independent start to 2020-12-31,rolling_1y,150000.0,326901.60000000003,2.1793440000000004,-8.454926103408178,29.910835554185113,-3220.0,1,90.0,stage772_am40_80_120_oi_monthly,326901.60000000003,2.1793440000000004,29.910835554185113,stage059_C_roll_1y_2020_01,,,,2020-01,2020-01,stage059_C_roll_1y_2020_01,C,roll_1y_2020_01,1,2020-01-01,2020-12-31,1,0,C,2020,1
2020-12-17 00:00:00,stage059_C_roll_1y_2020_01,C: Stage056 Top14+fu（15品种）,roll_1y_2020_01,2020-01-01 independent start to 2020-12-31,rolling_1y,150000.0,322911.60000000003,2.152744,-9.572280208886408,30.341740587826514,-3990.0,2,360.0,stage772_am40_80_120_oi_monthly,322911.60000000003,2.152744,30.341740587826514,stage059_C_roll_1y_2020_01,,,,2020-01,2020-01,stage059_C_roll_1y_2020_01,C,roll_1y_2020_01,1,2020-01-01,2020-12-31,1,0,C,2020,1
2020-12-18 00:00:00,stage059_C_roll_1y_2020_01,C: Stage056 Top14+fu（15品种）,roll_1y_2020_01,2020-01-01 independent start to 2020-12-31,rolling_1y,150000.0,327411.60000000003,2.182744,-8.31210640571548,30.106141627236177,4500.0,0,0.0,stage772_am40_80_120_oi_monthly,327411.60000000003,2.182744,30.106141627236177,stage059_C_roll_1y_2020_01,,,,2020-01,2020-01,stage059_C_roll_1y_2020_01,C,roll_1y_2020_01,1,2020-01-01,2020-12-31,1,0,C,2020,1
