date,variant,label,window_name,window_label,window_group,account_capital,account_equity,nav,drawdown_pct,broker10_margin_to_equity_pct,net_pnl,trade_count,total_slippage,source_name,rebased_equity,rebased_nav,broker10_margin_to_rebased_equity_pct,profile,oi_mode,am_label,declared_am_size,requested_start_month,start_month,arm,window_id,duration_years,requested_start,requested_end,complete_window,terminal_near_complete,promotion_arm,start_year,start_month_num,experiment_arm
2025-02-17,stage008_C_full_2018_2026,C: Official + rollover continuation,full_2018_2026,2018-01-01 independent start to 2026-05-29,full_period,150000.0,7326501.400000004,48.84334266666669,-16.63442454961148,0.0,47300.0,1,4730.0,stage772_am40_80_120_oi_monthly,7326501.400000004,48.84334266666669,0.0,stage008_C_full_2018_2026,,,,2018-01,2018-01,stage008_C_full_2018_2026,full_2018_2026,0.0,2018-01-01,2026-05-29,1.0,0.0,C,2018.0,1.0,C
2025-02-18,stage008_C_full_2018_2026,C: Official + rollover continuation,full_2018_2026,2018-01-01 independent start to 2026-05-29,full_period,150000.0,7326501.400000004,48.84334266666669,-16.63442454961148,0.0,0.0,0,0.0,stage772_am40_80_120_oi_monthly,7326501.400000004,48.84334266666669,0.0,stage008_C_full_2018_2026,,,,2018-01,2018-01,stage008_C_full_2018_2026,full_2018_2026,0.0,2018-01-01,2026-05-29,1.0,0.0,C,2018.0,1.0,C
2025-02-19,stage008_C_full_2018_2026,C: Official + rollover continuation,full_2018_2026,2018-01-01 independent start to 2026-05-29,full_period,150000.0,7267251.400000004,48.4483426666667,-17.30860859404987,25.51306261401662,-59250.0,1,3950.0,stage772_am40_80_120_oi_monthly,7267251.400000004,48.4483426666667,25.51306261401662,stage008_C_full_2018_2026,,,,2018-01,2018-01,stage008_C_full_2018_2026,full_2018_2026,0.0,2018-01-01,2026-05-29,1.0,0.0,C,2018.0,1.0,C
2025-02-20,stage008_C_full_2018_2026,C: Official + rollover continuation,full_2018_2026,2018-01-01 independent start to 2026-05-29,full_period,150000.0,7401551.400000004,49.34367600000003,-15.780458093322858,25.28964400625522,134300.0,0,0.0,stage772_am40_80_120_oi_monthly,7401551.400000004,49.34367600000003,25.28964400625522,stage008_C_full_2018_2026,,,,2018-01,2018-01,stage008_C_full_2018_2026,full_2018_2026,0.0,2018-01-01,2026-05-29,1.0,0.0,C,2018.0,1.0,C
2025-02-21,stage008_C_full_2018_2026,C: Official + rollover continuation,full_2018_2026,2018-01-01 independent start to 2026-05-29,full_period,150000.0,7318601.400000004,48.790676000000026,-16.7243157555366,25.42666963663302,-82950.0,0,0.0,stage772_am40_80_120_oi_monthly,7318601.400000004,48.790676000000026,25.42666963663302,stage008_C_full_2018_2026,,,,2018-01,2018-01,stage008_C_full_2018_2026,full_2018_2026,0.0,2018-01-01,2026-05-29,1.0,0.0,C,2018.0,1.0,C
2025-02-24,stage008_C_full_2018_2026,C: Official + rollover continuation,full_2018_2026,2018-01-01 independent start to 2026-05-29,full_period,150000.0,7185121.400000004,47.90080933333336,-18.24313577666127,50.9434782827747,-133480.0,1,1860.0,stage772_am40_80_120_oi_monthly,7185121.400000004,47.90080933333336,50.9434782827747,stage008_C_full_2018_2026,,,,2018-01,2018-01,stage008_C_full_2018_2026,full_2018_2026,0.0,2018-01-01,2026-05-29,1.0,0.0,C,2018.0,1.0,C
2025-02-25,stage008_C_full_2018_2026,C: Official + rollover continuation,full_2018_2026,2018-01-01 independent start to 2026-05-29,full_period,150000.0,6688391.400000004,44.58927600000003,-23.895244475292166,53.74659144499226,-496730.0,0,0.0,stage772_am40_80_120_oi_monthly,6688391.400000004,44.58927600000003,53.74659144499226,stage008_C_full_2018_2026,,,,2018-01,2018-01,stage008_C_full_2018_2026,full_2018_2026,0.0,2018-01-01,2026-05-29,1.0,0.0,C,2018.0,1.0,C
2025-02-26,stage008_C_full_2018_2026,C: Official + rollover continuation,full_2018_2026,2018-01-01 independent start to 2026-05-29,full_period,150000.0,6616331.400000004,44.10887600000003,-24.715188816933175,0.0,-72060.0,2,5810.0,stage772_am40_80_120_oi_monthly,6616331.400000004,44.10887600000003,0.0,stage008_C_full_2018_2026,,,,2018-01,2018-01,stage008_C_full_2018_2026,full_2018_2026,0.0,2018-01-01,2026-05-29,1.0,0.0,C,2018.0,1.0,C
2025-02-27,stage008_C_full_2018_2026,C: Official + rollover continuation,full_2018_2026,2018-01-01 independent start to 2026-05-29,full_period,150000.0,6616331.400000004,44.10887600000003,-24.715188816933175,0.0,0.0,0,0.0,stage772_am40_80_120_oi_monthly,6616331.400000004,44.10887600000003,0.0,stage008_C_full_2018_2026,,,,2018-01,2018-01,stage008_C_full_2018_2026,full_2018_2026,0.0,2018-01-01,2026-05-29,1.0,0.0,C,2018.0,1.0,C
2025-02-28,stage008_C_full_2018_2026,C: Official + rollover continuation,full_2018_2026,2018-01-01 independent start to 2026-05-29,full_period,150000.0,6616331.400000004,44.10887600000003,-24.715188816933175,0.0,0.0,0,0.0,stage772_am40_80_120_oi_monthly,6616331.400000004,44.10887600000003,0.0,stage008_C_full_2018_2026,,,,2018-01,2018-01,stage008_C_full_2018_2026,full_2018_2026,0.0,2018-01-01,2026-05-29,1.0,0.0,C,2018.0,1.0,C
