diagnostic_index,datetime,date,contract_vt_symbol,product_vt_symbol,direction,entry_context,long_signal_atr_shock_enabled,short_signal_atr_shock_enabled,long_signal_atr_shock_period,long_signal_atr_shock_multiplier,long_signal_atr_shock_entry_context,long_signal_atr_shock_direction,long_signal_atr_shock_prior_close,long_signal_atr_shock_signal_close,long_signal_atr_shock_drop,short_signal_atr_shock_rise,signal_atr_shock_adverse_move,signal_atr_shock_move_kind,long_signal_atr_shock_atr,long_signal_atr_shock_threshold,long_signal_atr_shock_blocked,long_signal_atr_shock_reason,long_signal_atr_shock_selected_volume_before,long_signal_atr_shock_selected_volume_after,profile,start_month,variant,account_capital,c3_capital
1,2018-01-12 00:00:00+08:00,2018-01-12,au1806.SHFE,au.SHFE,long,flat_entry,1,1,5,1.0,flat_entry,long,280.85,281.55,-0.6999999999999886,,-0.6999999999999886,signal_day_drop,1.5700000000000158,1.5700000000000158,0,drop_not_above_threshold,1,1,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0
2,2018-01-15 00:00:00+08:00,2018-01-15,rb1805.SHFE,rb.SHFE,short,flat_entry,1,1,5,1.0,flat_entry,short,3790.0,3802.0,,12.0,12.0,signal_day_rise,63.8,63.8,0,rise_not_above_threshold,9,9,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0
3,2018-01-29 00:00:00+08:00,2018-01-29,rb1805.SHFE,rb.SHFE,long,flat_entry,1,1,5,1.0,flat_entry,long,3945.0,3945.0,0.0,,0.0,signal_day_drop,61.4,61.4,0,drop_not_above_threshold,9,9,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0
4,2018-01-31 00:00:00+08:00,2018-01-31,hc1805.SHFE,hc.SHFE,long,flat_entry,1,1,5,1.0,flat_entry,long,3939.0,3934.0,5.0,,5.0,signal_day_drop,58.8,58.8,0,drop_not_above_threshold,9,9,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0
5,2018-02-02 00:00:00+08:00,2018-02-02,OI805.CZCE,OI.CZCE,short,flat_entry,1,1,5,1.0,flat_entry,short,6424.0,6344.0,,-80.0,-80.0,signal_day_rise,62.0,62.0,0,rise_not_above_threshold,4,4,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0
6,2018-02-09 00:00:00+08:00,2018-02-09,au1806.SHFE,au.SHFE,short,flat_entry,1,1,5,1.0,flat_entry,short,271.7,273.05,,1.3500000000000227,1.3500000000000227,signal_day_rise,2.7799999999999954,2.7799999999999954,0,rise_not_above_threshold,0,0,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0
7,2018-02-27 00:00:00+08:00,2018-02-27,hc1805.SHFE,hc.SHFE,long,flat_entry,1,1,5,1.0,flat_entry,long,4080.0,4099.0,-19.0,,-19.0,signal_day_drop,77.4,77.4,0,drop_not_above_threshold,8,8,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0
8,2018-02-28 00:00:00+08:00,2018-02-28,rb1805.SHFE,rb.SHFE,long,flat_entry,1,1,5,1.0,flat_entry,long,4035.0,4020.0,15.0,,15.0,signal_day_drop,87.0,87.0,0,drop_not_above_threshold,6,6,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0
9,2018-03-01 00:00:00+08:00,2018-03-01,au1806.SHFE,au.SHFE,short,flat_entry,1,1,5,1.0,flat_entry,short,272.05,271.7,,-0.3500000000000227,-0.3500000000000227,signal_day_rise,2.1,2.1,0,rise_not_above_threshold,1,1,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0
10,2018-03-19 00:00:00+08:00,2018-03-19,CF805.CZCE,CF.CZCE,short,flat_entry,1,1,5,1.0,flat_entry,short,14945.0,14920.0,,-25.0,-25.0,signal_day_rise,124.0,124.0,0,rise_not_above_threshold,3,3,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0
