requested_top_n,eval_date,actual_ranked_count,actual_total_count,formal_top8_preserved,fixed_fu_present,member_signature
10,2023-03-31,10,11,True,True,"MA.CZCE,OI.CZCE,SA.CZCE,SH.CZCE,SM.CZCE,cu.SHFE,fu.SHFE,hc.SHFE,jm.DCE,lc.GFEX,si.GFEX"
10,2023-04-28,10,11,True,True,"FG.CZCE,MA.CZCE,SA.CZCE,SH.CZCE,SM.CZCE,cu.SHFE,fu.SHFE,hc.SHFE,jm.DCE,lc.GFEX,si.GFEX"
10,2023-05-31,10,11,True,True,"AP.CZCE,CF.CZCE,MA.CZCE,SA.CZCE,SH.CZCE,SM.CZCE,cu.SHFE,fu.SHFE,hc.SHFE,lc.GFEX,si.GFEX"
10,2023-06-30,10,11,True,True,"CF.CZCE,FG.CZCE,SA.CZCE,SH.CZCE,SM.CZCE,cu.SHFE,fu.SHFE,hc.SHFE,jm.DCE,lc.GFEX,lh.DCE"
10,2023-07-31,10,11,True,True,"AP.CZCE,FG.CZCE,MA.CZCE,OI.CZCE,SH.CZCE,SM.CZCE,cu.SHFE,fu.SHFE,lc.GFEX,lh.DCE,si.GFEX"
10,2023-08-31,10,11,True,True,"CF.CZCE,FG.CZCE,MA.CZCE,SH.CZCE,SM.CZCE,au.SHFE,cu.SHFE,fu.SHFE,hc.SHFE,lc.GFEX,lh.DCE"
10,2023-09-28,10,11,True,True,"CF.CZCE,MA.CZCE,OI.CZCE,SH.CZCE,SM.CZCE,cu.SHFE,fu.SHFE,lc.GFEX,lh.DCE,ru.SHFE,si.GFEX"
10,2023-10-31,10,11,True,True,"CF.CZCE,MA.CZCE,OI.CZCE,SH.CZCE,SM.CZCE,cu.SHFE,fu.SHFE,jm.DCE,lc.GFEX,lh.DCE,ru.SHFE"
10,2023-11-30,10,11,True,True,"OI.CZCE,SA.CZCE,SH.CZCE,SM.CZCE,cu.SHFE,fu.SHFE,jm.DCE,lc.GFEX,lh.DCE,ru.SHFE,sp.SHFE"
10,2023-12-29,10,11,True,True,"CF.CZCE,FG.CZCE,MA.CZCE,OI.CZCE,SA.CZCE,SM.CZCE,cu.SHFE,fu.SHFE,jm.DCE,lh.DCE,sp.SHFE"
10,2024-01-31,10,11,True,True,"FG.CZCE,OI.CZCE,SA.CZCE,SH.CZCE,SM.CZCE,fu.SHFE,jm.DCE,lc.GFEX,ru.SHFE,si.GFEX,sp.SHFE"
10,2024-02-29,10,11,True,True,"FG.CZCE,MA.CZCE,OI.CZCE,SH.CZCE,SM.CZCE,cu.SHFE,fu.SHFE,hc.SHFE,jm.DCE,ru.SHFE,si.GFEX"
10,2024-03-29,10,11,True,True,"FG.CZCE,MA.CZCE,OI.CZCE,SH.CZCE,SM.CZCE,cu.SHFE,fu.SHFE,jm.DCE,lc.GFEX,ru.SHFE,si.GFEX"
10,2024-04-30,10,11,True,True,"FG.CZCE,MA.CZCE,SA.CZCE,SM.CZCE,cu.SHFE,fu.SHFE,jm.DCE,lc.GFEX,lh.DCE,ru.SHFE,si.GFEX"
10,2024-05-31,10,11,True,True,"CF.CZCE,MA.CZCE,SA.CZCE,SH.CZCE,SM.CZCE,fu.SHFE,lc.GFEX,lh.DCE,ru.SHFE,si.GFEX,sp.SHFE"
10,2024-06-28,10,11,True,True,"AP.CZCE,FG.CZCE,SA.CZCE,SH.CZCE,SM.CZCE,cu.SHFE,fu.SHFE,lc.GFEX,lh.DCE,ru.SHFE,si.GFEX"
10,2024-07-31,10,11,True,True,"AP.CZCE,FG.CZCE,OI.CZCE,SA.CZCE,SH.CZCE,SM.CZCE,fu.SHFE,hc.SHFE,lh.DCE,ru.SHFE,si.GFEX"
10,2024-08-30,10,11,True,True,"AP.CZCE,FG.CZCE,SA.CZCE,SM.CZCE,au.SHFE,cu.SHFE,fu.SHFE,hc.SHFE,jm.DCE,lh.DCE,ru.SHFE"
10,2024-09-30,10,11,True,True,"AP.CZCE,CF.CZCE,MA.CZCE,SH.CZCE,au.SHFE,cu.SHFE,fu.SHFE,lh.DCE,ru.SHFE,si.GFEX,sp.SHFE"
10,2024-10-31,10,11,True,True,"CF.CZCE,MA.CZCE,SA.CZCE,cu.SHFE,fu.SHFE,hc.SHFE,lc.GFEX,lh.DCE,ru.SHFE,si.GFEX,sp.SHFE"
10,2024-11-29,10,11,True,True,"AP.CZCE,FG.CZCE,OI.CZCE,SA.CZCE,SM.CZCE,cu.SHFE,fu.SHFE,lc.GFEX,lh.DCE,si.GFEX,sp.SHFE"
10,2024-12-31,10,11,True,True,"AP.CZCE,FG.CZCE,MA.CZCE,OI.CZCE,SA.CZCE,cu.SHFE,fu.SHFE,lc.GFEX,ru.SHFE,si.GFEX,sp.SHFE"
10,2025-01-27,10,11,True,True,"AP.CZCE,MA.CZCE,OI.CZCE,SH.CZCE,au.SHFE,fu.SHFE,lc.GFEX,lh.DCE,ru.SHFE,si.GFEX,sp.SHFE"
10,2025-02-28,10,11,True,True,"AP.CZCE,CF.CZCE,MA.CZCE,SM.CZCE,au.SHFE,fu.SHFE,jm.DCE,lc.GFEX,lh.DCE,ru.SHFE,si.GFEX"
