requested_top_n,actual_ranked_count,actual_total_count,duplicate_of_top_n,end_equity,total_return_pct,max_dd_pct,sharpe,total_slippage,total_trade_count,nonzero_daily_win_rate_pct,max_broker10_margin_to_equity_pct,days_over_100pct,delta_return_vs_stage037_pp,delta_dd_vs_stage037_pp,delta_sharpe_vs_stage037,slippage_ratio_vs_stage037,gate_return_not_lower_than_stage037,gate_drawdown_worsening_le_2pp,gate_sharpe_not_lower_by_more_than_002,gate_slippage_le_105pct_of_stage037,gate_account_survival_pass,gate_broker10_days_over_100_not_worse,all_full_period_gates_pass
10,10,11,,21870488.800000016,14480.325866666677,-39.91474607744346,1.5869759009775053,2163390.0,798.0,53.734756097560975,93.58070146346671,0,3340.3654666666735,0.0,0.04815470025115176,1.3035964460352323,True,True,True,False,True,True,False
11,11,12,,20453023.000000022,13535.348666666681,-40.22141710541566,1.563372042487988,2141825.0,826.0,53.43915343915344,96.36583684973144,0,2395.3882666666777,-0.30667102797220025,0.024550841761634468,1.2906019987285748,True,True,True,False,True,True,False
12,12,13,,19876234.400000017,13150.822933333344,-39.91474607744346,1.546243276583184,2310760.0,860.0,53.47274085138163,93.58070146346671,0,2010.8625333333403,0.0,0.007422075856830412,1.3923973595331278,True,True,True,False,True,True,False
13,13,14,,19217172.200000018,12711.448133333346,-41.119314891565914,1.5274127515941283,2334015.0,891.0,53.455882352941174,108.5902739886273,1,1571.4877333333425,-1.204568814122453,-0.011408449132225273,1.4064101521190921,True,True,True,False,True,False,False
14,14,15,,19095929.800000023,12630.619866666682,-44.73401343952019,1.5000597998926757,2577090.0,920.0,53.42857142857142,111.8002646128132,2,1490.6594666666788,-4.8192673620767295,-0.03876140083367785,1.5528801395554832,True,False,False,False,True,False,False
15,15,16,,13390923.90000001,8827.282600000006,-55.24239581593973,1.3754805261100593,2013335.0,949.0,52.736318407960205,118.31306788012192,1,-2312.6777999999977,-15.32764973849627,-0.1633406746162942,1.2131776289426985,False,False,False,False,True,False,False
16,16,17,,5326217.100000006,3450.811400000004,-62.741798263113125,1.1413630535634056,1424060.0,969.0,52.028985507246375,93.65072995573965,0,-7689.148999999999,-22.827052185669665,-0.3974581471629479,0.8580975020412098,False,False,False,True,True,True,False
17,17,18,,8343598.600000003,5462.39906666667,-62.22375430459359,1.2360833692925648,1850340.0,995.0,52.74803711634547,114.28346169354388,1,-5677.561333333334,-22.30900822715013,-0.30273783143378874,1.1149615408949989,False,False,False,False,True,False,False
18,18,19,,5425082.9,3516.7219333333337,-54.36028081147434,1.113699697713747,1677020.0,1018.0,52.39774330042313,117.43618716704698,4,-7623.238466666669,-14.445534734030879,-0.42512150301260654,1.010523905504789,False,False,False,True,True,False,False
19,18,19,18,5425082.9,3516.7219333333337,-54.36028081147434,1.113699697713747,1677020.0,1018.0,52.39774330042313,117.43618716704698,4,-7623.238466666669,-14.445534734030879,-0.42512150301260654,1.010523905504789,False,False,False,True,True,False,False
