trade_id,order_id,datetime,date,time,vt_symbol,symbol,exchange,direction,offset,price,volume,signed_volume,gateway_name,exit_reason,profile,start_month,variant,account_capital,c3_capital,experiment_arm,requested_top_n,actual_ranked_count,actual_total_count
BACKTESTING.1,BACKTESTING.1,2018-01-15 00:00:00+08:00,2018-01-15,00:00:00,au1806.SHFE,au1806,SHFE,多,开,281.7,1.0,1.0,BACKTESTING,,stage061_top10_plus_fu,2018-01,stage061_top10_plus_fu,150000.0,150000.0,T10,10,10,11
BACKTESTING.2,BACKTESTING.2,2018-01-16 00:00:00+08:00,2018-01-16,00:00:00,rb1805.SHFE,rb1805,SHFE,空,开,3803.0,9.0,-9.0,BACKTESTING,,stage061_top10_plus_fu,2018-01,stage061_top10_plus_fu,150000.0,150000.0,T10,10,10,11
BACKTESTING.3,BACKTESTING.2.stage847_c9.1,2018-01-16 09:03:00+08:00,2018-01-16,09:03:00,rb1805.SHFE,rb1805,SHFE,多,平,3807.0,9.0,9.0,BACKTESTING,stage847_intraday_retry_failed_05r_stop,stage061_top10_plus_fu,2018-01,stage061_top10_plus_fu,150000.0,150000.0,T10,10,10,11
BACKTESTING.4,BACKTESTING.2.stage847_c9.2,2018-01-16 14:27:00+08:00,2018-01-16,14:27:00,rb1805.SHFE,rb1805,SHFE,空,开,3803.0,9.0,-9.0,BACKTESTING,,stage061_top10_plus_fu,2018-01,stage061_top10_plus_fu,150000.0,150000.0,T10,10,10,11
BACKTESTING.5,BACKTESTING.2.stage847_c9.3,2018-01-16 22:22:00+08:00,2018-01-16,22:22:00,rb1805.SHFE,rb1805,SHFE,多,平,3807.0,9.0,9.0,BACKTESTING,,stage061_top10_plus_fu,2018-01,stage061_top10_plus_fu,150000.0,150000.0,T10,10,10,11
BACKTESTING.6,BACKTESTING.3,2018-01-19 00:00:00+08:00,2018-01-19,00:00:00,au1806.SHFE,au1806,SHFE,空,平,278.8,1.0,-1.0,BACKTESTING,long_prev2day_stop,stage061_top10_plus_fu,2018-01,stage061_top10_plus_fu,150000.0,150000.0,T10,10,10,11
BACKTESTING.7,BACKTESTING.4,2018-02-05 00:00:00+08:00,2018-02-05,00:00:00,OI805.CZCE,OI805,CZCE,空,开,6340.0,4.0,-4.0,BACKTESTING,,stage061_top10_plus_fu,2018-01,stage061_top10_plus_fu,150000.0,150000.0,T10,10,10,11
BACKTESTING.8,BACKTESTING.5,2018-02-26 00:00:00+08:00,2018-02-26,00:00:00,OI805.CZCE,OI805,CZCE,多,平,6348.0,4.0,4.0,BACKTESTING,short_prev2day_stop,stage061_top10_plus_fu,2018-01,stage061_top10_plus_fu,150000.0,150000.0,T10,10,10,11
BACKTESTING.9,BACKTESTING.6,2018-02-28 00:00:00+08:00,2018-02-28,00:00:00,hc1805.SHFE,hc1805,SHFE,多,开,4089.0,7.0,7.0,BACKTESTING,,stage061_top10_plus_fu,2018-01,stage061_top10_plus_fu,150000.0,150000.0,T10,10,10,11
BACKTESTING.10,BACKTESTING.7,2018-03-01 00:00:00+08:00,2018-03-01,00:00:00,rb1805.SHFE,rb1805,SHFE,多,开,4017.0,3.0,3.0,BACKTESTING,,stage061_top10_plus_fu,2018-01,stage061_top10_plus_fu,150000.0,150000.0,T10,10,10,11
BACKTESTING.11,BACKTESTING.8,2018-03-02 00:00:00+08:00,2018-03-02,00:00:00,au1806.SHFE,au1806,SHFE,空,开,270.95,1.0,-1.0,BACKTESTING,,stage061_top10_plus_fu,2018-01,stage061_top10_plus_fu,150000.0,150000.0,T10,10,10,11
BACKTESTING.12,BACKTESTING.8.stage847_c9.1,2018-03-02 00:46:00+08:00,2018-03-02,00:46:00,au1806.SHFE,au1806,SHFE,多,平,271.85,1.0,1.0,BACKTESTING,stage847_intraday_retry_failed_05r_stop,stage061_top10_plus_fu,2018-01,stage061_top10_plus_fu,150000.0,150000.0,T10,10,10,11
