window_id,window_group,duration_years,requested_start,requested_end,start_month_num,complete_window,terminal_near_complete,comparison,left_arm,right_arm,left_end_equity,right_end_equity,left_return_pct,right_return_pct,delta_return_pct,left_max_dd_pct,right_max_dd_pct,dd_worsening_pp,left_sharpe,right_sharpe,delta_sharpe,left_slippage,right_slippage,slippage_ratio,left_trades,right_trades,left_win_rate_pct,right_win_rate_pct,left_survival_pass,right_survival_pass,left_broker100_pass,right_broker100_pass,left_broker10_peak_pct,right_broker10_peak_pct,left_days_over_100pct,right_days_over_100pct,return_win,left_positive,right_positive,dd_noninferior_2pp,sharpe_noninferior_005,left_dd50_fail,right_dd50_fail
full_2018_20260828,full_period,0,2018-01-01,2026-08-28,1,1,0,A_vs_B,A,B,16859940.60000001,16871625.400000013,11139.960400000004,11147.750266666677,7.789866666673333,-39.91474607744346,-39.91474607744346,0.0,1.5388212007263535,1.517585618225372,-0.021235582500981565,1659555.0,1762115.0,1.0617996993169856,734,766,53.23101777059773,53.36500395882818,1,1,1,1,93.58070146346672,93.58070146346672,0,0,1,1,1,1,1,0,0
full_2018_20260828,full_period,0,2018-01-01,2026-08-28,1,1,0,A_vs_C,A,C,16859940.60000001,21870488.800000016,11139.960400000004,14480.325866666675,3340.3654666666716,-39.91474607744346,-39.91474607744346,0.0,1.5388212007263535,1.5869759009775053,0.04815470025115176,1659555.0,2163390.0,1.3035964460352323,734,798,53.23101777059773,53.734756097560975,1,1,1,1,93.58070146346672,93.58070146346672,0,0,1,1,1,1,1,0,0
full_2018_20260828,full_period,0,2018-01-01,2026-08-28,1,1,0,B_vs_C,B,C,16871625.400000013,21870488.800000016,11147.750266666677,14480.325866666675,3332.5755999999983,-39.91474607744346,-39.91474607744346,0.0,1.517585618225372,1.5869759009775053,0.06939028275213333,1762115.0,2163390.0,1.2277235027225806,766,798,53.36500395882818,53.734756097560975,1,1,1,1,93.58070146346672,93.58070146346672,0,0,1,1,1,1,1,0,0
roll_1y_2018_01,rolling_1y,1,2018-01-01,2018-12-31,1,1,0,A_vs_B,A,B,148315.40000000002,148315.40000000002,-1.12306666666665,-1.12306666666665,0.0,-11.7641189383357,-11.764118938335699,0.0,0.0008264462576202,0.0008264462576202984,9.833713704443525e-17,2420.0,2420.0,1.0,44,44,43.05555555555556,43.05555555555556,1,1,1,1,44.93479301676245,44.93479301676245,0,0,1,0,0,1,1,0,0
roll_1y_2018_01,rolling_1y,1,2018-01-01,2018-12-31,1,1,0,A_vs_C,A,C,148315.40000000002,148315.40000000002,-1.12306666666665,-1.12306666666665,0.0,-11.7641189383357,-11.764118938335699,0.0,0.0008264462576202,0.0008264462576202984,9.833713704443525e-17,2420.0,2420.0,1.0,44,44,43.05555555555556,43.05555555555556,1,1,1,1,44.93479301676245,44.93479301676245,0,0,1,0,0,1,1,0,0
roll_1y_2018_01,rolling_1y,1,2018-01-01,2018-12-31,1,1,0,B_vs_C,B,C,148315.40000000002,148315.40000000002,-1.12306666666665,-1.12306666666665,0.0,-11.764118938335699,-11.764118938335699,0.0,0.0008264462576202984,0.0008264462576202984,0.0,2420.0,2420.0,1.0,44,44,43.05555555555556,43.05555555555556,1,1,1,1,44.93479301676245,44.93479301676245,0,0,1,0,0,1,1,0,0
roll_1y_2018_06,rolling_1y,1,2018-06-01,2019-05-31,6,1,0,A_vs_B,A,B,149012.00000000006,149012.00000000006,-0.6586666666666297,-0.6586666666666297,0.0,-13.684196958129904,-13.684196958129903,0.0,0.0713011053422187,0.07130110534221878,8.326672684688674e-17,4310.0,4310.0,1.0,62,62,46.590909090909086,46.590909090909086,1,1,1,1,61.44244219067447,61.44244219067447,0,0,1,0,0,1,1,0,0
roll_1y_2018_06,rolling_1y,1,2018-06-01,2019-05-31,6,1,0,A_vs_C,A,C,149012.00000000006,149012.00000000006,-0.6586666666666297,-0.6586666666666297,0.0,-13.684196958129904,-13.684196958129903,0.0,0.0713011053422187,0.07130110534221878,8.326672684688674e-17,4310.0,4310.0,1.0,62,62,46.590909090909086,46.590909090909086,1,1,1,1,61.44244219067447,61.44244219067447,0,0,1,0,0,1,1,0,0
roll_1y_2018_06,rolling_1y,1,2018-06-01,2019-05-31,6,1,0,B_vs_C,B,C,149012.00000000006,149012.00000000006,-0.6586666666666297,-0.6586666666666297,0.0,-13.684196958129903,-13.684196958129903,0.0,0.07130110534221878,0.07130110534221878,0.0,4310.0,4310.0,1.0,62,62,46.590909090909086,46.590909090909086,1,1,1,1,61.44244219067447,61.44244219067447,0,0,1,0,0,1,1,0,0
roll_1y_2019_01,rolling_1y,1,2019-01-01,2019-12-31,1,1,0,A_vs_B,A,B,210937.10000000003,210937.10000000003,40.62473333333336,40.62473333333336,0.0,-18.865747749183328,-18.865747749183328,0.0,1.4010629950169278,1.4010629950169278,0.0,7580.0,7580.0,1.0,86,86,51.63934426229508,51.63934426229508,1,1,1,1,71.33349833757407,71.33349833757407,0,0,1,1,1,1,1,0,0
roll_1y_2019_01,rolling_1y,1,2019-01-01,2019-12-31,1,1,0,A_vs_C,A,C,210937.10000000003,210937.10000000003,40.62473333333336,40.62473333333336,0.0,-18.865747749183328,-18.865747749183328,0.0,1.4010629950169278,1.4010629950169278,0.0,7580.0,7580.0,1.0,86,86,51.63934426229508,51.63934426229508,1,1,1,1,71.33349833757407,71.33349833757407,0,0,1,1,1,1,1,0,0
roll_1y_2019_01,rolling_1y,1,2019-01-01,2019-12-31,1,1,0,B_vs_C,B,C,210937.10000000003,210937.10000000003,40.62473333333336,40.62473333333336,0.0,-18.865747749183328,-18.865747749183328,0.0,1.4010629950169278,1.4010629950169278,0.0,7580.0,7580.0,1.0,86,86,51.63934426229508,51.63934426229508,1,1,1,1,71.33349833757407,71.33349833757407,0,0,1,1,1,1,1,0,0
roll_1y_2019_06,rolling_1y,1,2019-06-01,2020-05-31,6,1,0,A_vs_B,A,B,269487.0,269487.0,79.658,79.658,0.0,-11.699460609283596,-11.699460609283596,0.0,2.3730916927964665,2.3730916927964665,0.0,9070.0,9070.0,1.0,87,87,56.68789808917197,56.68789808917197,1,1,1,1,61.084975387132424,61.084975387132424,0,0,1,1,1,1,1,0,0
roll_1y_2019_06,rolling_1y,1,2019-06-01,2020-05-31,6,1,0,A_vs_C,A,C,269487.0,269487.0,79.658,79.658,0.0,-11.699460609283596,-11.699460609283596,0.0,2.3730916927964665,2.3730916927964665,0.0,9070.0,9070.0,1.0,87,87,56.68789808917197,56.68789808917197,1,1,1,1,61.084975387132424,61.084975387132424,0,0,1,1,1,1,1,0,0
roll_1y_2019_06,rolling_1y,1,2019-06-01,2020-05-31,6,1,0,B_vs_C,B,C,269487.0,269487.0,79.658,79.658,0.0,-11.699460609283596,-11.699460609283596,0.0,2.3730916927964665,2.3730916927964665,0.0,9070.0,9070.0,1.0,87,87,56.68789808917197,56.68789808917197,1,1,1,1,61.084975387132424,61.084975387132424,0,0,1,1,1,1,1,0,0
roll_1y_2020_01,rolling_1y,1,2020-01-01,2020-12-31,1,1,0,A_vs_B,A,B,312411.60000000003,312411.60000000003,108.27440000000004,108.27440000000004,0.0,-22.705683780813313,-22.705683780813313,0.0,2.203707624951805,2.203707624951805,0.0,12600.0,12600.0,1.0,117,117,55.83756345177665,55.83756345177665,1,1,1,1,68.63524050379348,68.63524050379348,0,0,1,1,1,1,1,0,0
roll_1y_2020_01,rolling_1y,1,2020-01-01,2020-12-31,1,1,0,A_vs_C,A,C,312411.60000000003,312411.60000000003,108.27440000000004,108.27440000000004,0.0,-22.705683780813313,-22.705683780813313,0.0,2.203707624951805,2.203707624951805,0.0,12600.0,12600.0,1.0,117,117,55.83756345177665,55.83756345177665,1,1,1,1,68.63524050379348,68.63524050379348,0,0,1,1,1,1,1,0,0
roll_1y_2020_01,rolling_1y,1,2020-01-01,2020-12-31,1,1,0,B_vs_C,B,C,312411.60000000003,312411.60000000003,108.27440000000004,108.27440000000004,0.0,-22.705683780813313,-22.705683780813313,0.0,2.203707624951805,2.203707624951805,0.0,12600.0,12600.0,1.0,117,117,55.83756345177665,55.83756345177665,1,1,1,1,68.63524050379348,68.63524050379348,0,0,1,1,1,1,1,0,0
roll_1y_2020_06,rolling_1y,1,2020-06-01,2021-05-31,6,1,0,A_vs_B,A,B,970177.9,970177.8999999999,546.7852666666666,546.7852666666666,0.0,-22.405934099204416,-22.405934099204416,0.0,3.6456258457371304,3.6456258457371304,0.0,19680.0,19680.0,1.0,124,124,59.70873786407766,59.70873786407766,1,1,1,1,70.92462190994388,70.92462190994388,0,0,1,1,1,1,1,0,0
roll_1y_2020_06,rolling_1y,1,2020-06-01,2021-05-31,6,1,0,A_vs_C,A,C,970177.9,970177.8999999999,546.7852666666666,546.7852666666666,0.0,-22.405934099204416,-22.405934099204416,0.0,3.6456258457371304,3.6456258457371304,0.0,19680.0,19680.0,1.0,124,124,59.70873786407766,59.70873786407766,1,1,1,1,70.92462190994388,70.92462190994388,0,0,1,1,1,1,1,0,0
roll_1y_2020_06,rolling_1y,1,2020-06-01,2021-05-31,6,1,0,B_vs_C,B,C,970177.8999999999,970177.8999999999,546.7852666666666,546.7852666666666,0.0,-22.405934099204416,-22.405934099204416,0.0,3.6456258457371304,3.6456258457371304,0.0,19680.0,19680.0,1.0,124,124,59.70873786407766,59.70873786407766,1,1,1,1,70.92462190994388,70.92462190994388,0,0,1,1,1,1,1,0,0
roll_1y_2021_01,rolling_1y,1,2021-01-01,2021-12-31,1,1,0,A_vs_B,A,B,835731.6000000001,835731.6000000001,457.1544,457.1544,0.0,-28.594482139720125,-28.594482139720125,0.0,3.1095376036074867,3.1095376036074867,0.0,17830.0,17830.0,1.0,117,117,59.375,59.375,1,1,1,1,62.04976141237437,62.04976141237437,0,0,1,1,1,1,1,0,0
roll_1y_2021_01,rolling_1y,1,2021-01-01,2021-12-31,1,1,0,A_vs_C,A,C,835731.6000000001,835731.6000000001,457.1544,457.1544,0.0,-28.594482139720125,-28.594482139720125,0.0,3.1095376036074867,3.1095376036074867,0.0,17830.0,17830.0,1.0,117,117,59.375,59.375,1,1,1,1,62.04976141237437,62.04976141237437,0,0,1,1,1,1,1,0,0
roll_1y_2021_01,rolling_1y,1,2021-01-01,2021-12-31,1,1,0,B_vs_C,B,C,835731.6000000001,835731.6000000001,457.1544,457.1544,0.0,-28.594482139720125,-28.594482139720125,0.0,3.1095376036074867,3.1095376036074867,0.0,17830.0,17830.0,1.0,117,117,59.375,59.375,1,1,1,1,62.04976141237437,62.04976141237437,0,0,1,1,1,1,1,0,0
roll_1y_2021_06,rolling_1y,1,2021-06-01,2022-05-31,6,1,0,A_vs_B,A,B,203235.0,206335.0,35.49,37.55666666666666,2.0666666666666558,-41.39959344319018,-40.50574513789773,0.0,0.9010693931886298,0.9364583062962486,0.035388913107618825,7800.0,7960.0,1.0205128205128204,124,126,50.77720207253886,51.041666666666664,1,1,1,1,61.673335692911614,61.673335692911614,0,0,1,1,1,1,1,0,0
roll_1y_2021_06,rolling_1y,1,2021-06-01,2022-05-31,6,1,0,A_vs_C,A,C,203235.0,206335.0,35.49,37.55666666666666,2.0666666666666558,-41.39959344319018,-40.50574513789773,0.0,0.9010693931886298,0.9364583062962486,0.035388913107618825,7800.0,7960.0,1.0205128205128204,124,126,50.77720207253886,51.041666666666664,1,1,1,1,61.673335692911614,61.673335692911614,0,0,1,1,1,1,1,0,0
roll_1y_2021_06,rolling_1y,1,2021-06-01,2022-05-31,6,1,0,B_vs_C,B,C,206335.0,206335.0,37.55666666666666,37.55666666666666,0.0,-40.50574513789773,-40.50574513789773,0.0,0.9364583062962486,0.9364583062962486,0.0,7960.0,7960.0,1.0,126,126,51.041666666666664,51.041666666666664,1,1,1,1,61.673335692911614,61.673335692911614,0,0,1,1,1,1,1,0,0
