variant,label,profile,window_name,window_label,window_group,analysis_start,analysis_end,account_capital,c3_capital,risk_multiplier,trading_days,end_equity,total_return_pct,cagr_pct,max_dd_pct,ulcer_pct,sharpe,min_equity,max_broker10_margin_to_equity_pct,p95_broker10_margin_to_equity_pct,days_over_100pct,days_over_90pct,days_equity_below_zero,total_slippage,total_trade_count,nonzero_daily_win_rate_pct,forced_margin_deleverage_count,forced_margin_deleverage_closed_volume,dd30_pass,dd40_pass,broker10_100_pass,account_survival_pass,deployable_pass,source_name,rebased_end_equity,rebased_total_return_pct,rebased_cagr_pct,rebased_max_dd_pct,rebased_sharpe,rebased_min_equity,max_broker10_margin_to_rebased_equity_pct,p95_broker10_margin_to_rebased_equity_pct,nav_end,oi_mode,am_label,declared_am_size,note,requested_start_month,start_month,start_year,start_month_num,positive_return,mature_63d,mature_126d,mature_252d,dd40_fail,dd50_fail,arm,experiment_arm,requested_top_n,actual_ranked_count,actual_total_count,source_experiment_arm,window_id,duration_years,requested_start,requested_end,complete_window,terminal_near_complete,promotion_arm
stage063_B_roll_1y_2019_01,B: Top9+fu（10品种）,stage063_B_roll_1y_2019_01,roll_1y_2019_01,2019-01-01 independent start to 2019-12-31,rolling_1y,2019-01-02,2019-12-31,150000.0,150000.0,0.4,244,210937.10000000003,40.62473333333336,40.92221144078625,-18.865747749183328,8.642587491794853,1.4010629950169278,127289.50000000003,71.33349833757407,54.50443874099412,0,0,0,7580.0,86.0,51.63934426229508,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,210937.10000000003,40.62473333333336,40.92221144078625,-18.865747749183328,1.4010629950169278,127289.50000000003,71.33349833757407,54.50443874099412,1.4062473333333336,,,,,2019-01,2019-01,2019,1,1,1,1,0,0,0,B,B,9.0,,,,roll_1y_2019_01,1,2019-01-01,2019-12-31,1,0,B
stage063_C_roll_1y_2019_01,C: Top10+fu（11品种）,stage063_C_roll_1y_2019_01,roll_1y_2019_01,2019-01-01 independent start to 2019-12-31,rolling_1y,2019-01-02,2019-12-31,150000.0,150000.0,0.4,244,210937.10000000003,40.62473333333336,40.92221144078625,-18.865747749183328,8.642587491794853,1.4010629950169278,127289.50000000003,71.33349833757407,54.50443874099412,0,0,0,7580.0,86.0,51.63934426229508,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,210937.10000000003,40.62473333333336,40.92221144078625,-18.865747749183328,1.4010629950169278,127289.50000000003,71.33349833757407,54.50443874099412,1.4062473333333336,,,,,2019-01,2019-01,2019,1,1,1,1,0,0,0,C,C,10.0,,,,roll_1y_2019_01,1,2019-01-01,2019-12-31,1,0,C
stage059_A_roll_1y_2019_06,A: Stage037 Top8+fu（9品种）,stage059_A_roll_1y_2019_06,roll_1y_2019_06,2019-06-01 independent start to 2020-05-31,rolling_1y,2019-06-03,2020-05-29,150000.0,150000.0,0.4,242,269487.0,79.658,80.90148114502014,-11.699460609283596,3.9583292423693384,2.3730916927964665,141329.0,61.084975387132424,52.91624841989027,0,0,0,9070.0,87.0,56.68789808917197,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,269487.0,79.658,80.90148114502014,-11.699460609283596,2.3730916927964665,141329.0,61.084975387132424,52.91624841989027,1.79658,,,,,2019-06,2019-06,2019,6,1,1,1,0,0,0,stage059_A_roll_1y_2019_06,A,,,,,roll_1y_2019_06,1,2019-06-01,2020-05-31,1,0,A
stage063_B_roll_1y_2019_06,B: Top9+fu（10品种）,stage063_B_roll_1y_2019_06,roll_1y_2019_06,2019-06-01 independent start to 2020-05-31,rolling_1y,2019-06-03,2020-05-29,150000.0,150000.0,0.4,242,269487.0,79.658,80.90148114502014,-11.699460609283596,3.9583292423693384,2.3730916927964665,141329.0,61.084975387132424,52.91624841989027,0,0,0,9070.0,87.0,56.68789808917197,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,269487.0,79.658,80.90148114502014,-11.699460609283596,2.3730916927964665,141329.0,61.084975387132424,52.91624841989027,1.79658,,,,,2019-06,2019-06,2019,6,1,1,1,0,0,0,B,B,9.0,,,,roll_1y_2019_06,1,2019-06-01,2020-05-31,1,0,B
stage063_C_roll_1y_2019_06,C: Top10+fu（11品种）,stage063_C_roll_1y_2019_06,roll_1y_2019_06,2019-06-01 independent start to 2020-05-31,rolling_1y,2019-06-03,2020-05-29,150000.0,150000.0,0.4,242,269487.0,79.658,80.90148114502014,-11.699460609283596,3.9583292423693384,2.3730916927964665,141329.0,61.084975387132424,52.91624841989027,0,0,0,9070.0,87.0,56.68789808917197,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,269487.0,79.658,80.90148114502014,-11.699460609283596,2.3730916927964665,141329.0,61.084975387132424,52.91624841989027,1.79658,,,,,2019-06,2019-06,2019,6,1,1,1,0,0,0,C,C,10.0,,,,roll_1y_2019_06,1,2019-06-01,2020-05-31,1,0,C
stage059_A_roll_1y_2020_01,A: Stage037 Top8+fu（9品种）,stage059_A_roll_1y_2020_01,roll_1y_2020_01,2020-01-01 independent start to 2020-12-31,rolling_1y,2020-01-02,2020-12-31,150000.0,150000.0,0.4,243,312411.60000000003,108.27440000000004,108.79981458913072,-22.705683780813313,6.739884400536845,2.203707624951805,141520.0,68.63524050379348,58.21032629160774,0,0,0,12600.0,117.0,55.83756345177665,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,312411.60000000003,108.27440000000004,108.79981458913072,-22.705683780813313,2.203707624951805,141520.0,68.63524050379348,58.21032629160774,2.0827440000000004,,,,,2020-01,2020-01,2020,1,1,1,1,0,0,0,stage059_A_roll_1y_2020_01,A,,,,,roll_1y_2020_01,1,2020-01-01,2020-12-31,1,0,A
stage063_B_roll_1y_2020_01,B: Top9+fu（10品种）,stage063_B_roll_1y_2020_01,roll_1y_2020_01,2020-01-01 independent start to 2020-12-31,rolling_1y,2020-01-02,2020-12-31,150000.0,150000.0,0.4,243,312411.60000000003,108.27440000000004,108.79981458913073,-22.705683780813313,6.739884400536845,2.203707624951805,141520.0,68.63524050379348,58.21032629160774,0,0,0,12600.0,117.0,55.83756345177665,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,312411.60000000003,108.27440000000004,108.79981458913073,-22.705683780813313,2.203707624951805,141520.0,68.63524050379348,58.21032629160774,2.0827440000000004,,,,,2020-01,2020-01,2020,1,1,1,1,0,0,0,B,B,9.0,,,,roll_1y_2020_01,1,2020-01-01,2020-12-31,1,0,B
stage063_C_roll_1y_2020_01,C: Top10+fu（11品种）,stage063_C_roll_1y_2020_01,roll_1y_2020_01,2020-01-01 independent start to 2020-12-31,rolling_1y,2020-01-02,2020-12-31,150000.0,150000.0,0.4,243,312411.60000000003,108.27440000000004,108.79981458913073,-22.705683780813313,6.739884400536845,2.203707624951805,141520.0,68.63524050379348,58.21032629160774,0,0,0,12600.0,117.0,55.83756345177665,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,312411.60000000003,108.27440000000004,108.79981458913073,-22.705683780813313,2.203707624951805,141520.0,68.63524050379348,58.21032629160774,2.0827440000000004,,,,,2020-01,2020-01,2020,1,1,1,1,0,0,0,C,C,10.0,,,,roll_1y_2020_01,1,2020-01-01,2020-12-31,1,0,C
stage059_A_roll_1y_2020_06,A: Stage037 Top8+fu（9品种）,stage059_A_roll_1y_2020_06,roll_1y_2020_06,2020-06-01 independent start to 2021-05-31,rolling_1y,2020-06-01,2021-05-31,150000.0,150000.0,0.4,243,970177.9,546.7852666666666,550.945039932719,-22.405934099204416,8.602341615726822,3.6456258457371304,146400.0,70.92462190994388,63.157238962676125,0,0,0,19680.0,124.0,59.70873786407766,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,970177.9,546.7852666666666,550.945039932719,-22.405934099204416,3.6456258457371304,146400.0,70.92462190994388,63.157238962676125,6.4678526666666665,,,,,2020-06,2020-06,2020,6,1,1,1,0,0,0,stage059_A_roll_1y_2020_06,A,,,,,roll_1y_2020_06,1,2020-06-01,2021-05-31,1,0,A
stage063_B_roll_1y_2020_06,B: Top9+fu（10品种）,stage063_B_roll_1y_2020_06,roll_1y_2020_06,2020-06-01 independent start to 2021-05-31,rolling_1y,2020-06-01,2021-05-31,150000.0,150000.0,0.4,243,970177.8999999999,546.7852666666666,550.945039932719,-22.405934099204416,8.602341615726822,3.6456258457371304,146400.0,70.92462190994388,63.157238962676125,0,0,0,19680.0,124.0,59.70873786407766,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,970177.8999999999,546.7852666666666,550.945039932719,-22.405934099204416,3.6456258457371304,146400.0,70.92462190994388,63.157238962676125,6.4678526666666665,,,,,2020-06,2020-06,2020,6,1,1,1,0,0,0,B,B,9.0,,,,roll_1y_2020_06,1,2020-06-01,2021-05-31,1,0,B
stage063_C_roll_1y_2020_06,C: Top10+fu（11品种）,stage063_C_roll_1y_2020_06,roll_1y_2020_06,2020-06-01 independent start to 2021-05-31,rolling_1y,2020-06-01,2021-05-31,150000.0,150000.0,0.4,243,970177.8999999999,546.7852666666666,550.945039932719,-22.405934099204416,8.602341615726822,3.6456258457371304,146400.0,70.92462190994388,63.157238962676125,0,0,0,19680.0,124.0,59.70873786407766,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,970177.8999999999,546.7852666666666,550.945039932719,-22.405934099204416,3.6456258457371304,146400.0,70.92462190994388,63.157238962676125,6.4678526666666665,,,,,2020-06,2020-06,2020,6,1,1,1,0,0,0,C,C,10.0,,,,roll_1y_2020_06,1,2020-06-01,2021-05-31,1,0,C
stage059_A_roll_1y_2021_01,A: Stage037 Top8+fu（9品种）,stage059_A_roll_1y_2021_01,roll_1y_2021_01,2021-01-01 independent start to 2021-12-31,rolling_1y,2021-01-04,2021-12-31,150000.0,150000.0,0.4,243,835731.6000000001,457.1544,468.53581117700793,-28.594482139720125,15.430325643591123,3.1095376036074867,150000.0,62.04976141237437,52.23937328434147,0,0,0,17830.0,117.0,59.375,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,835731.6000000001,457.1544,468.53581117700793,-28.594482139720125,3.1095376036074867,150000.0,62.04976141237437,52.23937328434147,5.571544,,,,,2021-01,2021-01,2021,1,1,1,1,0,0,0,stage059_A_roll_1y_2021_01,A,,,,,roll_1y_2021_01,1,2021-01-01,2021-12-31,1,0,A
stage063_B_roll_1y_2021_01,B: Top9+fu（10品种）,stage063_B_roll_1y_2021_01,roll_1y_2021_01,2021-01-01 independent start to 2021-12-31,rolling_1y,2021-01-04,2021-12-31,150000.0,150000.0,0.4,243,835731.6000000001,457.1544,468.53581117700793,-28.594482139720125,15.430325643591123,3.1095376036074867,150000.0,62.04976141237437,52.23937328434147,0,0,0,17830.0,117.0,59.375,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,835731.6000000001,457.1544,468.53581117700793,-28.594482139720125,3.1095376036074867,150000.0,62.04976141237437,52.23937328434147,5.571544,,,,,2021-01,2021-01,2021,1,1,1,1,0,0,0,B,B,9.0,,,,roll_1y_2021_01,1,2021-01-01,2021-12-31,1,0,B
stage063_C_roll_1y_2021_01,C: Top10+fu（11品种）,stage063_C_roll_1y_2021_01,roll_1y_2021_01,2021-01-01 independent start to 2021-12-31,rolling_1y,2021-01-04,2021-12-31,150000.0,150000.0,0.4,243,835731.6000000001,457.1544,468.53581117700793,-28.594482139720125,15.430325643591123,3.1095376036074867,150000.0,62.04976141237437,52.23937328434147,0,0,0,17830.0,117.0,59.375,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,835731.6000000001,457.1544,468.53581117700793,-28.594482139720125,3.1095376036074867,150000.0,62.04976141237437,52.23937328434147,5.571544,,,,,2021-01,2021-01,2021,1,1,1,1,0,0,0,C,C,10.0,,,,roll_1y_2021_01,1,2021-01-01,2021-12-31,1,0,C
stage059_A_roll_1y_2021_06,A: Stage037 Top8+fu（9品种）,stage059_A_roll_1y_2021_06,roll_1y_2021_06,2021-06-01 independent start to 2022-05-31,rolling_1y,2021-06-01,2022-05-31,150000.0,150000.0,0.4,242,203235.0,35.49,35.631392610255475,-41.39959344319018,21.582044177412698,0.9010693931886298,137655.00000000003,61.673335692911614,41.01774170034904,0,0,0,7800.0,124.0,50.77720207253886,0,0.0,0,0,1,1,0,stage772_am40_80_120_oi_monthly,203235.0,35.49,35.631392610255475,-41.39959344319018,0.9010693931886298,137655.00000000003,61.673335692911614,41.01774170034904,1.3549,,,,,2021-06,2021-06,2021,6,1,1,1,0,1,0,stage059_A_roll_1y_2021_06,A,,,,,roll_1y_2021_06,1,2021-06-01,2022-05-31,1,0,A
stage063_B_roll_1y_2021_06,B: Top9+fu（10品种）,stage063_B_roll_1y_2021_06,roll_1y_2021_06,2021-06-01 independent start to 2022-05-31,rolling_1y,2021-06-01,2022-05-31,150000.0,150000.0,0.4,242,206335.0,37.55666666666666,37.70737454952835,-40.50574513789773,21.419285011523872,0.9364583062962486,137655.00000000003,61.673335692911614,41.26099807256114,0,0,0,7960.0,126.0,51.041666666666664,0,0.0,0,0,1,1,0,stage772_am40_80_120_oi_monthly,206335.0,37.55666666666666,37.70737454952835,-40.50574513789773,0.9364583062962486,137655.00000000003,61.673335692911614,41.26099807256114,1.3755666666666666,,,,,2021-06,2021-06,2021,6,1,1,1,0,1,0,B,B,9.0,,,,roll_1y_2021_06,1,2021-06-01,2022-05-31,1,0,B
stage063_C_roll_1y_2021_06,C: Top10+fu（11品种）,stage063_C_roll_1y_2021_06,roll_1y_2021_06,2021-06-01 independent start to 2022-05-31,rolling_1y,2021-06-01,2022-05-31,150000.0,150000.0,0.4,242,206335.0,37.55666666666666,37.70737454952835,-40.50574513789773,21.419285011523872,0.9364583062962486,137655.00000000003,61.673335692911614,41.26099807256114,0,0,0,7960.0,126.0,51.041666666666664,0,0.0,0,0,1,1,0,stage772_am40_80_120_oi_monthly,206335.0,37.55666666666666,37.70737454952835,-40.50574513789773,0.9364583062962486,137655.00000000003,61.673335692911614,41.26099807256114,1.3755666666666666,,,,,2021-06,2021-06,2021,6,1,1,1,0,1,0,C,C,10.0,,,,roll_1y_2021_06,1,2021-06-01,2022-05-31,1,0,C
stage059_A_roll_1y_2022_01,A: Stage037 Top8+fu（9品种）,stage059_A_roll_1y_2022_01,roll_1y_2022_01,2022-01-01 independent start to 2022-12-31,rolling_1y,2022-01-04,2022-12-30,150000.0,150000.0,0.4,242,129370.0,-13.753333333333329,-13.939229911915286,-39.27801392225712,23.217828925097734,-0.0996787344950496,98570.0,64.62988691437803,37.56671242035255,0,0,0,2940.0,63.0,41.44144144144144,0,0.0,0,1,1,1,1,stage772_am40_80_120_oi_monthly,129370.0,-13.753333333333329,-13.939229911915286,-39.27801392225712,-0.0996787344950496,98570.0,64.62988691437803,37.56671242035255,0.8624666666666667,,,,,2022-01,2022-01,2022,1,0,1,1,0,0,0,stage059_A_roll_1y_2022_01,A,,,,,roll_1y_2022_01,1,2022-01-01,2022-12-31,1,0,A
stage063_B_roll_1y_2022_01,B: Top9+fu（10品种）,stage063_B_roll_1y_2022_01,roll_1y_2022_01,2022-01-01 independent start to 2022-12-31,rolling_1y,2022-01-04,2022-12-30,150000.0,150000.0,0.4,242,127890.0,-14.739999999999998,-14.938044146328345,-40.1897369555843,23.54622354637581,-0.12013018299662266,97090.0,64.62988691437803,42.96496449414701,0,0,0,3060.0,67.0,41.228070175438596,0,0.0,0,0,1,1,0,stage772_am40_80_120_oi_monthly,127890.0,-14.739999999999998,-14.938044146328345,-40.1897369555843,-0.12013018299662266,97090.0,64.62988691437803,42.96496449414701,0.8526,,,,,2022-01,2022-01,2022,1,0,1,1,0,1,0,B,B,9.0,,,,roll_1y_2022_01,1,2022-01-01,2022-12-31,1,0,B
stage063_C_roll_1y_2022_01,C: Top10+fu（11品种）,stage063_C_roll_1y_2022_01,roll_1y_2022_01,2022-01-01 independent start to 2022-12-31,rolling_1y,2022-01-04,2022-12-30,150000.0,150000.0,0.4,242,126340.0,-15.773333333333328,-15.983918860856717,-42.06862563913016,24.271745299750904,-0.13326263850578263,94040.0,64.62988691437803,42.96496449414701,0,0,0,3460.0,77.0,42.028985507246375,0,0.0,0,0,1,1,0,stage772_am40_80_120_oi_monthly,126340.0,-15.773333333333328,-15.983918860856717,-42.06862563913016,-0.13326263850578263,94040.0,64.62988691437803,42.96496449414701,0.8422666666666667,,,,,2022-01,2022-01,2022,1,0,1,1,0,1,0,C,C,10.0,,,,roll_1y_2022_01,1,2022-01-01,2022-12-31,1,0,C
stage059_A_roll_1y_2022_06,A: Stage037 Top8+fu（9品种）,stage059_A_roll_1y_2022_06,roll_1y_2022_06,2022-06-01 independent start to 2023-05-31,rolling_1y,2022-06-01,2023-05-31,150000.0,150000.0,0.4,244,155390.0,3.5933333333333373,3.605892933465271,-48.41654494755012,31.436382932208307,0.2942688664552373,149520.0,65.83208909929596,38.94916949549733,0,0,0,3920.0,44.0,42.66666666666667,0,0.0,0,0,1,1,0,stage772_am40_80_120_oi_monthly,155390.0,3.5933333333333373,3.605892933465271,-48.41654494755012,0.2942688664552373,149520.0,65.83208909929596,38.94916949549733,1.0359333333333334,,,,,2022-06,2022-06,2022,6,1,1,1,0,1,0,stage059_A_roll_1y_2022_06,A,,,,,roll_1y_2022_06,1,2022-06-01,2023-05-31,1,0,A
stage063_B_roll_1y_2022_06,B: Top9+fu（10品种）,stage063_B_roll_1y_2022_06,roll_1y_2022_06,2022-06-01 independent start to 2023-05-31,rolling_1y,2022-06-01,2023-05-31,150000.0,150000.0,0.4,244,177490.0,18.326666666666668,18.395065171703926,-39.15096065873742,26.374843988372323,0.6172137082145472,147930.0,59.970127659574466,43.03904076913731,0,0,0,4290.0,51.0,47.82608695652174,0,0.0,0,1,1,1,1,stage772_am40_80_120_oi_monthly,177490.0,18.326666666666668,18.395065171703926,-39.15096065873742,0.6172137082145472,147930.0,59.970127659574466,43.03904076913731,1.1832666666666667,,,,,2022-06,2022-06,2022,6,1,1,1,0,0,0,B,B,9.0,,,,roll_1y_2022_06,1,2022-06-01,2023-05-31,1,0,B
