variant,label,profile,window_name,window_label,window_group,analysis_start,analysis_end,account_capital,c3_capital,risk_multiplier,trading_days,end_equity,total_return_pct,cagr_pct,max_dd_pct,ulcer_pct,sharpe,min_equity,max_broker10_margin_to_equity_pct,p95_broker10_margin_to_equity_pct,days_over_100pct,days_over_90pct,days_equity_below_zero,total_slippage,total_trade_count,nonzero_daily_win_rate_pct,forced_margin_deleverage_count,forced_margin_deleverage_closed_volume,dd30_pass,dd40_pass,broker10_100_pass,account_survival_pass,deployable_pass,source_name,rebased_end_equity,rebased_total_return_pct,rebased_cagr_pct,rebased_max_dd_pct,rebased_sharpe,rebased_min_equity,max_broker10_margin_to_rebased_equity_pct,p95_broker10_margin_to_rebased_equity_pct,nav_end,oi_mode,am_label,declared_am_size,note,requested_start_month,start_month,start_year,start_month_num,positive_return,mature_63d,mature_126d,mature_252d,dd40_fail,dd50_fail,arm,experiment_arm,requested_top_n,actual_ranked_count,actual_total_count,source_experiment_arm,window_id,duration_years,requested_start,requested_end,complete_window,terminal_near_complete,promotion_arm
stage061_reference_stage037_top8_plus_fu,A: 正式Stage037 Top8+fu（9品种）,stage063_A_formal_stage037_top8_plus_fu,full_2018_20260828,2018-01-01 independent start to 2026-08-28,full_period,2018-01-02,2026-08-28,150000.0,150000.0,0.4,2101,16859940.60000001,11139.960400000004,72.59911152311295,-39.91474607744346,16.301203175282364,1.5388212007263535,122871.30000000005,93.58070146346672,57.6021168434129,0,1,0,1659555.0,734.0,53.23101777059773,0,0.0,0,1,1,1,1,stage772_am40_80_120_oi_monthly,16859940.60000001,11139.960400000004,72.59911152311295,-39.91474607744346,1.5388212007263535,122871.30000000005,93.58070146346672,57.6021168434129,112.39960400000004,,,,,2018-01,2018-01,2018,1,1,1,1,1,0,0,A,A,8.0,8.0,9.0,REF,full_2018_20260828,0,2018-01-01,2026-08-28,1,0,A
stage062_top9_plus_fu,B: Top9+fu（10品种）,stage063_B_stage062_top9_plus_fu,full_2018_20260828,2018-01-01 independent start to 2026-08-28,full_period,2018-01-02,2026-08-28,150000.0,150000.0,0.4,2101,16871625.400000013,11147.750266666677,72.61293361829222,-39.91474607744346,17.550467921430304,1.517585618225372,122871.30000000005,93.58070146346672,58.52002780311491,0,1,0,1762115.0,766.0,53.36500395882818,0,0.0,0,1,1,1,1,stage772_am40_80_120_oi_monthly,16871625.400000013,11147.750266666677,72.61293361829222,-39.91474607744346,1.517585618225372,122871.30000000005,93.58070146346672,58.52002780311491,112.47750266666677,,,,,2018-01,2018-01,2018,1,1,1,1,1,0,0,B,B,9.0,9.0,10.0,T9,full_2018_20260828,0,2018-01-01,2026-08-28,1,0,B
stage061_top10_plus_fu,C: Top10+fu（11品种）,stage063_C_stage061_top10_plus_fu,full_2018_20260828,2018-01-01 independent start to 2026-08-28,full_period,2018-01-02,2026-08-28,150000.0,150000.0,0.4,2101,21870488.800000016,14480.325866666675,77.86888964300908,-39.91474607744346,17.030571618729674,1.5869759009775053,122871.30000000005,93.58070146346672,60.66570684958133,0,2,0,2163390.0,798.0,53.734756097560975,0,0.0,0,1,1,1,1,stage772_am40_80_120_oi_monthly,21870488.800000016,14480.325866666675,77.86888964300908,-39.91474607744346,1.5869759009775053,122871.30000000005,93.58070146346672,60.66570684958133,145.80325866666678,,,,,2018-01,2018-01,2018,1,1,1,1,1,0,0,C,C,10.0,10.0,11.0,T10,full_2018_20260828,0,2018-01-01,2026-08-28,1,0,C
stage059_A_roll_1y_2018_01,A: Stage037 Top8+fu（9品种）,stage059_A_roll_1y_2018_01,roll_1y_2018_01,2018-01-01 independent start to 2018-12-31,rolling_1y,2018-01-02,2018-12-28,150000.0,150000.0,0.4,243,148315.40000000002,-1.12306666666665,-1.139351066630634,-11.7641189383357,6.765657837450268,0.0008264462576202,132644.99999999997,44.93479301676245,26.669804645055653,0,0,0,2420.0,44.0,43.05555555555556,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,148315.40000000002,-1.12306666666665,-1.139351066630634,-11.7641189383357,0.0008264462576202,132644.99999999997,44.93479301676245,26.669804645055653,0.9887693333333336,,,,,2018-01,2018-01,2018,1,0,1,1,0,0,0,stage059_A_roll_1y_2018_01,A,,,,,roll_1y_2018_01,1,2018-01-01,2018-12-31,1,0,A
stage063_B_roll_1y_2018_01,B: Top9+fu（10品种）,stage063_B_roll_1y_2018_01,roll_1y_2018_01,2018-01-01 independent start to 2018-12-31,rolling_1y,2018-01-02,2018-12-28,150000.0,150000.0,0.4,243,148315.40000000002,-1.12306666666665,-1.139351066630634,-11.764118938335699,6.765657837450268,0.0008264462576202984,132644.99999999997,44.93479301676245,26.669804645055653,0,0,0,2420.0,44.0,43.05555555555556,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,148315.40000000002,-1.12306666666665,-1.139351066630634,-11.764118938335699,0.0008264462576202984,132644.99999999997,44.93479301676245,26.669804645055653,0.9887693333333335,,,,,2018-01,2018-01,2018,1,0,1,1,0,0,0,B,B,9.0,,,,roll_1y_2018_01,1,2018-01-01,2018-12-31,1,0,B
stage063_C_roll_1y_2018_01,C: Top10+fu（11品种）,stage063_C_roll_1y_2018_01,roll_1y_2018_01,2018-01-01 independent start to 2018-12-31,rolling_1y,2018-01-02,2018-12-28,150000.0,150000.0,0.4,243,148315.40000000002,-1.12306666666665,-1.139351066630634,-11.764118938335699,6.765657837450268,0.0008264462576202984,132644.99999999997,44.93479301676245,26.669804645055653,0,0,0,2420.0,44.0,43.05555555555556,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,148315.40000000002,-1.12306666666665,-1.139351066630634,-11.764118938335699,0.0008264462576202984,132644.99999999997,44.93479301676245,26.669804645055653,0.9887693333333335,,,,,2018-01,2018-01,2018,1,0,1,1,0,0,0,C,C,10.0,,,,roll_1y_2018_01,1,2018-01-01,2018-12-31,1,0,C
stage059_A_roll_1y_2018_06,A: Stage037 Top8+fu（9品种）,stage059_A_roll_1y_2018_06,roll_1y_2018_06,2018-06-01 independent start to 2019-05-31,rolling_1y,2018-06-01,2019-05-31,150000.0,150000.0,0.4,243,149012.00000000006,-0.6586666666666297,-0.6609210802321797,-13.684196958129904,7.051422604205314,0.0713011053422187,146450.0,61.44244219067447,30.78070132720386,0,0,0,4310.0,62.0,46.590909090909086,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,149012.00000000006,-0.6586666666666297,-0.6609210802321797,-13.684196958129904,0.0713011053422187,146450.0,61.44244219067447,30.78070132720386,0.9934133333333336,,,,,2018-06,2018-06,2018,6,0,1,1,0,0,0,stage059_A_roll_1y_2018_06,A,,,,,roll_1y_2018_06,1,2018-06-01,2019-05-31,1,0,A
stage063_B_roll_1y_2018_06,B: Top9+fu（10品种）,stage063_B_roll_1y_2018_06,roll_1y_2018_06,2018-06-01 independent start to 2019-05-31,rolling_1y,2018-06-01,2019-05-31,150000.0,150000.0,0.4,243,149012.00000000006,-0.6586666666666297,-0.6609210802321797,-13.684196958129903,7.051422604205314,0.07130110534221878,146450.0,61.44244219067447,30.78070132720386,0,0,0,4310.0,62.0,46.590909090909086,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,149012.00000000006,-0.6586666666666297,-0.6609210802321797,-13.684196958129903,0.07130110534221878,146450.0,61.44244219067447,30.78070132720386,0.9934133333333337,,,,,2018-06,2018-06,2018,6,0,1,1,0,0,0,B,B,9.0,,,,roll_1y_2018_06,1,2018-06-01,2019-05-31,1,0,B
stage063_C_roll_1y_2018_06,C: Top10+fu（11品种）,stage063_C_roll_1y_2018_06,roll_1y_2018_06,2018-06-01 independent start to 2019-05-31,rolling_1y,2018-06-01,2019-05-31,150000.0,150000.0,0.4,243,149012.00000000006,-0.6586666666666297,-0.6609210802321797,-13.684196958129903,7.051422604205314,0.07130110534221878,146450.0,61.44244219067447,30.78070132720386,0,0,0,4310.0,62.0,46.590909090909086,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,149012.00000000006,-0.6586666666666297,-0.6609210802321797,-13.684196958129903,0.07130110534221878,146450.0,61.44244219067447,30.78070132720386,0.9934133333333337,,,,,2018-06,2018-06,2018,6,0,1,1,0,0,0,C,C,10.0,,,,roll_1y_2018_06,1,2018-06-01,2019-05-31,1,0,C
stage059_A_roll_1y_2019_01,A: Stage037 Top8+fu（9品种）,stage059_A_roll_1y_2019_01,roll_1y_2019_01,2019-01-01 independent start to 2019-12-31,rolling_1y,2019-01-02,2019-12-31,150000.0,150000.0,0.4,244,210937.10000000003,40.62473333333336,40.92221144078625,-18.865747749183328,8.642587491794853,1.4010629950169278,127289.50000000004,71.33349833757407,54.50443874099412,0,0,0,7580.0,86.0,51.63934426229508,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,210937.10000000003,40.62473333333336,40.92221144078625,-18.865747749183328,1.4010629950169278,127289.50000000004,71.33349833757407,54.50443874099412,1.4062473333333336,,,,,2019-01,2019-01,2019,1,1,1,1,0,0,0,stage059_A_roll_1y_2019_01,A,,,,,roll_1y_2019_01,1,2019-01-01,2019-12-31,1,0,A
