trade_date,datetime,symbol,exchange,open,high,low,close,volume,open_interest
2025-12-15,2025-12-15T00:00:00+08:00,ao2605,SHFE,2654.0,2757.0,2652.0,2698.0,188241.0,118092.0
2025-12-16,2025-12-16T00:00:00+08:00,ao2605,SHFE,2694.0,2723.0,2665.0,2695.0,109989.0,127091.0
2025-12-17,2025-12-17T00:00:00+08:00,ao2605,SHFE,2697.0,2706.0,2676.0,2704.0,80597.0,132358.0
2025-12-18,2025-12-18T00:00:00+08:00,ao2605,SHFE,2704.0,2752.0,2700.0,2709.0,133900.0,135454.0
2025-12-19,2025-12-19T00:00:00+08:00,ao2605,SHFE,2709.0,2711.0,2646.0,2653.0,113773.0,147397.0
2025-12-22,2025-12-22T00:00:00+08:00,ao2605,SHFE,2650.0,2671.0,2612.0,2637.0,131780.0,163779.0
2025-12-23,2025-12-23T00:00:00+08:00,ao2605,SHFE,2631.0,2684.0,2631.0,2651.0,162385.0,179609.0
2025-12-24,2025-12-24T00:00:00+08:00,ao2605,SHFE,2656.0,2688.0,2645.0,2671.0,216202.0,189057.0
2025-12-25,2025-12-25T00:00:00+08:00,ao2605,SHFE,2670.0,2678.0,2627.0,2646.0,279750.0,199817.0
2025-12-26,2025-12-26T00:00:00+08:00,ao2605,SHFE,2642.0,2830.0,2605.0,2793.0,1234611.0,245088.0
2025-12-29,2025-12-29T00:00:00+08:00,ao2605,SHFE,2800.0,2850.0,2729.0,2751.0,1308863.0,328616.0
2025-12-30,2025-12-30T00:00:00+08:00,ao2605,SHFE,2743.0,2770.0,2710.0,2751.0,699429.0,396675.0
2025-12-31,2025-12-31T00:00:00+08:00,ao2605,SHFE,2761.0,2821.0,2731.0,2778.0,742567.0,404205.0
2026-01-05,2026-01-05T00:00:00+08:00,ao2605,SHFE,2791.0,2828.0,2757.0,2770.0,518543.0,373339.0
2026-01-06,2026-01-06T00:00:00+08:00,ao2605,SHFE,2762.0,2846.0,2762.0,2818.0,717654.0,409991.0
2026-01-07,2026-01-07T00:00:00+08:00,ao2605,SHFE,2822.0,2975.0,2822.0,2938.0,1854026.0,429905.0
