variant,label,profile,window_name,window_label,window_group,analysis_start,analysis_end,account_capital,c3_capital,risk_multiplier,trading_days,end_equity,total_return_pct,cagr_pct,max_dd_pct,ulcer_pct,sharpe,min_equity,max_broker10_margin_to_equity_pct,p95_broker10_margin_to_equity_pct,days_over_100pct,days_over_90pct,days_equity_below_zero,total_slippage,total_trade_count,nonzero_daily_win_rate_pct,forced_margin_deleverage_count,forced_margin_deleverage_closed_volume,dd30_pass,dd40_pass,broker10_100_pass,account_survival_pass,deployable_pass,source_name,rebased_end_equity,rebased_total_return_pct,rebased_cagr_pct,rebased_max_dd_pct,rebased_sharpe,rebased_min_equity,max_broker10_margin_to_rebased_equity_pct,p95_broker10_margin_to_rebased_equity_pct,nav_end,oi_mode,am_label,declared_am_size,note,requested_start_month,start_month,start_year,start_month_num,positive_return,mature_63d,mature_126d,mature_252d,dd40_fail,dd50_fail,arm
stage003_A_official_live_c9_15w,A: 正式 C9/15万原样基线,stage003_A_official_live_c9_15w,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,2018-01-02,2026-05-29,150000.0,150000.0,0.4,2037,13071214.100000009,8614.14273333334,70.18112546653508,-56.206935956180295,23.153139900843044,1.362230340211364,115585.20000000004,91.49497007579947,63.82054034508503,0,2,0,1525590.0,808.0,52.58408531583265,0,0.0,0,0,1,1,0,stage772_am40_80_120_oi_monthly,13071214.100000009,8614.14273333334,70.18112546653508,-56.206935956180295,1.362230340211364,115585.20000000004,91.49497007579947,63.82054034508503,87.1414273333334,,,,,2018-01,2018-01,2018,1,1,1,1,1,1,1,stage003_A_official_live_c9_15w
stage003_B_target_history_40_shrink,B: 新主力自身至少40根日K + 硬风控缩手,stage003_B_target_history_40_shrink,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,2018-01-02,2026-05-29,150000.0,150000.0,0.4,2037,13492951.90000001,8895.301266666675,70.82550015354849,-57.26735695404594,23.234292382088228,1.3630905785104417,115585.20000000004,99.56270584702793,64.36207434895798,0,9,0,1573350.0,811.0,52.87449392712551,0,0.0,0,0,1,1,0,stage772_am40_80_120_oi_monthly,13492951.90000001,8895.301266666675,70.82550015354849,-57.26735695404594,1.3630905785104417,115585.20000000004,99.56270584702793,64.36207434895798,89.95301266666674,,,,,2018-01,2018-01,2018,1,1,1,1,1,1,1,stage003_B_target_history_40_shrink
stage003_C_same_day_quote_metadata_continuous_shrink,C: 新主力仅当日可交易行情及元数据 + 连续历史形态 + 硬风控缩手,stage003_C_same_day_quote_metadata_continuous_shrink,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,2018-01-02,2026-05-29,150000.0,150000.0,0.4,2037,13338365.80000001,8792.243866666673,70.59139470546808,-56.98762835543509,23.038825711426387,1.3626692370353988,128689.99999999997,100.4111866942261,63.22848778529501,1,6,0,1517200.0,825.0,52.68115942028986,0,0.0,0,0,0,1,0,stage772_am40_80_120_oi_monthly,13338365.80000001,8792.243866666673,70.59139470546808,-56.98762835543509,1.3626692370353988,128689.99999999997,100.4111866942261,63.22848778529501,88.92243866666674,,,,,2018-01,2018-01,2018,1,1,1,1,1,1,1,stage003_C_same_day_quote_metadata_continuous_shrink
