comparison,left,right,left_end_equity,right_end_equity,delta_end_equity,left_total_return_pct,right_total_return_pct,delta_total_return_pct,left_max_dd_pct,right_max_dd_pct,delta_max_dd_pct,left_sharpe,right_sharpe,delta_sharpe,left_total_slippage,right_total_slippage,delta_total_slippage,left_total_trade_count,right_total_trade_count,delta_total_trade_count,left_nonzero_daily_win_rate_pct,right_nonzero_daily_win_rate_pct,delta_nonzero_daily_win_rate_pct,rollover_close_count,candidate_diagnostic_count,short_history_candidate_count,targeted_count,opened_count,full_volume_count,reduced_volume_count,skipped_count,volume_contract_pass,history_contract_pass,target_history_bypass_count
A_vs_B,stage003_A_official_live_c9_15w,stage003_B_target_history_40_shrink,13071214.100000009,13492951.90000001,421737.80000000075,8614.14273333334,8895.301266666675,281.1585333333351,-56.206935956180295,-57.26735695404594,-1.0604209978656414,1.362230340211364,1.3630905785104417,0.0008602382990776647,1525590.0,1573350.0,47760.0,808.0,811.0,3.0,52.58408531583265,52.87449392712551,0.290408611292861,23,23,5,14,14,13,1,9,1,1,0
A_vs_C,stage003_A_official_live_c9_15w,stage003_C_same_day_quote_metadata_continuous_shrink,13071214.100000009,13338365.80000001,267151.7000000011,8614.14273333334,8792.243866666673,178.10113333333356,-56.206935956180295,-56.98762835543509,-0.7806923992547965,1.362230340211364,1.3626692370353988,0.0004388968240347513,1525590.0,1517200.0,-8390.0,808.0,825.0,17.0,52.58408531583265,52.68115942028986,0.09707410445720654,23,23,5,23,23,20,3,0,1,1,5
B_vs_C,stage003_B_target_history_40_shrink,stage003_C_same_day_quote_metadata_continuous_shrink,13492951.90000001,13338365.80000001,-154586.09999999963,8895.301266666675,8792.243866666673,-103.05740000000151,-57.26735695404594,-56.98762835543509,0.27972859861084487,1.3630905785104417,1.3626692370353988,-0.0004213414750429134,1573350.0,1517200.0,-56150.0,811.0,825.0,14.0,52.87449392712551,52.68115942028986,-0.19333450683565445,23,23,5,23,23,20,3,0,1,1,5
