requested_top_n,eval_date,actual_ranked_count,actual_total_count,formal_top8_preserved,fixed_fu_present,membership_policy,strict_model_top9_match,strict_model_top9_signature,selected_non_fu_signature,added_vs_strict_top9,excluded_vs_strict_top9,selected_source_ranks,ranking_provenance,member_signature
9,2022-11-30,9,10,True,True,strict_model_top9_plus_fixed_fu,True,"ru.SHFE,MA.CZCE,rb.SHFE,jm.DCE,au.SHFE,hc.SHFE,lh.DCE,SH.CZCE,lc.GFEX","MA.CZCE,SH.CZCE,au.SHFE,hc.SHFE,jm.DCE,lc.GFEX,lh.DCE,rb.SHFE,ru.SHFE",,,"ru.SHFE:1,MA.CZCE:2,rb.SHFE:3,jm.DCE:4,au.SHFE:5,hc.SHFE:6,lh.DCE:7,SH.CZCE:8,lc.GFEX:9",frozen_market_walkforward_v2,"MA.CZCE,SH.CZCE,au.SHFE,fu.SHFE,hc.SHFE,jm.DCE,lc.GFEX,lh.DCE,rb.SHFE,ru.SHFE"
9,2022-12-30,9,10,True,True,strict_model_top9_plus_fixed_fu,True,"ru.SHFE,hc.SHFE,lh.DCE,cu.SHFE,rb.SHFE,si.GFEX,SH.CZCE,lc.GFEX,jm.DCE","SH.CZCE,cu.SHFE,hc.SHFE,jm.DCE,lc.GFEX,lh.DCE,rb.SHFE,ru.SHFE,si.GFEX",,,"ru.SHFE:1,hc.SHFE:2,lh.DCE:3,cu.SHFE:4,rb.SHFE:5,si.GFEX:6,SH.CZCE:7,lc.GFEX:8,jm.DCE:9",frozen_market_walkforward_v2,"SH.CZCE,cu.SHFE,fu.SHFE,hc.SHFE,jm.DCE,lc.GFEX,lh.DCE,rb.SHFE,ru.SHFE,si.GFEX"
9,2023-01-31,9,10,True,True,strict_model_top9_plus_fixed_fu,True,"MA.CZCE,rb.SHFE,SM.CZCE,cu.SHFE,AP.CZCE,SH.CZCE,lc.GFEX,jm.DCE,ru.SHFE","AP.CZCE,MA.CZCE,SH.CZCE,SM.CZCE,cu.SHFE,jm.DCE,lc.GFEX,rb.SHFE,ru.SHFE",,,"MA.CZCE:1,rb.SHFE:2,SM.CZCE:3,cu.SHFE:4,AP.CZCE:5,SH.CZCE:6,lc.GFEX:7,jm.DCE:8,ru.SHFE:9",frozen_market_walkforward_v2,"AP.CZCE,MA.CZCE,SH.CZCE,SM.CZCE,cu.SHFE,fu.SHFE,jm.DCE,lc.GFEX,rb.SHFE,ru.SHFE"
9,2023-02-28,9,10,True,True,strict_model_top9_plus_fixed_fu,True,"jm.DCE,si.GFEX,MA.CZCE,rb.SHFE,cu.SHFE,SH.CZCE,lc.GFEX,FG.CZCE,OI.CZCE","FG.CZCE,MA.CZCE,OI.CZCE,SH.CZCE,cu.SHFE,jm.DCE,lc.GFEX,rb.SHFE,si.GFEX",,,"jm.DCE:1,si.GFEX:2,MA.CZCE:3,rb.SHFE:4,cu.SHFE:5,SH.CZCE:6,lc.GFEX:7,FG.CZCE:8,OI.CZCE:9",frozen_market_walkforward_v2,"FG.CZCE,MA.CZCE,OI.CZCE,SH.CZCE,cu.SHFE,fu.SHFE,jm.DCE,lc.GFEX,rb.SHFE,si.GFEX"
9,2023-03-31,9,10,True,True,strict_model_top9_plus_fixed_fu,True,"SM.CZCE,MA.CZCE,OI.CZCE,cu.SHFE,si.GFEX,SH.CZCE,lc.GFEX,jm.DCE,SA.CZCE","MA.CZCE,OI.CZCE,SA.CZCE,SH.CZCE,SM.CZCE,cu.SHFE,jm.DCE,lc.GFEX,si.GFEX",,,"SM.CZCE:1,MA.CZCE:2,OI.CZCE:3,cu.SHFE:4,si.GFEX:5,SH.CZCE:6,lc.GFEX:7,jm.DCE:8,SA.CZCE:9",frozen_market_walkforward_v2,"MA.CZCE,OI.CZCE,SA.CZCE,SH.CZCE,SM.CZCE,cu.SHFE,fu.SHFE,jm.DCE,lc.GFEX,si.GFEX"
9,2023-04-28,9,10,True,True,strict_model_top9_plus_fixed_fu,True,"cu.SHFE,SM.CZCE,si.GFEX,SA.CZCE,FG.CZCE,MA.CZCE,SH.CZCE,lc.GFEX,hc.SHFE","FG.CZCE,MA.CZCE,SA.CZCE,SH.CZCE,SM.CZCE,cu.SHFE,hc.SHFE,lc.GFEX,si.GFEX",,,"cu.SHFE:1,SM.CZCE:2,si.GFEX:3,SA.CZCE:4,FG.CZCE:5,MA.CZCE:6,SH.CZCE:7,lc.GFEX:8,hc.SHFE:9",frozen_market_walkforward_v2,"FG.CZCE,MA.CZCE,SA.CZCE,SH.CZCE,SM.CZCE,cu.SHFE,fu.SHFE,hc.SHFE,lc.GFEX,si.GFEX"
9,2023-05-31,9,10,True,True,strict_model_top9_plus_fixed_fu,True,"cu.SHFE,si.GFEX,MA.CZCE,SA.CZCE,SH.CZCE,lc.GFEX,hc.SHFE,CF.CZCE,SM.CZCE","CF.CZCE,MA.CZCE,SA.CZCE,SH.CZCE,SM.CZCE,cu.SHFE,hc.SHFE,lc.GFEX,si.GFEX",,,"cu.SHFE:1,si.GFEX:2,MA.CZCE:3,SA.CZCE:4,SH.CZCE:5,lc.GFEX:6,hc.SHFE:7,CF.CZCE:8,SM.CZCE:9",frozen_market_walkforward_v2,"CF.CZCE,MA.CZCE,SA.CZCE,SH.CZCE,SM.CZCE,cu.SHFE,fu.SHFE,hc.SHFE,lc.GFEX,si.GFEX"
9,2023-06-30,9,10,True,True,strict_model_top9_plus_fixed_fu,True,"cu.SHFE,hc.SHFE,SA.CZCE,SH.CZCE,lc.GFEX,CF.CZCE,SM.CZCE,FG.CZCE,jm.DCE","CF.CZCE,FG.CZCE,SA.CZCE,SH.CZCE,SM.CZCE,cu.SHFE,hc.SHFE,jm.DCE,lc.GFEX",,,"cu.SHFE:1,hc.SHFE:2,SA.CZCE:3,SH.CZCE:4,lc.GFEX:5,CF.CZCE:6,SM.CZCE:7,FG.CZCE:8,jm.DCE:9",frozen_market_walkforward_v2,"CF.CZCE,FG.CZCE,SA.CZCE,SH.CZCE,SM.CZCE,cu.SHFE,fu.SHFE,hc.SHFE,jm.DCE,lc.GFEX"
9,2023-07-31,9,10,True,True,strict_model_top9_plus_fixed_fu,True,"lc.GFEX,FG.CZCE,si.GFEX,SM.CZCE,lh.DCE,SH.CZCE,AP.CZCE,OI.CZCE,MA.CZCE","AP.CZCE,FG.CZCE,MA.CZCE,OI.CZCE,SH.CZCE,SM.CZCE,lc.GFEX,lh.DCE,si.GFEX",,,"lc.GFEX:1,FG.CZCE:2,si.GFEX:3,SM.CZCE:4,lh.DCE:5,SH.CZCE:6,AP.CZCE:7,OI.CZCE:8,MA.CZCE:9",frozen_market_walkforward_v2,"AP.CZCE,FG.CZCE,MA.CZCE,OI.CZCE,SH.CZCE,SM.CZCE,fu.SHFE,lc.GFEX,lh.DCE,si.GFEX"
9,2023-08-31,9,10,True,True,strict_model_top9_plus_fixed_fu,True,"SH.CZCE,lc.GFEX,CF.CZCE,MA.CZCE,lh.DCE,au.SHFE,hc.SHFE,cu.SHFE,SM.CZCE","CF.CZCE,MA.CZCE,SH.CZCE,SM.CZCE,au.SHFE,cu.SHFE,hc.SHFE,lc.GFEX,lh.DCE",,,"SH.CZCE:1,lc.GFEX:2,CF.CZCE:3,MA.CZCE:4,lh.DCE:5,au.SHFE:6,hc.SHFE:7,cu.SHFE:8,SM.CZCE:9",frozen_market_walkforward_v2,"CF.CZCE,MA.CZCE,SH.CZCE,SM.CZCE,au.SHFE,cu.SHFE,fu.SHFE,hc.SHFE,lc.GFEX,lh.DCE"
