date,variant,label,window_name,window_label,window_group,account_capital,account_equity,nav,drawdown_pct,broker10_margin_to_equity_pct,net_pnl,trade_count,total_slippage,source_name,rebased_equity,rebased_nav,broker10_margin_to_rebased_equity_pct,profile,oi_mode,am_label,declared_am_size,requested_start_month,start_month,arm,experiment_arm,requested_top_n,actual_ranked_count,actual_total_count
2023-06-06 00:00:00,stage061_top15_plus_fu,Top15+fu（实际16品种）,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,150000.0,4441233.799999999,29.608225333333326,-32.212725143099796,47.22075924037147,42750.0,0,0.0,stage772_am40_80_120_oi_monthly,4441233.799999999,29.608225333333326,47.22075924037147,stage061_top15_plus_fu,,,,2018-01,2018-01,stage061_top15_plus_fu,T15,15,15,16
2023-06-07 00:00:00,stage061_top15_plus_fu,Top15+fu（实际16品种）,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,150000.0,4406928.799999999,29.379525333333326,-32.73632794553861,37.01878051671723,-34305.0,1,410.0,stage772_am40_80_120_oi_monthly,4406928.799999999,29.379525333333326,37.01878051671723,stage061_top15_plus_fu,,,,2018-01,2018-01,stage061_top15_plus_fu,T15,15,15,16
2023-06-08 00:00:00,stage061_top15_plus_fu,Top15+fu（实际16品种）,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,150000.0,4443678.799999999,29.624525333333327,-32.17540670986957,36.82179504063166,36750.0,0,0.0,stage772_am40_80_120_oi_monthly,4443678.799999999,29.624525333333327,36.82179504063166,stage061_top15_plus_fu,,,,2018-01,2018-01,stage061_top15_plus_fu,T15,15,15,16
2023-06-09 00:00:00,stage061_top15_plus_fu,Top15+fu（实际16品种）,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,150000.0,4388553.799999999,29.257025333333324,-33.016788563373126,37.11851043047485,-55125.0,0,0.0,stage772_am40_80_120_oi_monthly,4388553.799999999,29.257025333333324,37.11851043047485,stage061_top15_plus_fu,,,,2018-01,2018-01,stage061_top15_plus_fu,T15,15,15,16
2023-06-12 00:00:00,stage061_top15_plus_fu,Top15+fu（实际16品种）,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,150000.0,4362828.799999999,29.08552533333333,-33.40943342834145,37.25954362454013,-25725.0,0,0.0,stage772_am40_80_120_oi_monthly,4362828.799999999,29.08552533333333,37.25954362454013,stage061_top15_plus_fu,,,,2018-01,2018-01,stage061_top15_plus_fu,T15,15,15,16
2023-06-13 00:00:00,stage061_top15_plus_fu,Top15+fu（实际16品种）,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,150000.0,4447353.799999999,29.649025333333327,-32.11931458630267,36.80227554641595,84525.0,0,0.0,stage772_am40_80_120_oi_monthly,4447353.799999999,29.649025333333327,36.80227554641595,stage061_top15_plus_fu,,,,2018-01,2018-01,stage061_top15_plus_fu,T15,15,15,16
2023-06-14 00:00:00,stage061_top15_plus_fu,Top15+fu（实际16品种）,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,150000.0,4417953.799999999,29.45302533333333,-32.568051574837895,36.95934076992839,-29400.0,0,0.0,stage772_am40_80_120_oi_monthly,4417953.799999999,29.45302533333333,36.95934076992839,stage061_top15_plus_fu,,,,2018-01,2018-01,stage061_top15_plus_fu,T15,15,15,16
2023-06-15 00:00:00,stage061_top15_plus_fu,Top15+fu（实际16品种）,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,150000.0,4373853.799999999,29.159025333333325,-33.241157057640734,37.1988976860635,-44100.0,0,0.0,stage772_am40_80_120_oi_monthly,4373853.799999999,29.159025333333325,37.1988976860635,stage061_top15_plus_fu,,,,2018-01,2018-01,stage061_top15_plus_fu,T15,15,15,16
2023-06-16 00:00:00,stage061_top15_plus_fu,Top15+fu（实际16品种）,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,150000.0,4392228.799999999,29.281525333333327,-32.96069643980623,37.09849769210567,18375.0,0,0.0,stage772_am40_80_120_oi_monthly,4392228.799999999,29.281525333333327,37.09849769210567,stage061_top15_plus_fu,,,,2018-01,2018-01,stage061_top15_plus_fu,T15,15,15,16
2023-06-19 00:00:00,stage061_top15_plus_fu,Top15+fu（实际16品种）,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,150000.0,4157028.799999999,27.71352533333333,-36.55059234808805,38.45064773186081,-235200.0,0,0.0,stage772_am40_80_120_oi_monthly,4157028.799999999,27.71352533333333,38.45064773186081,stage061_top15_plus_fu,,,,2018-01,2018-01,stage061_top15_plus_fu,T15,15,15,16
