strategy,score_type,eval_date,product_vt_symbol,score,score_rank,top_n,requested_top_n
ai_top9_plus_fu_boundary_check,static18_pre_ai_boundary,2019-12-31,AP.CZCE,0.0,1,18,9
ai_top9_plus_fu_boundary_check,static18_pre_ai_boundary,2019-12-31,CF.CZCE,0.0,2,18,9
ai_top9_plus_fu_boundary_check,static18_pre_ai_boundary,2019-12-31,FG.CZCE,0.0,3,18,9
ai_top9_plus_fu_boundary_check,static18_pre_ai_boundary,2019-12-31,MA.CZCE,0.0,4,18,9
ai_top9_plus_fu_boundary_check,static18_pre_ai_boundary,2019-12-31,OI.CZCE,0.0,5,18,9
ai_top9_plus_fu_boundary_check,static18_pre_ai_boundary,2019-12-31,SA.CZCE,0.0,6,18,9
ai_top9_plus_fu_boundary_check,static18_pre_ai_boundary,2019-12-31,SH.CZCE,0.0,7,18,9
ai_top9_plus_fu_boundary_check,static18_pre_ai_boundary,2019-12-31,SM.CZCE,0.0,8,18,9
ai_top9_plus_fu_boundary_check,static18_pre_ai_boundary,2019-12-31,au.SHFE,0.0,9,18,9
ai_top9_plus_fu_boundary_check,static18_pre_ai_boundary,2019-12-31,cu.SHFE,0.0,10,18,9
ai_top9_plus_fu_boundary_check,static18_pre_ai_boundary,2019-12-31,hc.SHFE,0.0,11,18,9
ai_top9_plus_fu_boundary_check,static18_pre_ai_boundary,2019-12-31,jm.DCE,0.0,12,18,9
ai_top9_plus_fu_boundary_check,static18_pre_ai_boundary,2019-12-31,lc.GFEX,0.0,13,18,9
ai_top9_plus_fu_boundary_check,static18_pre_ai_boundary,2019-12-31,lh.DCE,0.0,14,18,9
ai_top9_plus_fu_boundary_check,static18_pre_ai_boundary,2019-12-31,rb.SHFE,0.0,15,18,9
ai_top9_plus_fu_boundary_check,static18_pre_ai_boundary,2019-12-31,ru.SHFE,0.0,16,18,9
ai_top9_plus_fu_boundary_check,static18_pre_ai_boundary,2019-12-31,si.GFEX,0.0,17,18,9
ai_top9_plus_fu_boundary_check,static18_pre_ai_boundary,2019-12-31,sp.SHFE,0.0,18,18,9
ai_top9_plus_fu_boundary_check,ai_probability_top9_plus_fixed_fu,2022-01-28,jm.DCE,0.9008630588285628,1,10,9
