trade_date,datetime,open,high,low,close,volume,open_oi,close_oi
2021-05-06,2021-05-06 00:00:00+08:00,3387.0,3387.0,3387.0,3387.0,0.0,0.0,0.0
2021-05-07,2021-05-07 00:00:00+08:00,3387.0,3387.0,3387.0,3387.0,0.0,0.0,0.0
2021-05-10,2021-05-10 00:00:00+08:00,3387.0,3387.0,3387.0,3387.0,0.0,0.0,0.0
2021-05-11,2021-05-11 00:00:00+08:00,3391.0,3391.0,3391.0,3391.0,1.0,0.0,1.0
2021-05-12,2021-05-12 00:00:00+08:00,3451.0,3451.0,3451.0,3451.0,0.0,1.0,1.0
2021-05-13,2021-05-13 00:00:00+08:00,3476.0,3476.0,3476.0,3476.0,0.0,1.0,1.0
2021-05-14,2021-05-14 00:00:00+08:00,3362.0,3362.0,3362.0,3362.0,0.0,1.0,1.0
2021-05-17,2021-05-17 00:00:00+08:00,3403.0,3403.0,3403.0,3403.0,0.0,1.0,1.0
2021-05-18,2021-05-18 00:00:00+08:00,3392.0,3392.0,3392.0,3392.0,0.0,1.0,1.0
2021-05-19,2021-05-19 00:00:00+08:00,3246.0,3246.0,3246.0,3246.0,1.0,1.0,2.0
2021-05-20,2021-05-20 00:00:00+08:00,3198.0,3198.0,3198.0,3198.0,2.0,2.0,4.0
2021-05-21,2021-05-21 00:00:00+08:00,3198.0,3198.0,3198.0,3198.0,0.0,4.0,4.0
2021-05-24,2021-05-24 00:00:00+08:00,3198.0,3198.0,3198.0,3198.0,0.0,4.0,4.0
2021-05-25,2021-05-25 00:00:00+08:00,3316.0,3316.0,3316.0,3316.0,0.0,4.0,4.0
2021-05-26,2021-05-26 00:00:00+08:00,3341.0,3341.0,3341.0,3341.0,0.0,4.0,4.0
2021-05-27,2021-05-27 00:00:00+08:00,3336.0,3336.0,3336.0,3336.0,0.0,4.0,4.0
2021-05-28,2021-05-28 00:00:00+08:00,3402.0,3402.0,3402.0,3402.0,0.0,4.0,4.0
2021-05-31,2021-05-31 00:00:00+08:00,3425.0,3425.0,3425.0,3425.0,0.0,4.0,4.0
2021-06-01,2021-06-01 00:00:00+08:00,3503.0,3503.0,3503.0,3503.0,0.0,4.0,4.0
2021-06-02,2021-06-02 00:00:00+08:00,3554.0,3554.0,3554.0,3554.0,0.0,4.0,4.0
2021-06-03,2021-06-03 00:00:00+08:00,3584.0,3584.0,3584.0,3584.0,0.0,4.0,4.0
2021-06-04,2021-06-04 00:00:00+08:00,3599.0,3599.0,3599.0,3599.0,0.0,4.0,4.0
2021-06-07,2021-06-07 00:00:00+08:00,3607.0,3607.0,3607.0,3607.0,0.0,4.0,4.0
2021-06-08,2021-06-08 00:00:00+08:00,3575.0,3575.0,3575.0,3575.0,0.0,4.0,4.0
2021-06-09,2021-06-09 00:00:00+08:00,3628.0,3628.0,3628.0,3628.0,0.0,4.0,4.0
2021-06-10,2021-06-10 00:00:00+08:00,3586.0,3586.0,3586.0,3586.0,0.0,4.0,4.0
2021-06-11,2021-06-11 00:00:00+08:00,3600.0,3600.0,3600.0,3600.0,0.0,4.0,4.0
2021-06-15,2021-06-15 00:00:00+08:00,3653.0,3653.0,3653.0,3653.0,0.0,4.0,4.0
2021-06-16,2021-06-16 00:00:00+08:00,3681.0,3681.0,3681.0,3681.0,0.0,4.0,4.0
2021-06-17,2021-06-17 00:00:00+08:00,3675.0,3675.0,3675.0,3675.0,0.0,4.0,4.0
2021-06-18,2021-06-18 00:00:00+08:00,3566.0,3566.0,3566.0,3566.0,0.0,4.0,4.0
2021-06-21,2021-06-21 00:00:00+08:00,3606.0,3606.0,3606.0,3606.0,0.0,4.0,4.0
2021-06-22,2021-06-22 00:00:00+08:00,3596.0,3596.0,3596.0,3596.0,0.0,4.0,4.0
2021-06-23,2021-06-23 00:00:00+08:00,3576.0,3576.0,3576.0,3576.0,1.0,4.0,4.0
2021-06-24,2021-06-24 00:00:00+08:00,3576.0,3576.0,3576.0,3576.0,0.0,4.0,4.0
2021-06-25,2021-06-25 00:00:00+08:00,3576.0,3576.0,3576.0,3576.0,0.0,4.0,4.0
2021-06-28,2021-06-28 00:00:00+08:00,3576.0,3576.0,3576.0,3576.0,0.0,4.0,4.0
2021-06-29,2021-06-29 00:00:00+08:00,3528.0,3528.0,3528.0,3528.0,0.0,4.0,4.0
2021-06-30,2021-06-30 00:00:00+08:00,3528.0,3528.0,3528.0,3528.0,0.0,4.0,4.0
2021-07-01,2021-07-01 00:00:00+08:00,3528.0,3528.0,3528.0,3528.0,0.0,4.0,4.0
2021-07-02,2021-07-02 00:00:00+08:00,3595.0,3595.0,3595.0,3595.0,0.0,4.0,4.0
2021-07-05,2021-07-05 00:00:00+08:00,3595.0,3595.0,3595.0,3595.0,0.0,4.0,4.0
2021-07-06,2021-07-06 00:00:00+08:00,3595.0,3595.0,3595.0,3595.0,0.0,4.0,4.0
2021-07-07,2021-07-07 00:00:00+08:00,3537.0,3537.0,3537.0,3537.0,0.0,4.0,4.0
2021-07-08,2021-07-08 00:00:00+08:00,3428.0,3428.0,3428.0,3428.0,0.0,4.0,4.0
2021-07-09,2021-07-09 00:00:00+08:00,3428.0,3428.0,3428.0,3428.0,0.0,4.0,4.0
2021-07-12,2021-07-12 00:00:00+08:00,3520.0,3520.0,3520.0,3520.0,0.0,4.0,4.0
2021-07-13,2021-07-13 00:00:00+08:00,3618.0,3618.0,3618.0,3618.0,0.0,4.0,4.0
2021-07-14,2021-07-14 00:00:00+08:00,3618.0,3618.0,3618.0,3618.0,0.0,4.0,4.0
2021-07-15,2021-07-15 00:00:00+08:00,3500.0,3500.0,3500.0,3500.0,2.0,4.0,4.0
