group_type,group_value,diagnostic_count,blocked_count,flat_entry_blocked_count,reverse_entry_blocked_count,rollover_reopen_blocked_count,configuration_contract_pass,blocking_contract_pass
total,all,945,0,0,0,0,1,1
direction,long,482,0,0,0,0,1,1
direction,short,463,0,0,0,0,1,1
entry_context,flat_entry,922,0,0,0,0,1,1
entry_context,rollover_reopen,23,0,0,0,0,1,1
