logical_path,payload_path,role,storage,size_bytes,sha256,source_path
examples/portfolio_backtesting/analyze_qmt_roll_stage503_next_real_open_risk_frontier.py,payload/examples/portfolio_backtesting/analyze_qmt_roll_stage503_next_real_open_risk_frontier.py,runtime_code,git,16968,a63dd782c1563ce2ab242f103e6206701d229b5fac273b1fe58698ce3e030c23,examples/portfolio_backtesting/analyze_qmt_roll_stage503_next_real_open_risk_frontier.py
examples/portfolio_backtesting/analyze_qmt_roll_stage504_next_real_open_fallback_backfill.py,payload/examples/portfolio_backtesting/analyze_qmt_roll_stage504_next_real_open_fallback_backfill.py,runtime_code,git,24778,a521862ca99fc77ffef59b126dee27ac8aed0ffb945e7c8e063903eb2e3a9a25,examples/portfolio_backtesting/analyze_qmt_roll_stage504_next_real_open_fallback_backfill.py
examples/portfolio_backtesting/analyze_qmt_roll_stage506_next_real_forward_risk_signal_frontier.py,payload/examples/portfolio_backtesting/analyze_qmt_roll_stage506_next_real_forward_risk_signal_frontier.py,runtime_code,git,23539,917875629945cd374b9787e8b97a5adba9f29112db4b5f764921a73a036892c0,examples/portfolio_backtesting/analyze_qmt_roll_stage506_next_real_forward_risk_signal_frontier.py
examples/portfolio_backtesting/analyze_qmt_roll_stage513_stage208_exact_position_margin_audit.py,payload/examples/portfolio_backtesting/analyze_qmt_roll_stage513_stage208_exact_position_margin_audit.py,runtime_code,git,37805,bdda0bf09ebfaddfa9cb5cd08f858336df210df1cd95b879bfd0cca0a85fd515,examples/portfolio_backtesting/analyze_qmt_roll_stage513_stage208_exact_position_margin_audit.py
examples/portfolio_backtesting/analyze_qmt_roll_stage516_margin_aware_sizing_frontier.py,payload/examples/portfolio_backtesting/analyze_qmt_roll_stage516_margin_aware_sizing_frontier.py,runtime_code,git,40470,1433b188b07444da7d064f5e4ca547e02ad582315c53c06bbbb857ee9fa159d6,examples/portfolio_backtesting/analyze_qmt_roll_stage516_margin_aware_sizing_frontier.py
examples/portfolio_backtesting/analyze_qmt_roll_stage517_portfolio_margin_deleverage_frontier.py,payload/examples/portfolio_backtesting/analyze_qmt_roll_stage517_portfolio_margin_deleverage_frontier.py,runtime_code,git,29525,07884d46228b1e28a06ed3ed5420b2632e00fd5a3fd1e80903790a1aace4352f,examples/portfolio_backtesting/analyze_qmt_roll_stage517_portfolio_margin_deleverage_frontier.py
examples/portfolio_backtesting/analyze_qmt_roll_stage519_product_margin_cap_frontier.py,payload/examples/portfolio_backtesting/analyze_qmt_roll_stage519_product_margin_cap_frontier.py,runtime_code,git,16293,9a97cd6df4ed23e37b210dfcbccf87b542e20c70afd339144db75cb386eff9ba,examples/portfolio_backtesting/analyze_qmt_roll_stage519_product_margin_cap_frontier.py
examples/portfolio_backtesting/analyze_qmt_roll_stage650_stage526_200k_capital_reality_check.py,payload/examples/portfolio_backtesting/analyze_qmt_roll_stage650_stage526_200k_capital_reality_check.py,runtime_code,git,26014,b5ab107a6679c8cb99ad4fce4de085cb590fd0de3792f46b2fee29419626fd10,examples/portfolio_backtesting/analyze_qmt_roll_stage650_stage526_200k_capital_reality_check.py
examples/portfolio_backtesting/analyze_qmt_roll_stage653_stage526_200k_forced_margin_deleverage.py,payload/examples/portfolio_backtesting/analyze_qmt_roll_stage653_stage526_200k_forced_margin_deleverage.py,runtime_code,git,23634,4766181a85d5105f6fa3fc340c77d73b5d694cd37b07e1017f68494fbf4ada82,examples/portfolio_backtesting/analyze_qmt_roll_stage653_stage526_200k_forced_margin_deleverage.py
examples/portfolio_backtesting/analyze_qmt_roll_stage658_stage653_2026_ytd_shadow.py,payload/examples/portfolio_backtesting/analyze_qmt_roll_stage658_stage653_2026_ytd_shadow.py,runtime_code,git,14551,6be0319b404f87f67605282f27ac2b4afbd5cbd12ae06466b2482405d4054f14,examples/portfolio_backtesting/analyze_qmt_roll_stage658_stage653_2026_ytd_shadow.py
