window_id,window_group,duration_years,requested_start,requested_end,start_month_num,complete_window,terminal_near_complete,comparison,left_arm,right_arm,left_end_equity,right_end_equity,left_return_pct,right_return_pct,delta_return_pct,left_max_dd_pct,right_max_dd_pct,dd_worsening_pp,left_sharpe,right_sharpe,delta_sharpe,left_slippage,right_slippage,slippage_ratio,left_trades,right_trades,left_win_rate_pct,right_win_rate_pct,left_survival_pass,right_survival_pass,left_broker100_pass,right_broker100_pass,left_broker10_peak_pct,right_broker10_peak_pct,left_days_over_100pct,right_days_over_100pct,return_win,left_positive,right_positive,dd_noninferior_2pp,sharpe_noninferior_005,left_dd50_fail,right_dd50_fail
full_2018_20260828,full_period,0,2018-01-01,2026-08-28,1,1,0,A_vs_C,A,C,14665615.100000003,16862237.30000001,9677.076733333335,11141.491533333336,1464.4148000000005,-44.9033186039274,-39.91474607744346,0.0,1.461353072442822,1.5395841221952555,0.07823104975243345,1743270.0,1671655.0,0.9589191576749442,847,734,52.66903914590747,53.150242326332794,1,1,1,1,99.6724041790796,93.58070146346672,0,0,1,1,1,1,1,0,0
roll_1y_2018_01,rolling_1y,1,2018-01-01,2018-12-31,1,1,0,A_vs_C,A,C,134950.40000000002,148315.40000000002,-10.033066666666645,-1.12306666666665,8.909999999999995,-15.640773516879747,-11.764118938335699,0.0,-0.5062719888985959,0.0008264462576202984,0.5070984351562162,4040.0,2420.0,0.599009900990099,61,44,43.08943089430895,43.05555555555556,1,1,1,1,58.662096623764235,44.93479301676245,0,0,1,0,0,1,1,0,0
roll_1y_2018_06,rolling_1y,1,2018-06-01,2019-05-31,6,1,0,A_vs_C,A,C,164729.50000000006,149012.00000000006,9.819666666666716,-0.6586666666666297,-10.478333333333346,-16.986383722698307,-13.684196958129903,0.0,0.4956180158993039,0.07130110534221878,-0.4243169105570851,5710.0,4310.0,0.7548161120840631,82,62,50.53191489361703,46.590909090909086,1,1,1,1,71.1338674168689,61.44244219067447,0,0,0,1,0,1,0,0,0
roll_1y_2019_01,rolling_1y,1,2019-01-01,2019-12-31,1,1,0,A_vs_C,A,C,223061.30000000002,210937.10000000003,48.70753333333335,40.62473333333336,-8.082799999999992,-16.225888917544474,-18.865747749183328,2.639858831638854,1.4128708315628165,1.4010629950169278,-0.011807836545888684,8480.0,7580.0,0.8938679245283019,110,86,51.776649746192895,51.63934426229508,1,1,1,1,70.29239277156199,71.33349833757407,0,0,0,1,1,0,1,0,0
roll_1y_2019_06,rolling_1y,1,2019-06-01,2020-05-31,6,1,0,A_vs_C,A,C,238832.0,269487.0,59.22133333333333,79.658,20.436666666666675,-11.413532754878297,-11.699460609283596,0.28592785440529944,1.845257566961287,2.3730916927964665,0.5278341258351795,9550.0,9070.0,0.949738219895288,105,87,54.59183673469388,56.68789808917197,1,1,1,1,58.73453273448179,61.084975387132424,0,0,1,1,1,1,1,0,0
roll_1y_2020_01,rolling_1y,1,2020-01-01,2020-12-31,1,1,0,A_vs_C,A,C,355154.00000000006,312411.60000000003,136.76933333333338,108.27440000000004,-28.494933333333336,-24.604461486658668,-22.705683780813313,0.0,2.2889328991683984,2.203707624951805,-0.08522527421659332,15760.0,12600.0,0.799492385786802,133,117,58.46153846153847,55.83756345177665,1,1,1,1,80.94805622524142,68.63524050379348,0,0,0,1,1,1,0,0,0
roll_1y_2020_06,rolling_1y,1,2020-06-01,2021-05-31,6,1,0,A_vs_C,A,C,745269.8,970177.8999999999,396.84653333333335,546.7852666666666,149.9387333333333,-24.431964885101987,-22.405934099204416,0.0,3.259528267981911,3.6456258457371304,0.3860975777552196,17340.0,19680.0,1.1349480968858132,136,124,61.274509803921575,59.70873786407766,1,1,1,1,73.36530629488804,70.92462190994388,0,0,1,1,1,1,1,0,0
roll_1y_2021_01,rolling_1y,1,2021-01-01,2021-12-31,1,1,0,A_vs_C,A,C,816721.6000000001,835731.6000000001,444.4810666666667,457.1544,12.67333333333329,-28.203188100568166,-28.594482139720125,0.3912940391519584,3.105231430660103,3.1095376036074867,0.0043061729473836685,19770.0,17830.0,0.9018715225088518,123,117,57.51295336787565,59.375,1,1,1,1,62.04976141237437,62.04976141237437,0,0,1,1,1,1,1,0,0
roll_1y_2021_06,rolling_1y,1,2021-06-01,2022-05-31,6,1,0,A_vs_C,A,C,214340.0,203235.0,42.89333333333334,35.49,-7.403333333333336,-38.121770258956666,-41.39959344319018,3.2778231842335117,1.0060178970331957,0.9010693931886298,-0.10494850384456589,8570.0,7800.0,0.9101516919486581,134,124,49.48453608247423,50.77720207253886,1,1,1,1,60.34611735436125,61.673335692911614,0,0,0,1,1,0,0,0,0
roll_1y_2022_01,rolling_1y,1,2022-01-01,2022-12-31,1,1,0,A_vs_C,A,C,121480.0,129370.0,-19.01333333333334,-13.753333333333329,5.2600000000000104,-39.097103918228285,-39.278013922257124,0.1809100040288385,-0.22169145126509604,-0.09967873449504967,0.12201271677004637,3520.0,2940.0,0.8352272727272727,74,63,40.16393442622951,41.44144144144144,1,1,1,1,64.62988691437803,64.62988691437803,0,0,1,0,0,1,1,0,0
