date,variant,label,window_name,window_label,window_group,account_capital,account_equity,nav,drawdown_pct,broker10_margin_to_equity_pct,net_pnl,trade_count,total_slippage,source_name,rebased_equity,rebased_nav,broker10_margin_to_rebased_equity_pct,profile,oi_mode,am_label,declared_am_size,requested_start_month,start_month,arm,experiment_arm,window_id,duration_years,requested_start,requested_end,complete_window,terminal_near_complete,promotion_arm,start_year,start_month_num
2018-01-02,stage047_A_current_online_stage847_c9_15w_q,A: 当前线上 Stage847-C9-15w + Q,full_2018_20260828,2018-01-01 independent start to 2026-08-28,full_period,150000.0,150000.0,1.0,0.0,0.0,0.0,0,0.0,stage772_am40_80_120_oi_monthly,150000.0,1.0,0.0,stage047_A_current_online_stage847_c9_15w_q,,,,2018-01,2018-01,stage047_A_current_online_stage847_c9_15w_q,A,full_2018_20260828,0,2018-01-01,2026-08-28,1,0,A,2018,1
2018-01-03,stage047_A_current_online_stage847_c9_15w_q,A: 当前线上 Stage847-C9-15w + Q,full_2018_20260828,2018-01-01 independent start to 2026-08-28,full_period,150000.0,150000.0,1.0,0.0,0.0,0.0,0,0.0,stage772_am40_80_120_oi_monthly,150000.0,1.0,0.0,stage047_A_current_online_stage847_c9_15w_q,,,,2018-01,2018-01,stage047_A_current_online_stage847_c9_15w_q,A,full_2018_20260828,0,2018-01-01,2026-08-28,1,0,A,2018,1
2018-01-04,stage047_A_current_online_stage847_c9_15w_q,A: 当前线上 Stage847-C9-15w + Q,full_2018_20260828,2018-01-01 independent start to 2026-08-28,full_period,150000.0,150000.0,1.0,0.0,0.0,0.0,0,0.0,stage772_am40_80_120_oi_monthly,150000.0,1.0,0.0,stage047_A_current_online_stage847_c9_15w_q,,,,2018-01,2018-01,stage047_A_current_online_stage847_c9_15w_q,A,full_2018_20260828,0,2018-01-01,2026-08-28,1,0,A,2018,1
2018-01-05,stage047_A_current_online_stage847_c9_15w_q,A: 当前线上 Stage847-C9-15w + Q,full_2018_20260828,2018-01-01 independent start to 2026-08-28,full_period,150000.0,150000.0,1.0,0.0,0.0,0.0,0,0.0,stage772_am40_80_120_oi_monthly,150000.0,1.0,0.0,stage047_A_current_online_stage847_c9_15w_q,,,,2018-01,2018-01,stage047_A_current_online_stage847_c9_15w_q,A,full_2018_20260828,0,2018-01-01,2026-08-28,1,0,A,2018,1
2018-01-08,stage047_A_current_online_stage847_c9_15w_q,A: 当前线上 Stage847-C9-15w + Q,full_2018_20260828,2018-01-01 independent start to 2026-08-28,full_period,150000.0,150000.0,1.0,0.0,0.0,0.0,0,0.0,stage772_am40_80_120_oi_monthly,150000.0,1.0,0.0,stage047_A_current_online_stage847_c9_15w_q,,,,2018-01,2018-01,stage047_A_current_online_stage847_c9_15w_q,A,full_2018_20260828,0,2018-01-01,2026-08-28,1,0,A,2018,1
2018-01-09,stage047_A_current_online_stage847_c9_15w_q,A: 当前线上 Stage847-C9-15w + Q,full_2018_20260828,2018-01-01 independent start to 2026-08-28,full_period,150000.0,150000.0,1.0,0.0,0.0,0.0,0,0.0,stage772_am40_80_120_oi_monthly,150000.0,1.0,0.0,stage047_A_current_online_stage847_c9_15w_q,,,,2018-01,2018-01,stage047_A_current_online_stage847_c9_15w_q,A,full_2018_20260828,0,2018-01-01,2026-08-28,1,0,A,2018,1
2018-01-10,stage047_A_current_online_stage847_c9_15w_q,A: 当前线上 Stage847-C9-15w + Q,full_2018_20260828,2018-01-01 independent start to 2026-08-28,full_period,150000.0,150000.0,1.0,0.0,0.0,0.0,0,0.0,stage772_am40_80_120_oi_monthly,150000.0,1.0,0.0,stage047_A_current_online_stage847_c9_15w_q,,,,2018-01,2018-01,stage047_A_current_online_stage847_c9_15w_q,A,full_2018_20260828,0,2018-01-01,2026-08-28,1,0,A,2018,1
2018-01-11,stage047_A_current_online_stage847_c9_15w_q,A: 当前线上 Stage847-C9-15w + Q,full_2018_20260828,2018-01-01 independent start to 2026-08-28,full_period,150000.0,150000.0,1.0,0.0,0.0,0.0,0,0.0,stage772_am40_80_120_oi_monthly,150000.0,1.0,0.0,stage047_A_current_online_stage847_c9_15w_q,,,,2018-01,2018-01,stage047_A_current_online_stage847_c9_15w_q,A,full_2018_20260828,0,2018-01-01,2026-08-28,1,0,A,2018,1
2018-01-12,stage047_A_current_online_stage847_c9_15w_q,A: 当前线上 Stage847-C9-15w + Q,full_2018_20260828,2018-01-01 independent start to 2026-08-28,full_period,150000.0,150000.0,1.0,0.0,0.0,0.0,0,0.0,stage772_am40_80_120_oi_monthly,150000.0,1.0,0.0,stage047_A_current_online_stage847_c9_15w_q,,,,2018-01,2018-01,stage047_A_current_online_stage847_c9_15w_q,A,full_2018_20260828,0,2018-01-01,2026-08-28,1,0,A,2018,1
2018-01-15,stage047_A_current_online_stage847_c9_15w_q,A: 当前线上 Stage847-C9-15w + Q,full_2018_20260828,2018-01-01 independent start to 2026-08-28,full_period,150000.0,150330.00000000003,1.0022000000000002,0.0,20.63826248919045,330.00000000002274,1,20.0,stage772_am40_80_120_oi_monthly,150330.00000000003,1.0022000000000002,20.63826248919045,stage047_A_current_online_stage847_c9_15w_q,,,,2018-01,2018-01,stage047_A_current_online_stage847_c9_15w_q,A,full_2018_20260828,0,2018-01-01,2026-08-28,1,0,A,2018,1
2018-01-16,stage047_A_current_online_stage847_c9_15w_q,A: 当前线上 Stage847-C9-15w + Q,full_2018_20260828,2018-01-01 independent start to 2026-08-28,full_period,150000.0,148850.0,0.9923333333333332,-0.98450076498372,20.813906617400068,-1480.000000000034,4,360.0,stage772_am40_80_120_oi_monthly,148850.0,0.9923333333333332,20.813906617400068,stage047_A_current_online_stage847_c9_15w_q,,,,2018-01,2018-01,stage047_A_current_online_stage847_c9_15w_q,A,full_2018_20260828,0,2018-01-01,2026-08-28,1,0,A,2018,1
2018-01-17,stage047_A_current_online_stage847_c9_15w_q,A: 当前线上 Stage847-C9-15w + Q,full_2018_20260828,2018-01-01 independent start to 2026-08-28,full_period,150000.0,148000.00000000003,0.9866666666666668,-1.5499235016297463,20.870270270270268,-849.9999999999659,0,0.0,stage772_am40_80_120_oi_monthly,148000.00000000003,0.9866666666666668,20.870270270270268,stage047_A_current_online_stage847_c9_15w_q,,,,2018-01,2018-01,stage047_A_current_online_stage847_c9_15w_q,A,full_2018_20260828,0,2018-01-01,2026-08-28,1,0,A,2018,1
2018-01-18,stage047_A_current_online_stage847_c9_15w_q,A: 当前线上 Stage847-C9-15w + Q,full_2018_20260828,2018-01-01 independent start to 2026-08-28,full_period,150000.0,146450.0,0.9763333333333334,-2.580988491984315,20.974735404574943,-1550.0000000000114,0,0.0,stage772_am40_80_120_oi_monthly,146450.0,0.9763333333333334,20.974735404574943,stage047_A_current_online_stage847_c9_15w_q,,,,2018-01,2018-01,stage047_A_current_online_stage847_c9_15w_q,A,full_2018_20260828,0,2018-01-01,2026-08-28,1,0,A,2018,1
