window_id,window_group,requested_start,requested_end,A_return_pct,C_return_pct,delta_return_pct,A_max_dd_pct,C_max_dd_pct,dd_worsening_pp,A_sharpe,C_sharpe,delta_sharpe,A_slippage,C_slippage,A_trades,C_trades,A_survival_pass,C_survival_pass,A_broker100_pass,C_broker100_pass,return_win,return_noninferior_5pp,dd_noninferior_2pp,sharpe_noninferior_005
start_2019,start_year,2019-01-01,2026-05-29,9239.645800000006,9808.941333333343,569.2955333333375,-55.7844769914267,-56.400517306484296,0.6160403150575959,1.4920426979646961,1.507689469580099,0.015646771615402955,1662110.0,1689820.0,748,761,1,1,1,1,1,1,1,1
start_2020,start_year,2020-01-01,2026-05-29,3972.8206666666706,4703.307133333336,730.4864666666658,-55.37011212255625,-57.354745115906056,1.9846329933498055,1.4120855204473077,1.4365002381451082,0.02441471769780046,730650.0,838200.0,631,636,1,1,1,1,1,1,1,1
start_2021,start_year,2021-01-01,2026-05-29,1531.9198666666675,1829.8988000000013,297.97893333333377,-54.31795944572162,-54.97530222374326,0.6573427780216434,1.3043948631011444,1.3385836361960899,0.0341887730949455,279440.0,324230.0,490,498,1,1,1,1,1,1,1,1
start_2022,start_year,2022-01-01,2026-05-29,119.80600000000008,124.21600000000007,4.409999999999982,-39.982045671323576,-46.06962380685008,6.087578135526506,0.6958323681503539,0.6826346669525781,-0.013197701197775746,26490.0,28500.0,316,327,1,1,1,1,1,1,0,1
start_2023,start_year,2023-01-01,2026-05-29,129.2396000000001,133.1760000000001,3.936399999999992,-24.468997361477573,-24.468997361477573,0.0,0.9417748880479455,0.9464302016837449,0.004655313635799407,24550.0,24900.0,244,251,1,1,1,1,1,1,1,1
start_2024,start_year,2024-01-01,2026-05-29,130.13933333333344,131.16933333333344,1.0300000000000011,-22.562159686529924,-22.375140359066858,0.0,1.270853263406935,1.2770753933669734,0.006222129960038458,19550.0,20020.0,179,185,1,1,1,1,1,1,1,1
start_2025,start_year,2025-01-01,2026-05-29,36.30493333333338,63.5918666666667,27.286933333333316,-22.6508042631848,-19.30776463213978,0.0,0.8230040684515986,1.1549984376640543,0.33199436921245573,7950.0,8750.0,88,94,1,1,1,1,1,1,1,1
weak_2018_01_1y,weak_one_year,2018-01-01,2018-12-31,-3.9197333333333195,-10.033066666666645,-6.113333333333326,-15.640773516879747,-15.640773516879747,0.0,-0.15915438850052527,-0.5062719888985959,-0.34711760039807066,3880.0,4040.0,58,61,1,1,1,1,0,0,1,0
weak_2018_06_1y,weak_one_year,2018-06-01,2019-05-31,-5.925333333333294,9.819666666666716,15.74500000000001,-16.953589712862318,-16.986383722698307,0.0327940098359889,-0.1643171082440383,0.4956180158993039,0.6599351241433422,5230.0,5710.0,76,82,1,1,1,1,1,1,1,1
weak_2022_01_1y,weak_one_year,2022-01-01,2022-12-31,-15.28666666666667,-9.879999999999999,5.406666666666672,-35.78589221702412,-37.07394130870648,1.2880490916823604,-0.14903791065849142,0.028392603208951855,0.17743051386744327,3420.0,3620.0,76,76,1,1,1,1,1,1,1,1
recent_2025_06_1y,weak_one_year,2025-06-01,2026-05-29,39.31853333333337,39.638533333333356,0.3199999999999861,-22.048158640226625,-22.048158640226625,0.0,1.0828344431661177,1.0890754179387014,0.006240974772583785,6590.0,6430.0,66,66,1,1,1,1,1,1,1,1
